result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.7,ST010384,体积分数 %,2025-05-11 08:00:00,损失量,延炼50万吨/年航煤装置
122.5,ST010384,<p>℃</p>,2025-05-11 08:00:00,初馏点,延炼50万吨/年航煤装置
128.5,ST010384,<p>℃</p>,2025-05-11 08:00:00,10%回收温度,延炼50万吨/年航煤装置
130.5,ST010384,<p>℃</p>,2025-05-11 08:00:00,20%回收温度,延炼50万吨/年航煤装置
755.4,ST010384,<p>kg/m<sup>3</sup></p>,2025-05-11 08:00:00,密度(20℃),延炼50万吨/年航煤装置
170.5,ST010384,<p>℃</p>,2025-05-11 08:00:00,终馏点,延炼50万吨/年航煤装置
153.0,ST010384,<p>℃</p>,2025-05-11 08:00:00,90%回收温度,延炼50万吨/年航煤装置
1.0,ST010384,体积分数 %,2025-05-11 08:00:00,残留量,延炼50万吨/年航煤装置
550,ST010384,ug/g,2025-05-11 08:00:00,总硫含量,延炼50万吨/年航煤装置
137.0,ST010384,<p>℃</p>,2025-05-11 08:00:00,50%回收温度,延炼50万吨/年航煤装置
118.5,ST010384,<p>℃</p>,2025-05-15 08:00:00,初馏点,延炼50万吨/年航煤装置
123.5,ST010384,<p>℃</p>,2025-05-15 08:00:00,10%回收温度,延炼50万吨/年航煤装置
125.5,ST010384,<p>℃</p>,2025-05-15 08:00:00,20%回收温度,延炼50万吨/年航煤装置
131.5,ST010384,<p>℃</p>,2025-05-15 08:00:00,50%回收温度,延炼50万吨/年航煤装置
165.0,ST010384,<p>℃</p>,2025-05-15 08:00:00,终馏点,延炼50万吨/年航煤装置
147.0,ST010384,<p>℃</p>,2025-05-15 08:00:00,90%回收温度,延炼50万吨/年航煤装置
0.9,ST010384,体积分数 %,2025-05-15 08:00:00,残留量,延炼50万吨/年航煤装置
753.5,ST010384,<p>kg/m<sup>3</sup></p>,2025-05-15 08:00:00,密度(20℃),延炼50万吨/年航煤装置
855,ST010384,ug/g,2025-05-15 08:00:00,总硫含量,延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-05-15 08:00:00,损失量,延炼50万吨/年航煤装置
889,ST010384,ug/g,2025-05-22 08:00:00,总硫含量,延炼50万吨/年航煤装置
754.4,ST010384,<p>kg/m<sup>3</sup></p>,2025-05-22 08:00:00,密度(20℃),延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-05-22 08:00:00,损失量,延炼50万吨/年航煤装置
117.5,ST010384,<p>℃</p>,2025-05-22 08:00:00,初馏点,延炼50万吨/年航煤装置
123.0,ST010384,<p>℃</p>,2025-05-22 08:00:00,10%回收温度,延炼50万吨/年航煤装置
124.0,ST010384,<p>℃</p>,2025-05-22 08:00:00,20%回收温度,延炼50万吨/年航煤装置
129.0,ST010384,<p>℃</p>,2025-05-22 08:00:00,50%回收温度,延炼50万吨/年航煤装置
162.0,ST010384,<p>℃</p>,2025-05-22 08:00:00,终馏点,延炼50万吨/年航煤装置
142.0,ST010384,<p>℃</p>,2025-05-22 08:00:00,90%回收温度,延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-05-22 08:00:00,残留量,延炼50万吨/年航煤装置
1092,ST010384,ug/g,2025-05-29 08:00:00,总硫含量,延炼50万吨/年航煤装置
123.0,ST010384,<p>℃</p>,2025-05-29 08:00:00,20%回收温度,延炼50万吨/年航煤装置
0.9,ST010384,体积分数 %,2025-05-29 08:00:00,残留量,延炼50万吨/年航煤装置
127.0,ST010384,<p>℃</p>,2025-05-29 08:00:00,50%回收温度,延炼50万吨/年航煤装置
121.0,ST010384,<p>℃</p>,2025-05-29 08:00:00,10%回收温度,延炼50万吨/年航煤装置
139.0,ST010384,<p>℃</p>,2025-05-29 08:00:00,90%回收温度,延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-05-29 08:00:00,损失量,延炼50万吨/年航煤装置
115.5,ST010384,<p>℃</p>,2025-05-29 08:00:00,初馏点,延炼50万吨/年航煤装置
755.6,ST010384,<p>kg/m<sup>3</sup></p>,2025-05-29 08:00:00,密度(20℃),延炼50万吨/年航煤装置
160.0,ST010384,<p>℃</p>,2025-05-29 08:00:00,终馏点,延炼50万吨/年航煤装置
161.0,ST010384,<p>℃</p>,2025-06-05 08:00:00,终馏点,延炼50万吨/年航煤装置
138.0,ST010384,<p>℃</p>,2025-06-05 08:00:00,90%回收温度,延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-06-05 08:00:00,残留量,延炼50万吨/年航煤装置
755.3,ST010384,<p>kg/m<sup>3</sup></p>,2025-06-05 08:00:00,密度(20℃),延炼50万吨/年航煤装置
124.0,ST010384,<p>℃</p>,2025-06-05 08:00:00,50%回收温度,延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-06-05 08:00:00,损失量,延炼50万吨/年航煤装置
113.0,ST010384,<p>℃</p>,2025-06-05 08:00:00,初馏点,延炼50万吨/年航煤装置
117.0,ST010384,<p>℃</p>,2025-06-05 08:00:00,10%回收温度,延炼50万吨/年航煤装置
119.0,ST010384,<p>℃</p>,2025-06-05 08:00:00,20%回收温度,延炼50万吨/年航煤装置
1388,ST010384,ug/g,2025-06-05 08:00:00,总硫含量,延炼50万吨/年航煤装置
114.0,ST010384,<p>℃</p>,2025-06-12 08:00:00,初馏点,延炼50万吨/年航煤装置
119.0,ST010384,<p>℃</p>,2025-06-12 08:00:00,10%回收温度,延炼50万吨/年航煤装置
121.0,ST010384,<p>℃</p>,2025-06-12 08:00:00,20%回收温度,延炼50万吨/年航煤装置
126.0,ST010384,<p>℃</p>,2025-06-12 08:00:00,50%回收温度,延炼50万吨/年航煤装置
164.5,ST010384,<p>℃</p>,2025-06-12 08:00:00,终馏点,延炼50万吨/年航煤装置
142.0,ST010384,<p>℃</p>,2025-06-12 08:00:00,90%回收温度,延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-06-12 08:00:00,残留量,延炼50万吨/年航煤装置
754.4,ST010384,<p>kg/m<sup>3</sup></p>,2025-06-12 08:00:00,密度(20℃),延炼50万吨/年航煤装置
814,ST010384,ug/g,2025-06-12 08:00:00,总硫含量,延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-06-12 08:00:00,损失量,延炼50万吨/年航煤装置
897,ST010384,ug/g,2025-06-19 08:00:00,总硫含量,延炼50万吨/年航煤装置
1.0,ST010384,体积分数 %,2025-06-19 08:00:00,残留量,延炼50万吨/年航煤装置
752.0,ST010384,<p>kg/m<sup>3</sup></p>,2025-06-19 08:00:00,密度(20℃),延炼50万吨/年航煤装置
0.7,ST010384,体积分数 %,2025-06-19 08:00:00,损失量,延炼50万吨/年航煤装置
114.0,ST010384,<p>℃</p>,2025-06-19 08:00:00,初馏点,延炼50万吨/年航煤装置
118.0,ST010384,<p>℃</p>,2025-06-19 08:00:00,10%回收温度,延炼50万吨/年航煤装置
120.0,ST010384,<p>℃</p>,2025-06-19 08:00:00,20%回收温度,延炼50万吨/年航煤装置
125.0,ST010384,<p>℃</p>,2025-06-19 08:00:00,50%回收温度,延炼50万吨/年航煤装置
162.5,ST010384,<p>℃</p>,2025-06-19 08:00:00,终馏点,延炼50万吨/年航煤装置
140.0,ST010384,<p>℃</p>,2025-06-19 08:00:00,90%回收温度,延炼50万吨/年航煤装置
0.9,ST010384,体积分数 %,2025-06-26 08:00:00,残留量,延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-06-26 08:00:00,损失量,延炼50万吨/年航煤装置
755.1,ST010384,<p>kg/m<sup>3</sup></p>,2025-06-26 08:00:00,密度(20℃),延炼50万吨/年航煤装置
109.5,ST010384,<p>℃</p>,2025-06-26 08:00:00,初馏点,延炼50万吨/年航煤装置
1076,ST010384,ug/g,2025-06-26 08:00:00,总硫含量,延炼50万吨/年航煤装置
116.0,ST010384,<p>℃</p>,2025-06-26 08:00:00,20%回收温度,延炼50万吨/年航煤装置
121.0,ST010384,<p>℃</p>,2025-06-26 08:00:00,50%回收温度,延炼50万吨/年航煤装置
155.0,ST010384,<p>℃</p>,2025-06-26 08:00:00,终馏点,延炼50万吨/年航煤装置
134.0,ST010384,<p>℃</p>,2025-06-26 08:00:00,90%回收温度,延炼50万吨/年航煤装置
115.0,ST010384,<p>℃</p>,2025-06-26 08:00:00,10%回收温度,延炼50万吨/年航煤装置
161.5,ST010384,<p>℃</p>,2025-07-03 08:00:00,终馏点,延炼50万吨/年航煤装置
142.0,ST010384,<p>℃</p>,2025-07-03 08:00:00,90%回收温度,延炼50万吨/年航煤装置
847,ST010384,ug/g,2025-07-03 08:00:00,总硫含量,延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-07-03 08:00:00,损失量,延炼50万吨/年航煤装置
116.0,ST010384,<p>℃</p>,2025-07-03 08:00:00,初馏点,延炼50万吨/年航煤装置
120.0,ST010384,<p>℃</p>,2025-07-03 08:00:00,10%回收温度,延炼50万吨/年航煤装置
122.0,ST010384,<p>℃</p>,2025-07-03 08:00:00,20%回收温度,延炼50万吨/年航煤装置
127.0,ST010384,<p>℃</p>,2025-07-03 08:00:00,50%回收温度,延炼50万吨/年航煤装置
755.2,ST010384,<p>kg/m<sup>3</sup></p>,2025-07-03 08:00:00,密度(20℃),延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-07-03 08:00:00,残留量,延炼50万吨/年航煤装置
575,ST010384,ug/g,2025-07-10 08:00:00,总硫含量,延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-07-10 08:00:00,损失量,延炼50万吨/年航煤装置
111.0,ST010384,<p>℃</p>,2025-07-10 08:00:00,初馏点,延炼50万吨/年航煤装置
117.0,ST010384,<p>℃</p>,2025-07-10 08:00:00,10%回收温度,延炼50万吨/年航煤装置
750.1,ST010384,<p>kg/m<sup>3</sup></p>,2025-07-10 08:00:00,密度(20℃),延炼50万吨/年航煤装置
122.0,ST010384,<p>℃</p>,2025-07-10 08:00:00,50%回收温度,延炼50万吨/年航煤装置
158.0,ST010384,<p>℃</p>,2025-07-10 08:00:00,终馏点,延炼50万吨/年航煤装置
136.0,ST010384,<p>℃</p>,2025-07-10 08:00:00,90%回收温度,延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-07-10 08:00:00,残留量,延炼50万吨/年航煤装置
118.0,ST010384,<p>℃</p>,2025-07-10 08:00:00,20%回收温度,延炼50万吨/年航煤装置
124.0,ST010384,<p>℃</p>,2025-07-17 08:00:00,50%回收温度,延炼50万吨/年航煤装置
160.5,ST010384,<p>℃</p>,2025-07-17 08:00:00,终馏点,延炼50万吨/年航煤装置
139.0,ST010384,<p>℃</p>,2025-07-17 08:00:00,90%回收温度,延炼50万吨/年航煤装置
0.9,ST010384,体积分数 %,2025-07-17 08:00:00,残留量,延炼50万吨/年航煤装置
119.0,ST010384,<p>℃</p>,2025-07-17 08:00:00,20%回收温度,延炼50万吨/年航煤装置
750.9,ST010384,<p>kg/m<sup>3</sup></p>,2025-07-17 08:00:00,密度(20℃),延炼50万吨/年航煤装置
942,ST010384,ug/g,2025-07-17 08:00:00,总硫含量,延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-07-17 08:00:00,损失量,延炼50万吨/年航煤装置
114.0,ST010384,<p>℃</p>,2025-07-17 08:00:00,初馏点,延炼50万吨/年航煤装置
118.0,ST010384,<p>℃</p>,2025-07-17 08:00:00,10%回收温度,延炼50万吨/年航煤装置
755.7,ST010384,<p>kg/m<sup>3</sup></p>,2025-07-24 08:00:00,密度(20℃),延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-07-24 08:00:00,残留量,延炼50万吨/年航煤装置
497,ST010384,ug/g,2025-07-24 08:00:00,总硫含量,延炼50万吨/年航煤装置
126.0,ST010384,<p>℃</p>,2025-07-24 08:00:00,20%回收温度,延炼50万吨/年航煤装置
0.8,ST010384,体积分数 %,2025-07-24 08:00:00,损失量,延炼50万吨/年航煤装置
120.0,ST010384,<p>℃</p>,2025-07-24 08:00:00,初馏点,延炼50万吨/年航煤装置
125.0,ST010384,<p>℃</p>,2025-07-24 08:00:00,10%回收温度,延炼50万吨/年航煤装置
131.0,ST010384,<p>℃</p>,2025-07-24 08:00:00,50%回收温度,延炼50万吨/年航煤装置
160.0,ST010384,<p>℃</p>,2025-07-24 08:00:00,终馏点,延炼50万吨/年航煤装置
146.0,ST010384,<p>℃</p>,2025-07-24 08:00:00,90%回收温度,延炼50万吨/年航煤装置
750.8,ST010384,<p>kg/m<sup>3</sup></p>,2025-07-31 08:00:00,密度(20℃),延炼50万吨/年航煤装置
124.0,ST010384,<p>℃</p>,2025-07-31 08:00:00,50%回收温度,延炼50万吨/年航煤装置
116.0,ST010384,<p>℃</p>,2025-07-31 08:00:00,20%回收温度,延炼50万吨/年航煤装置
114.0,ST010384,<p>℃</p>,2025-07-31 08:00:00,10%回收温度,延炼50万吨/年航煤装置
865,ST010384,&mu;g/g,2025-07-31 08:00:00,总硫含量,延炼50万吨/年航煤装置
0.5,ST010384,体积分数 %,2025-07-31 08:00:00,损失量,延炼50万吨/年航煤装置
164.5,ST010384,<p>℃</p>,2025-07-31 08:00:00,终馏点,延炼50万吨/年航煤装置
145.5,ST010384,<p>℃</p>,2025-07-31 08:00:00,90%回收温度,延炼50万吨/年航煤装置
1.0,ST010384,体积分数 %,2025-07-31 08:00:00,残留量,延炼50万吨/年航煤装置
107.0,ST010384,<p>℃</p>,2025-07-31 08:00:00,初馏点,延炼50万吨/年航煤装置
1030,ST010384,&mu;g/g,2025-08-07 08:00:00,总硫含量,延炼50万吨/年航煤装置
0.5,ST010384,体积分数 %,2025-08-07 08:00:00,损失量,延炼50万吨/年航煤装置
106.0,ST010384,<p>℃</p>,2025-08-07 08:00:00,初馏点,延炼50万吨/年航煤装置
115.5,ST010384,<p>℃</p>,2025-08-07 08:00:00,10%回收温度,延炼50万吨/年航煤装置
752.7,ST010384,<p>kg/m<sup>3</sup></p>,2025-08-07 08:00:00,密度(20℃),延炼50万吨/年航煤装置
126.5,ST010384,<p>℃</p>,2025-08-07 08:00:00,50%回收温度,延炼50万吨/年航煤装置
