result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.02,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,丙烯,延炼50万吨/年航煤装置
0.01,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,丙烷,延炼50万吨/年航煤装置
0.60,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,甲烷,延炼50万吨/年航煤装置
64.03,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,氢气,延炼50万吨/年航煤装置
3.83,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,二氧化碳,延炼50万吨/年航煤装置
0.07,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,一氧化碳,延炼50万吨/年航煤装置
0.05,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,乙烯,延炼50万吨/年航煤装置
0.38,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,氧气,延炼50万吨/年航煤装置
0.00,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,碳五(合计),延炼50万吨/年航煤装置
0.26,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,乙烷,延炼50万吨/年航煤装置
0.00,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,正戊烷,延炼50万吨/年航煤装置
0.00,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,异戊烷,延炼50万吨/年航煤装置
0.00,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,碳四(合计),延炼50万吨/年航煤装置
30.75,ST010380,"<p>%(v/v)</p>
",2025-05-11 08:00:00,氮气,延炼50万吨/年航煤装置
0.32,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,乙烷,延炼50万吨/年航煤装置
0.00,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,正戊烷,延炼50万吨/年航煤装置
0.00,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,异戊烷,延炼50万吨/年航煤装置
0.00,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,碳四(合计),延炼50万吨/年航煤装置
0.03,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,乙烯,延炼50万吨/年航煤装置
0.01,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,丙烯,延炼50万吨/年航煤装置
0.02,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,丙烷,延炼50万吨/年航煤装置
0.54,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,甲烷,延炼50万吨/年航煤装置
69.38,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,氢气,延炼50万吨/年航煤装置
3.69,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,二氧化碳,延炼50万吨/年航煤装置
0.06,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,一氧化碳,延炼50万吨/年航煤装置
25.71,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,氮气,延炼50万吨/年航煤装置
0.24,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,氧气,延炼50万吨/年航煤装置
0.00,ST010380,"<p>%(v/v)</p>
",2025-05-15 08:00:00,碳五(合计),延炼50万吨/年航煤装置
0.36,ST010380,"<p>%(v/v)</p>
",2025-05-22 08:00:00,氧气,延炼50万吨/年航煤装置
25.86,ST010380,"<p>%(v/v)</p>
",2025-05-22 08:00:00,氮气,延炼50万吨/年航煤装置
