result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.02,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,乙烷,延炼50万吨/年航煤装置
0.00,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,正戊烷,延炼50万吨/年航煤装置
0.00,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,异戊烷,延炼50万吨/年航煤装置
0.00,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,碳四(合计),延炼50万吨/年航煤装置
0.11,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,乙烯,延炼50万吨/年航煤装置
0.01,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,丙烯,延炼50万吨/年航煤装置
0.00,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,碳五(合计),延炼50万吨/年航煤装置
0.34,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,甲烷,延炼50万吨/年航煤装置
80.18,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,氢气,延炼50万吨/年航煤装置
1.77,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,二氧化碳,延炼50万吨/年航煤装置
0.04,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,一氧化碳,延炼50万吨/年航煤装置
17.38,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,氮气,延炼50万吨/年航煤装置
0.14,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,氧气,延炼50万吨/年航煤装置
0.00,ST010378,"<p>%(v/v)</p>
",2025-05-11 08:00:00,丙烷,延炼50万吨/年航煤装置
0.02,ST010378,"<p>%(v/v)</p>
",2025-05-15 08:00:00,乙烷,延炼50万吨/年航煤装置
0.00,ST010378,"<p>%(v/v)</p>
",2025-05-15 08:00:00,正戊烷,延炼50万吨/年航煤装置
0.00,ST010378,"<p>%(v/v)</p>
",2025-05-15 08:00:00,异戊烷,延炼50万吨/年航煤装置
0.00,ST010378,"<p>%(v/v)</p>
",2025-05-15 08:00:00,碳四(合计),延炼50万吨/年航煤装置
0.14,ST010378,"<p>%(v/v)</p>
",2025-05-15 08:00:00,乙烯,延炼50万吨/年航煤装置
0.01,ST010378,"<p>%(v/v)</p>
",2025-05-15 08:00:00,丙烯,延炼50万吨/年航煤装置
0.00,ST010378,"<p>%(v/v)</p>
",2025-05-15 08:00:00,丙烷,延炼50万吨/年航煤装置
0.38,ST010378,"<p>%(v/v)</p>
",2025-05-15 08:00:00,甲烷,延炼50万吨/年航煤装置
80.85,ST010378,"<p>%(v/v)</p>
",2025-05-15 08:00:00,氢气,延炼50万吨/年航煤装置
1.85,ST010378,"<p>%(v/v)</p>
",2025-05-15 08:00:00,二氧化碳,延炼50万吨/年航煤装置
0.04,ST010378,"<p>%(v/v)</p>
",2025-05-15 08:00:00,一氧化碳,延炼50万吨/年航煤装置
16.70,ST010378,"<p>%(v/v)</p>
",2025-05-15 08:00:00,氮气,延炼50万吨/年航煤装置
