result,sampleDotCode,unitName,sampleTime,resultName,deviceName
46.31,ST010016,质量分数 %,2025-05-05 08:00:00,甲醇,延炼6万吨/年MTBE装置
53.69,ST010016,质量分数 %,2025-05-05 08:00:00,水,延炼6万吨/年MTBE装置
53.77,ST010016,质量分数 %,2025-05-12 08:00:00,水,延炼6万吨/年MTBE装置
46.23,ST010016,质量分数 %,2025-05-12 08:00:00,甲醇,延炼6万吨/年MTBE装置
45.09,ST010016,质量分数 %,2025-05-19 08:00:00,甲醇,延炼6万吨/年MTBE装置
54.91,ST010016,质量分数 %,2025-05-19 08:00:00,水,延炼6万吨/年MTBE装置
46.68,ST010016,质量分数 %,2025-05-26 08:00:00,甲醇,延炼6万吨/年MTBE装置
53.32,ST010016,质量分数 %,2025-05-26 08:00:00,水,延炼6万吨/年MTBE装置
48.04,ST010016,质量分数 %,2025-06-02 08:00:00,甲醇,延炼6万吨/年MTBE装置
51.96,ST010016,质量分数 %,2025-06-02 08:00:00,水,延炼6万吨/年MTBE装置
46.93,ST010016,质量分数 %,2025-06-09 08:00:00,甲醇,延炼6万吨/年MTBE装置
53.07,ST010016,质量分数 %,2025-06-09 08:00:00,水,延炼6万吨/年MTBE装置
47.63,ST010016,质量分数 %,2025-06-16 08:00:00,甲醇,延炼6万吨/年MTBE装置
52.37,ST010016,质量分数 %,2025-06-16 08:00:00,水,延炼6万吨/年MTBE装置
47.66,ST010016,质量分数 %,2025-06-23 08:00:00,甲醇,延炼6万吨/年MTBE装置
52.34,ST010016,质量分数 %,2025-06-23 08:00:00,水,延炼6万吨/年MTBE装置
47.73,ST010016,质量分数 %,2025-06-30 08:00:00,甲醇,延炼6万吨/年MTBE装置
52.27,ST010016,质量分数 %,2025-06-30 08:00:00,水,延炼6万吨/年MTBE装置
49.65,ST010016,质量分数 %,2025-07-07 08:00:00,甲醇,延炼6万吨/年MTBE装置
50.35,ST010016,质量分数 %,2025-07-07 08:00:00,水,延炼6万吨/年MTBE装置
46.12,ST010016,质量分数 %,2025-07-14 08:00:00,甲醇,延炼6万吨/年MTBE装置
53.88,ST010016,质量分数 %,2025-07-14 08:00:00,水,延炼6万吨/年MTBE装置
47.86,ST010016,质量分数 %,2025-07-21 08:00:00,甲醇,延炼6万吨/年MTBE装置
52.14,ST010016,质量分数 %,2025-07-21 08:00:00,水,延炼6万吨/年MTBE装置
45.22,ST010016,质量分数 %,2025-07-28 08:00:00,甲醇,延炼6万吨/年MTBE装置
54.78,ST010016,质量分数 %,2025-07-28 08:00:00,水,延炼6万吨/年MTBE装置
55.66,ST010016,质量分数 %,2025-08-04 08:00:00,水,延炼6万吨/年MTBE装置
44.34,ST010016,质量分数 %,2025-08-04 08:00:00,甲醇,延炼6万吨/年MTBE装置
43.81,ST010016,质量分数 %,2025-08-11 08:00:00,甲醇,延炼6万吨/年MTBE装置
56.19,ST010016,质量分数 %,2025-08-11 08:00:00,水,延炼6万吨/年MTBE装置
40.95,ST010016,质量分数 %,2025-08-18 08:00:00,甲醇,延炼6万吨/年MTBE装置
59.05,ST010016,质量分数 %,2025-08-18 08:00:00,水,延炼6万吨/年MTBE装置
42.51,ST010016,质量分数 %,2025-08-25 08:00:00,甲醇,延炼6万吨/年MTBE装置
57.49,ST010016,质量分数 %,2025-08-25 08:00:00,水,延炼6万吨/年MTBE装置
42.44,ST010016,质量分数 %,2025-09-01 08:00:00,甲醇,延炼6万吨/年MTBE装置
57.56,ST010016,质量分数 %,2025-09-01 08:00:00,水,延炼6万吨/年MTBE装置
44.61,ST010016,质量分数 %,2025-09-08 08:00:00,甲醇,延炼6万吨/年MTBE装置
55.39,ST010016,质量分数 %,2025-09-08 08:00:00,水,延炼6万吨/年MTBE装置
40.12,ST010016,质量分数 %,2025-09-15 08:00:00,甲醇,延炼6万吨/年MTBE装置
59.88,ST010016,质量分数 %,2025-09-15 08:00:00,水,延炼6万吨/年MTBE装置
41.27,ST010016,质量分数 %,2025-09-22 08:00:00,甲醇,延炼6万吨/年MTBE装置
58.73,ST010016,质量分数 %,2025-09-22 08:00:00,水,延炼6万吨/年MTBE装置
42.85,ST010016,质量分数 %,2025-09-29 08:00:00,甲醇,延炼6万吨/年MTBE装置
57.15,ST010016,质量分数 %,2025-09-29 08:00:00,水,延炼6万吨/年MTBE装置
43.66,ST010016,质量分数 %,2025-10-06 08:00:00,甲醇,延炼6万吨/年MTBE装置
56.34,ST010016,质量分数 %,2025-10-06 08:00:00,水,延炼6万吨/年MTBE装置
44.58,ST010016,质量分数 %,2025-10-13 08:00:00,甲醇,延炼6万吨/年MTBE装置
55.42,ST010016,质量分数 %,2025-10-13 08:00:00,水,延炼6万吨/年MTBE装置
41.55,ST010016,质量分数 %,2025-10-20 08:00:00,甲醇,延炼6万吨/年MTBE装置
58.45,ST010016,质量分数 %,2025-10-20 08:00:00,水,延炼6万吨/年MTBE装置
42.41,ST010016,质量分数 %,2025-10-27 08:00:00,甲醇,延炼6万吨/年MTBE装置
57.59,ST010016,质量分数 %,2025-10-27 08:00:00,水,延炼6万吨/年MTBE装置
49.28,ST010016,质量分数 %,2025-11-03 08:00:00,甲醇,延炼6万吨/年MTBE装置
50.72,ST010016,质量分数 %,2025-11-03 08:00:00,水,延炼6万吨/年MTBE装置
49.45,ST010016,质量分数 %,2025-11-10 08:00:00,甲醇,延炼6万吨/年MTBE装置
50.55,ST010016,质量分数 %,2025-11-10 08:00:00,水,延炼6万吨/年MTBE装置
48.61,ST010016,质量分数 %,2025-11-17 08:00:00,甲醇,延炼6万吨/年MTBE装置
51.39,ST010016,质量分数 %,2025-11-17 08:00:00,水,延炼6万吨/年MTBE装置
51.46,ST010016,质量分数 %,2025-11-24 08:00:00,甲醇,延炼6万吨/年MTBE装置
48.54,ST010016,质量分数 %,2025-11-24 08:00:00,水,延炼6万吨/年MTBE装置
48.41,ST010016,质量分数 %,2025-12-01 08:00:00,甲醇,延炼6万吨/年MTBE装置
51.59,ST010016,质量分数 %,2025-12-01 08:00:00,水,延炼6万吨/年MTBE装置
45.98,ST010016,质量分数 %,2025-12-08 08:00:00,甲醇,延炼6万吨/年MTBE装置
54.02,ST010016,质量分数 %,2025-12-08 08:00:00,水,延炼6万吨/年MTBE装置
46.33,ST010016,质量分数 %,2025-12-15 08:00:00,甲醇,延炼6万吨/年MTBE装置
53.67,ST010016,质量分数 %,2025-12-15 08:00:00,水,延炼6万吨/年MTBE装置
44.88,ST010016,质量分数 %,2025-12-22 08:00:00,甲醇,延炼6万吨/年MTBE装置
55.12,ST010016,质量分数 %,2025-12-22 08:00:00,水,延炼6万吨/年MTBE装置
42.19,ST010016,质量分数 %,2025-12-29 08:00:00,甲醇,延炼6万吨/年MTBE装置
57.81,ST010016,质量分数 %,2025-12-29 08:00:00,水,延炼6万吨/年MTBE装置
46.35,ST010016,质量分数 %,2026-01-05 08:00:00,甲醇,延炼6万吨/年MTBE装置
53.65,ST010016,质量分数 %,2026-01-05 08:00:00,水,延炼6万吨/年MTBE装置
45.34,ST010016,质量分数 %,2026-01-12 08:00:00,甲醇,延炼6万吨/年MTBE装置
54.66,ST010016,质量分数 %,2026-01-12 08:00:00,水,延炼6万吨/年MTBE装置
44.61,ST010016,质量分数 %,2026-01-19 08:00:00,甲醇,延炼6万吨/年MTBE装置
55.39,ST010016,质量分数 %,2026-01-19 08:00:00,水,延炼6万吨/年MTBE装置
43.55,ST010016,质量分数 %,2026-01-26 08:00:00,甲醇,延炼6万吨/年MTBE装置
56.45,ST010016,质量分数 %,2026-01-26 08:00:00,水,延炼6万吨/年MTBE装置
43.02,ST010016,质量分数 %,2026-02-02 08:00:00,甲醇,延炼6万吨/年MTBE装置
56.98,ST010016,质量分数 %,2026-02-02 08:00:00,水,延炼6万吨/年MTBE装置
47.73,ST010016,质量分数 %,2026-02-09 08:00:00,甲醇,延炼6万吨/年MTBE装置
52.27,ST010016,质量分数 %,2026-02-09 08:00:00,水,延炼6万吨/年MTBE装置
48.65,ST010016,质量分数 %,2026-02-16 08:00:00,甲醇,延炼6万吨/年MTBE装置
51.35,ST010016,质量分数 %,2026-02-16 08:00:00,水,延炼6万吨/年MTBE装置
52.47,ST010016,质量分数 %,2026-02-23 08:00:00,水,延炼6万吨/年MTBE装置
47.53,ST010016,质量分数 %,2026-02-23 08:00:00,甲醇,延炼6万吨/年MTBE装置
47.69,ST010016,质量分数 %,2026-03-02 08:00:00,甲醇,延炼6万吨/年MTBE装置
52.31,ST010016,质量分数 %,2026-03-02 08:00:00,水,延炼6万吨/年MTBE装置
46.23,ST010016,质量分数 %,2026-03-09 08:00:00,甲醇,延炼6万吨/年MTBE装置
53.77,ST010016,质量分数 %,2026-03-09 08:00:00,水,延炼6万吨/年MTBE装置
47.54,ST010016,质量分数 %,2026-03-16 08:00:00,甲醇,延炼6万吨/年MTBE装置
52.46,ST010016,质量分数 %,2026-03-16 08:00:00,水,延炼6万吨/年MTBE装置
46.82,ST010016,质量分数 %,2026-03-23 08:00:00,甲醇,延炼6万吨/年MTBE装置
53.18,ST010016,质量分数 %,2026-03-23 08:00:00,水,延炼6万吨/年MTBE装置
47.33,ST010016,质量分数 %,2026-03-30 08:00:00,甲醇,延炼6万吨/年MTBE装置
52.67,ST010016,质量分数 %,2026-03-30 08:00:00,水,延炼6万吨/年MTBE装置
47.95,ST010016,质量分数 %,2026-04-06 08:00:00,甲醇,延炼6万吨/年MTBE装置
52.05,ST010016,质量分数 %,2026-04-06 08:00:00,水,延炼6万吨/年MTBE装置
46.23,ST010016,质量分数 %,2026-04-13 08:00:00,甲醇,延炼6万吨/年MTBE装置
53.77,ST010016,质量分数 %,2026-04-13 08:00:00,水,延炼6万吨/年MTBE装置
48.34,ST010016,质量分数 %,2026-04-20 08:00:00,甲醇,延炼6万吨/年MTBE装置
51.66,ST010016,质量分数 %,2026-04-20 08:00:00,水,延炼6万吨/年MTBE装置
53.54,ST010016,质量分数 %,2026-04-27 08:00:00,甲醇,延炼6万吨/年MTBE装置
46.46,ST010016,质量分数 %,2026-04-27 08:00:00,水,延炼6万吨/年MTBE装置
