result,sampleDotCode,unitName,sampleTime,resultName,deviceName
337,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-01 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-01 08:00:00,MTBE,延炼6万吨/年MTBE装置
362,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-02 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-02 08:00:00,MTBE,延炼6万吨/年MTBE装置
311,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-03 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-03 08:00:00,MTBE,延炼6万吨/年MTBE装置
217,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-04 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-04 08:00:00,MTBE,延炼6万吨/年MTBE装置
303,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-05 08:00:00,二甲醚,延炼6万吨/年MTBE装置
7,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-05 08:00:00,MTBE,延炼6万吨/年MTBE装置
416,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-06 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-06 08:00:00,MTBE,延炼6万吨/年MTBE装置
385,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-07 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-07 08:00:00,MTBE,延炼6万吨/年MTBE装置
365,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-08 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-08 08:00:00,MTBE,延炼6万吨/年MTBE装置
341,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-09 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-09 08:00:00,MTBE,延炼6万吨/年MTBE装置
353,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-10 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-10 08:00:00,MTBE,延炼6万吨/年MTBE装置
378,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-11 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-11 08:00:00,MTBE,延炼6万吨/年MTBE装置
343,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-12 08:00:00,二甲醚,延炼6万吨/年MTBE装置
7,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-12 08:00:00,MTBE,延炼6万吨/年MTBE装置
422,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-13 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-13 08:00:00,MTBE,延炼6万吨/年MTBE装置
389,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-14 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-14 08:00:00,MTBE,延炼6万吨/年MTBE装置
386,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-15 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-15 08:00:00,MTBE,延炼6万吨/年MTBE装置
372,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-17 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-17 08:00:00,MTBE,延炼6万吨/年MTBE装置
362,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-18 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-18 08:00:00,MTBE,延炼6万吨/年MTBE装置
358,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-19 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-19 08:00:00,MTBE,延炼6万吨/年MTBE装置
331,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-20 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-20 08:00:00,MTBE,延炼6万吨/年MTBE装置
339,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-21 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-21 08:00:00,MTBE,延炼6万吨/年MTBE装置
342,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-22 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-22 08:00:00,MTBE,延炼6万吨/年MTBE装置
353,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-23 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-23 08:00:00,MTBE,延炼6万吨/年MTBE装置
369,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-24 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-24 08:00:00,MTBE,延炼6万吨/年MTBE装置
378,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-25 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-25 08:00:00,MTBE,延炼6万吨/年MTBE装置
358,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-26 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-26 08:00:00,MTBE,延炼6万吨/年MTBE装置
355,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-27 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-27 08:00:00,MTBE,延炼6万吨/年MTBE装置
323,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-28 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-28 08:00:00,MTBE,延炼6万吨/年MTBE装置
312,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-29 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-29 08:00:00,MTBE,延炼6万吨/年MTBE装置
320,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-30 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-30 08:00:00,MTBE,延炼6万吨/年MTBE装置
223,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-31 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-05-31 08:00:00,MTBE,延炼6万吨/年MTBE装置
278,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-01 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-01 08:00:00,MTBE,延炼6万吨/年MTBE装置
370,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-02 08:00:00,二甲醚,延炼6万吨/年MTBE装置
7,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-02 08:00:00,MTBE,延炼6万吨/年MTBE装置
352,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-03 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-03 08:00:00,MTBE,延炼6万吨/年MTBE装置
355,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-04 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-04 08:00:00,MTBE,延炼6万吨/年MTBE装置
328,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-05 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-05 08:00:00,MTBE,延炼6万吨/年MTBE装置
332,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-06 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-06 08:00:00,MTBE,延炼6万吨/年MTBE装置
346,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-07 08:00:00,二甲醚,延炼6万吨/年MTBE装置
5,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-07 08:00:00,MTBE,延炼6万吨/年MTBE装置
360,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-08 08:00:00,二甲醚,延炼6万吨/年MTBE装置
7,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-08 08:00:00,MTBE,延炼6万吨/年MTBE装置
335,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-09 08:00:00,二甲醚,延炼6万吨/年MTBE装置
6,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-09 08:00:00,MTBE,延炼6万吨/年MTBE装置
353,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-10 08:00:00,二甲醚,延炼6万吨/年MTBE装置
7,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-10 08:00:00,MTBE,延炼6万吨/年MTBE装置
342,ST010012,<p>mL/m<sup>3</sup></p>,2025-06-11 08:00:00,二甲醚,延炼6万吨/年MTBE装置
