result,sampleDotCode,unitName,sampleTime,resultName,deviceName
99.96,ST010017,质量分数 %,2025-05-01 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010017,质量分数 %,2025-05-01 08:00:00,水,延炼6万吨/年MTBE装置
99.97,ST010017,质量分数 %,2025-05-02 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.03,ST010017,质量分数 %,2025-05-02 08:00:00,水,延炼6万吨/年MTBE装置
99.97,ST010017,质量分数 %,2025-05-03 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.03,ST010017,质量分数 %,2025-05-03 08:00:00,水,延炼6万吨/年MTBE装置
99.97,ST010017,质量分数 %,2025-05-04 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.03,ST010017,质量分数 %,2025-05-04 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010017,质量分数 %,2025-05-05 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010017,质量分数 %,2025-05-05 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-05-06 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-05-06 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010017,质量分数 %,2025-05-07 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010017,质量分数 %,2025-05-07 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010017,质量分数 %,2025-05-08 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010017,质量分数 %,2025-05-08 08:00:00,水,延炼6万吨/年MTBE装置
99.93,ST010017,质量分数 %,2025-05-09 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.07,ST010017,质量分数 %,2025-05-09 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-05-10 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-05-10 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010017,质量分数 %,2025-05-11 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010017,质量分数 %,2025-05-11 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-05-12 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-05-12 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010017,质量分数 %,2025-05-13 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010017,质量分数 %,2025-05-13 08:00:00,水,延炼6万吨/年MTBE装置
99.97,ST010017,质量分数 %,2025-05-14 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.03,ST010017,质量分数 %,2025-05-14 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-05-15 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-05-15 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010017,质量分数 %,2025-05-16 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010017,质量分数 %,2025-05-16 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-05-17 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-05-17 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010017,质量分数 %,2025-05-18 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010017,质量分数 %,2025-05-18 08:00:00,水,延炼6万吨/年MTBE装置
99.97,ST010017,质量分数 %,2025-05-19 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.03,ST010017,质量分数 %,2025-05-19 08:00:00,水,延炼6万吨/年MTBE装置
99.98,ST010017,质量分数 %,2025-05-20 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.02,ST010017,质量分数 %,2025-05-20 08:00:00,水,延炼6万吨/年MTBE装置
99.92,ST010017,质量分数 %,2025-05-21 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.08,ST010017,质量分数 %,2025-05-21 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010017,质量分数 %,2025-05-22 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010017,质量分数 %,2025-05-22 08:00:00,水,延炼6万吨/年MTBE装置
99.93,ST010017,质量分数 %,2025-05-23 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.07,ST010017,质量分数 %,2025-05-23 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-05-24 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-05-24 08:00:00,水,延炼6万吨/年MTBE装置
99.92,ST010017,质量分数 %,2025-05-25 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.08,ST010017,质量分数 %,2025-05-25 08:00:00,水,延炼6万吨/年MTBE装置
99.97,ST010017,质量分数 %,2025-05-26 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.03,ST010017,质量分数 %,2025-05-26 08:00:00,水,延炼6万吨/年MTBE装置
99.93,ST010017,质量分数 %,2025-05-27 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.07,ST010017,质量分数 %,2025-05-27 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-05-28 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-05-28 08:00:00,水,延炼6万吨/年MTBE装置
99.93,ST010017,质量分数 %,2025-05-29 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.07,ST010017,质量分数 %,2025-05-29 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-05-30 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-05-30 08:00:00,水,延炼6万吨/年MTBE装置
99.97,ST010017,质量分数 %,2025-05-31 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.03,ST010017,质量分数 %,2025-05-31 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010017,质量分数 %,2025-06-01 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010017,质量分数 %,2025-06-01 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-06-02 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-06-02 08:00:00,水,延炼6万吨/年MTBE装置
99.93,ST010017,质量分数 %,2025-06-03 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.07,ST010017,质量分数 %,2025-06-03 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-06-04 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-06-04 08:00:00,水,延炼6万吨/年MTBE装置
99.93,ST010017,质量分数 %,2025-06-05 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.07,ST010017,质量分数 %,2025-06-05 08:00:00,水,延炼6万吨/年MTBE装置
99.98,ST010017,质量分数 %,2025-06-06 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.02,ST010017,质量分数 %,2025-06-06 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010017,质量分数 %,2025-06-07 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010017,质量分数 %,2025-06-07 08:00:00,水,延炼6万吨/年MTBE装置
99.90,ST010017,质量分数 %,2025-06-08 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.10,ST010017,质量分数 %,2025-06-08 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-06-09 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-06-09 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010017,质量分数 %,2025-06-10 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010017,质量分数 %,2025-06-10 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-06-11 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-06-11 08:00:00,水,延炼6万吨/年MTBE装置
99.97,ST010017,质量分数 %,2025-06-12 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.03,ST010017,质量分数 %,2025-06-12 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010017,质量分数 %,2025-06-13 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010017,质量分数 %,2025-06-13 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-06-14 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-06-14 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010017,质量分数 %,2025-06-15 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010017,质量分数 %,2025-06-15 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010017,质量分数 %,2025-06-16 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010017,质量分数 %,2025-06-16 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-06-17 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-06-17 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010017,质量分数 %,2025-06-18 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010017,质量分数 %,2025-06-18 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010017,质量分数 %,2025-06-19 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010017,质量分数 %,2025-06-19 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-06-20 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-06-20 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010017,质量分数 %,2025-06-21 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010017,质量分数 %,2025-06-21 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010017,质量分数 %,2025-06-22 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010017,质量分数 %,2025-06-22 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010017,质量分数 %,2025-06-23 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010017,质量分数 %,2025-06-23 08:00:00,水,延炼6万吨/年MTBE装置
99.97,ST010017,质量分数 %,2025-06-24 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.03,ST010017,质量分数 %,2025-06-24 08:00:00,水,延炼6万吨/年MTBE装置
99.98,ST010017,质量分数 %,2025-06-25 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.02,ST010017,质量分数 %,2025-06-25 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010017,质量分数 %,2025-06-26 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010017,质量分数 %,2025-06-26 08:00:00,水,延炼6万吨/年MTBE装置
99.93,ST010017,质量分数 %,2025-06-27 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.07,ST010017,质量分数 %,2025-06-27 08:00:00,水,延炼6万吨/年MTBE装置
99.92,ST010017,质量分数 %,2025-06-28 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.08,ST010017,质量分数 %,2025-06-28 08:00:00,水,延炼6万吨/年MTBE装置
99.98,ST010017,质量分数 %,2025-06-29 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.02,ST010017,质量分数 %,2025-06-29 08:00:00,水,延炼6万吨/年MTBE装置
99.97,ST010017,质量分数 %,2025-06-30 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.03,ST010017,质量分数 %,2025-06-30 08:00:00,水,延炼6万吨/年MTBE装置
99.93,ST010017,质量分数 %,2025-07-01 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.07,ST010017,质量分数 %,2025-07-01 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010017,质量分数 %,2025-07-02 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010017,质量分数 %,2025-07-02 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010017,质量分数 %,2025-07-03 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010017,质量分数 %,2025-07-03 08:00:00,水,延炼6万吨/年MTBE装置
99.97,ST010017,质量分数 %,2025-07-04 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.03,ST010017,质量分数 %,2025-07-04 08:00:00,水,延炼6万吨/年MTBE装置
99.98,ST010017,质量分数 %,2025-07-05 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.02,ST010017,质量分数 %,2025-07-05 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010017,质量分数 %,2025-07-06 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010017,质量分数 %,2025-07-06 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010017,质量分数 %,2025-07-07 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010017,质量分数 %,2025-07-07 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010017,质量分数 %,2025-07-08 08:00:00,甲醇,延炼6万吨/年MTBE装置
