result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.17,ST010009,体积分数 %,2025-05-01 08:00:00,丙  烷,延炼6万吨/年MTBE装置
0.05,ST010009,体积分数 %,2025-05-01 08:00:00,丙  烯,延炼6万吨/年MTBE装置
44.15,ST010009,体积分数 %,2025-05-01 08:00:00,异丁烷,延炼6万吨/年MTBE装置
12.57,ST010009,体积分数 %,2025-05-01 08:00:00,反丁烯,延炼6万吨/年MTBE装置
13.22,ST010009,体积分数 %,2025-05-01 08:00:00,异丁烯,延炼6万吨/年MTBE装置
0.00,ST010009,体积分数 %,2025-05-01 08:00:00,碳  五,延炼6万吨/年MTBE装置
11.71,ST010009,体积分数 %,2025-05-01 08:00:00,正丁烯,延炼6万吨/年MTBE装置
18.13,ST010009,体积分数 %,2025-05-01 08:00:00,正丁烷+顺丁烯,延炼6万吨/年MTBE装置
0.14,ST010009,体积分数 %,2025-05-01 20:00:00,丙  烷,延炼6万吨/年MTBE装置
0.06,ST010009,体积分数 %,2025-05-01 20:00:00,丙  烯,延炼6万吨/年MTBE装置
45.21,ST010009,体积分数 %,2025-05-01 20:00:00,异丁烷,延炼6万吨/年MTBE装置
12.01,ST010009,体积分数 %,2025-05-01 20:00:00,反丁烯,延炼6万吨/年MTBE装置
13.12,ST010009,体积分数 %,2025-05-01 20:00:00,异丁烯,延炼6万吨/年MTBE装置
0.00,ST010009,体积分数 %,2025-05-01 20:00:00,碳  五,延炼6万吨/年MTBE装置
11.43,ST010009,体积分数 %,2025-05-01 20:00:00,正丁烯,延炼6万吨/年MTBE装置
18.03,ST010009,体积分数 %,2025-05-01 20:00:00,正丁烷+顺丁烯,延炼6万吨/年MTBE装置
0.09,ST010009,体积分数 %,2025-05-02 08:00:00,丙  烷,延炼6万吨/年MTBE装置
0.11,ST010009,体积分数 %,2025-05-02 08:00:00,丙  烯,延炼6万吨/年MTBE装置
42.58,ST010009,体积分数 %,2025-05-02 08:00:00,异丁烷,延炼6万吨/年MTBE装置
