result,sampleDotCode,unitName,sampleTime,resultName,deviceName
99.97,ST010015,质量分数 %,2025-05-01 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.03,ST010015,质量分数 %,2025-05-01 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010015,质量分数 %,2025-05-05 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010015,质量分数 %,2025-05-05 08:00:00,水,延炼6万吨/年MTBE装置
99.93,ST010015,质量分数 %,2025-05-08 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.07,ST010015,质量分数 %,2025-05-08 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010015,质量分数 %,2025-05-12 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010015,质量分数 %,2025-05-12 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010015,质量分数 %,2025-05-15 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010015,质量分数 %,2025-05-15 08:00:00,水,延炼6万吨/年MTBE装置
99.98,ST010015,质量分数 %,2025-05-19 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.02,ST010015,质量分数 %,2025-05-19 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010015,质量分数 %,2025-05-22 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010015,质量分数 %,2025-05-22 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010015,质量分数 %,2025-05-26 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010015,质量分数 %,2025-05-26 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010015,质量分数 %,2025-05-29 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010015,质量分数 %,2025-05-29 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010015,质量分数 %,2025-06-02 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010015,质量分数 %,2025-06-02 08:00:00,水,延炼6万吨/年MTBE装置
99.94,ST010015,质量分数 %,2025-06-05 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.06,ST010015,质量分数 %,2025-06-05 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010015,质量分数 %,2025-06-09 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010015,质量分数 %,2025-06-09 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010015,质量分数 %,2025-06-12 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010015,质量分数 %,2025-06-12 08:00:00,水,延炼6万吨/年MTBE装置
99.95,ST010015,质量分数 %,2025-06-16 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.05,ST010015,质量分数 %,2025-06-16 08:00:00,水,延炼6万吨/年MTBE装置
99.97,ST010015,质量分数 %,2025-06-19 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.03,ST010015,质量分数 %,2025-06-19 08:00:00,水,延炼6万吨/年MTBE装置
99.96,ST010015,质量分数 %,2025-06-23 08:00:00,甲醇,延炼6万吨/年MTBE装置
0.04,ST010015,质量分数 %,2025-06-23 08:00:00,水,延炼6万吨/年MTBE装置
99.91,ST010015,质量分数 %,2025-06-26 08:00:00,甲醇,延炼6万吨/年MTBE装置
