result,sampleDotCode,unitName,sampleTime,resultName,deviceName
1.39,ST010019,<p>mg/L</p>,2025-05-01 08:00:00,氨氮,延炼6万吨/年MTBE装置
0.78,ST010019,mg/L,2025-05-01 08:00:00,硫化物,延炼6万吨/年MTBE装置
1.64,ST010019,<p>mg/L</p>,2025-05-05 08:00:00,氨氮,延炼6万吨/年MTBE装置
0.94,ST010019,mg/L,2025-05-05 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-07 08:00:00,石油类,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-07 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-07 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,,2025-05-07 08:00:00,pH,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-07 08:00:00,COD,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-08 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-08 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-12 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-12 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,,2025-05-14 08:00:00,pH,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-14 08:00:00,COD,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-14 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-14 08:00:00,石油类,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-14 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-15 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-15 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-19 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-19 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-21 08:00:00,COD,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-21 08:00:00,石油类,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-21 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-21 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,,2025-05-21 08:00:00,pH,延炼6万吨/年MTBE装置
0.45,ST010019,<p>mg/L</p>,2025-05-22 08:00:00,氨氮,延炼6万吨/年MTBE装置
0.32,ST010019,mg/L,2025-05-22 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-26 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-26 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,,2025-05-28 08:00:00,pH,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-28 08:00:00,COD,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-28 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-28 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-28 08:00:00,石油类,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-05-29 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-05-29 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-06-02 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-06-02 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-06-04 08:00:00,COD,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-06-04 08:00:00,石油类,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-06-04 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-06-04 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,,2025-06-04 08:00:00,pH,延炼6万吨/年MTBE装置
2.05,ST010019,mg/L,2025-06-05 08:00:00,硫化物,延炼6万吨/年MTBE装置
6.07,ST010019,<p>mg/L</p>,2025-06-05 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,mg/L,2025-06-09 08:00:00,硫化物,延炼6万吨/年MTBE装置
/,ST010019,<p>mg/L</p>,2025-06-09 08:00:00,氨氮,延炼6万吨/年MTBE装置
/,ST010019,,2025-06-11 08:00:00,pH,延炼6万吨/年MTBE装置
