result,sampleDotCode,unitName,sampleTime,resultName,deviceName
14,ST040001,<p>mg/kg</p>,2025-05-01 08:00:00,水分,延化120万吨/年催化重整装置
741.6,ST040001,<p>kg/m<sup>3</sup></p>,2025-05-01 08:00:00,密度,延化120万吨/年催化重整装置
84.0,ST040001,℃,2025-05-01 08:00:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置
99.0,ST040001,℃,2025-05-01 08:00:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置
0.35,ST040001,<p>ppm</p>,2025-05-01 08:00:00,硫含量,延化120万吨/年催化重整装置
142.9,ST040001,℃,2025-05-01 08:00:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置
166.1,ST040001,℃,2025-05-01 08:00:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置
98.0,ST040001,<p>%</p>,2025-05-01 08:00:00,全馏,延化120万吨/年催化重整装置
0.8,ST040001,<p>%</p>,2025-05-01 08:00:00,平均残留百分数(B),延化120万吨/年催化重整装置
116.5,ST040001,℃,2025-05-01 08:00:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置
13,ST040001,<p>mg/kg</p>,2025-05-02 08:00:00,水分,延化120万吨/年催化重整装置
741.9,ST040001,<p>kg/m<sup>3</sup></p>,2025-05-02 08:00:00,密度,延化120万吨/年催化重整装置
86.3,ST040001,℃,2025-05-02 08:00:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置
99.1,ST040001,℃,2025-05-02 08:00:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置
0.37,ST040001,<p>ppm</p>,2025-05-02 08:00:00,硫含量,延化120万吨/年催化重整装置
142.9,ST040001,℃,2025-05-02 08:00:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置
166.3,ST040001,℃,2025-05-02 08:00:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置
98.0,ST040001,<p>%</p>,2025-05-02 08:00:00,全馏,延化120万吨/年催化重整装置
0.8,ST040001,<p>%</p>,2025-05-02 08:00:00,平均残留百分数(B),延化120万吨/年催化重整装置
116.9,ST040001,℃,2025-05-02 08:00:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置
80.2,ST040001,℃,2025-05-03 08:00:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置
98.4,ST040001,℃,2025-05-03 08:00:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置
116.5,ST040001,℃,2025-05-03 08:00:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置
143.8,ST040001,℃,2025-05-03 08:00:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置
0.28,ST040001,<p>ppm</p>,2025-05-03 08:00:00,硫含量,延化120万吨/年催化重整装置
98.0,ST040001,<p>%</p>,2025-05-03 08:00:00,全馏,延化120万吨/年催化重整装置
0.8,ST040001,<p>%</p>,2025-05-03 08:00:00,平均残留百分数(B),延化120万吨/年催化重整装置
12,ST040001,<p>mg/kg</p>,2025-05-03 08:00:00,水分,延化120万吨/年催化重整装置
741.4,ST040001,<p>kg/m<sup>3</sup></p>,2025-05-03 08:00:00,密度,延化120万吨/年催化重整装置
167.1,ST040001,℃,2025-05-03 08:00:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置
13,ST040001,<p>mg/kg</p>,2025-05-04 08:00:00,水分,延化120万吨/年催化重整装置
741.7,ST040001,<p>kg/m<sup>3</sup></p>,2025-05-04 08:00:00,密度,延化120万吨/年催化重整装置
0.33,ST040001,<p>ppm</p>,2025-05-04 08:00:00,硫含量,延化120万吨/年催化重整装置
76.6,ST040001,℃,2025-05-04 08:00:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置
0.8,ST040001,<p>%</p>,2025-05-04 08:00:00,平均残留百分数(B),延化120万吨/年催化重整装置
98.0,ST040001,<p>%</p>,2025-05-04 08:00:00,全馏,延化120万吨/年催化重整装置
116.8,ST040001,℃,2025-05-04 08:00:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置
144.0,ST040001,℃,2025-05-04 08:00:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置
167.8,ST040001,℃,2025-05-04 08:00:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置
98.2,ST040001,℃,2025-05-04 08:00:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置
142.0,ST040001,℃,2025-05-05 08:00:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置
83.4,ST040001,℃,2025-05-05 08:00:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置
98.5,ST040001,℃,2025-05-05 08:00:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置
116.0,ST040001,℃,2025-05-05 08:00:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置
0.33,ST040001,<p>ppm</p>,2025-05-05 08:00:00,硫含量,延化120万吨/年催化重整装置
98.0,ST040001,<p>%</p>,2025-05-05 08:00:00,全馏,延化120万吨/年催化重整装置
0.8,ST040001,<p>%</p>,2025-05-05 08:00:00,平均残留百分数(B),延化120万吨/年催化重整装置
11,ST040001,<p>mg/kg</p>,2025-05-05 08:00:00,水分,延化120万吨/年催化重整装置
