result,sampleDotCode,unitName,sampleTime,resultName,deviceName
未检出,ST040007,<p>ppm</p>,2025-05-01 20:00:00,硫化氢,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,丙炔,延化120万吨/年催化重整装置
0.61,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,碳五,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,碳五+其他,延化120万吨/年催化重整装置
1.45,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,乙烷,延化120万吨/年催化重整装置
0.16,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,正戊烷,延化120万吨/年催化重整装置
0.45,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,异戊烷,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,顺丁烯,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,异丁烯,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,正丁烯,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,乙烯,延化120万吨/年催化重整装置
0.61,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,正丁烷,延化120万吨/年催化重整装置
0.88,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,异丁烷,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,丙烯,延化120万吨/年催化重整装置
1.69,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,丙烷,延化120万吨/年催化重整装置
1.45,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,碳二,延化120万吨/年催化重整装置
1.13,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,甲烷,延化120万吨/年催化重整装置
93.21,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,氢气,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,二氧化碳,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,一氧化碳,延化120万吨/年催化重整装置
0.23,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,氮气,延化120万吨/年催化重整装置
0.19,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,氧气,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,乙炔,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-01 20:00:00,反丁烯,延化120万吨/年催化重整装置
未检出,ST040007,<p>ppm</p>,2025-05-02 20:00:00,硫化氢,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,丙炔,延化120万吨/年催化重整装置
0.19,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,碳五,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,碳五+其他,延化120万吨/年催化重整装置
1.49,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,乙烷,延化120万吨/年催化重整装置
0.13,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,正戊烷,延化120万吨/年催化重整装置
0.06,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,异戊烷,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,顺丁烯,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,异丁烯,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,正丁烯,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,乙烯,延化120万吨/年催化重整装置
0.25,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,正丁烷,延化120万吨/年催化重整装置
0.44,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,异丁烷,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,丙烯,延化120万吨/年催化重整装置
1.54,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,丙烷,延化120万吨/年催化重整装置
1.49,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,碳二,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,一氧化碳,延化120万吨/年催化重整装置
1.15,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,甲烷,延化120万吨/年催化重整装置
94.24,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,氢气,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,二氧化碳,延化120万吨/年催化重整装置
0.49,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,氮气,延化120万吨/年催化重整装置
0.21,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,氧气,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,乙炔,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-02 20:00:00,反丁烯,延化120万吨/年催化重整装置
92.85,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,氢气,延化120万吨/年催化重整装置
1.10,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,甲烷,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,一氧化碳,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,氮气,延化120万吨/年催化重整装置
0.30,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,氧气,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,乙炔,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,丙炔,延化120万吨/年催化重整装置
未检出,ST040007,<p>ppm</p>,2025-05-03 20:00:00,硫化氢,延化120万吨/年催化重整装置
1.45,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,乙烷,延化120万吨/年催化重整装置
0.02,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,反丁烯,延化120万吨/年催化重整装置
0.90,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,碳五,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,碳五+其他,延化120万吨/年催化重整装置
0.31,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,正戊烷,延化120万吨/年催化重整装置
0.59,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,异戊烷,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,顺丁烯,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,异丁烯,延化120万吨/年催化重整装置
0.01,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,正丁烯,延化120万吨/年催化重整装置
0.00,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,乙烯,延化120万吨/年催化重整装置
1.71,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,丙烷,延化120万吨/年催化重整装置
0.69,ST040007,"<p>%(v/v)</p>
",2025-05-03 20:00:00,正丁烷,延化120万吨/年催化重整装置
