result,sampleDotCode,unitName,sampleTime,resultName,deviceName
未检出,ST040013,<p>ppm</p>,2025-05-01 08:00:00,硫化氢,延化120万吨/年催化重整装置
3,ST040013,<p>ppm</p>,2025-05-01 08:00:00,硫含量,延化120万吨/年催化重整装置
3.57,ST040013,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烷+乙烯,延化120万吨/年催化重整装置
32.77,ST040013,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烷,延化120万吨/年催化重整装置
0.27,ST040013,"<p>%(v/v)</p>
",2025-05-01 08:00:00,正丁烯+异丁烯,延化120万吨/年催化重整装置
0.05,ST040013,"<p>%(v/v)</p>
",2025-05-01 08:00:00,C5,延化120万吨/年催化重整装置
0.06,ST040013,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烯,延化120万吨/年催化重整装置
36.88,ST040013,"<p>%(v/v)</p>
",2025-05-01 08:00:00,正丁烷,延化120万吨/年催化重整装置
0.04,ST040013,"<p>%(v/v)</p>
",2025-05-01 08:00:00,反丁烯,延化120万吨/年催化重整装置
0.05,ST040013,"<p>%(v/v)</p>
",2025-05-01 08:00:00,顺丁烯,延化120万吨/年催化重整装置
26.31,ST040013,"<p>%(v/v)</p>
",2025-05-01 08:00:00,异丁烷,延化120万吨/年催化重整装置
0.30,ST040013,"<p>%(v/v)</p>
",2025-05-02 08:00:00,正丁烯+异丁烯,延化120万吨/年催化重整装置
未检出,ST040013,<p>ppm</p>,2025-05-02 08:00:00,硫化氢,延化120万吨/年催化重整装置
3.40,ST040013,"<p>%(v/v)</p>
",2025-05-02 08:00:00,乙烷+乙烯,延化120万吨/年催化重整装置
38.56,ST040013,"<p>%(v/v)</p>
",2025-05-02 08:00:00,丙烷,延化120万吨/年催化重整装置
26.90,ST040013,"<p>%(v/v)</p>
",2025-05-02 08:00:00,异丁烷,延化120万吨/年催化重整装置
2,ST040013,<p>ppm</p>,2025-05-02 08:00:00,硫含量,延化120万吨/年催化重整装置
30.64,ST040013,"<p>%(v/v)</p>
",2025-05-02 08:00:00,正丁烷,延化120万吨/年催化重整装置
0.04,ST040013,"<p>%(v/v)</p>
",2025-05-02 08:00:00,反丁烯,延化120万吨/年催化重整装置
0.08,ST040013,"<p>%(v/v)</p>
",2025-05-02 08:00:00,顺丁烯,延化120万吨/年催化重整装置
0.02,ST040013,"<p>%(v/v)</p>
",2025-05-02 08:00:00,C5,延化120万吨/年催化重整装置
0.06,ST040013,"<p>%(v/v)</p>
",2025-05-02 08:00:00,丙烯,延化120万吨/年催化重整装置
0.20,ST040013,"<p>%(v/v)</p>
",2025-05-03 08:00:00,正丁烯+异丁烯,延化120万吨/年催化重整装置
未检出,ST040013,<p>ppm</p>,2025-05-03 08:00:00,硫化氢,延化120万吨/年催化重整装置
3.30,ST040013,"<p>%(v/v)</p>
",2025-05-03 08:00:00,乙烷+乙烯,延化120万吨/年催化重整装置
34.03,ST040013,"<p>%(v/v)</p>
",2025-05-03 08:00:00,丙烷,延化120万吨/年催化重整装置
26.77,ST040013,"<p>%(v/v)</p>
",2025-05-03 08:00:00,异丁烷,延化120万吨/年催化重整装置
2,ST040013,<p>ppm</p>,2025-05-03 08:00:00,硫含量,延化120万吨/年催化重整装置
35.57,ST040013,"<p>%(v/v)</p>
",2025-05-03 08:00:00,正丁烷,延化120万吨/年催化重整装置
0.03,ST040013,"<p>%(v/v)</p>
",2025-05-03 08:00:00,反丁烯,延化120万吨/年催化重整装置
0.02,ST040013,"<p>%(v/v)</p>
",2025-05-03 08:00:00,顺丁烯,延化120万吨/年催化重整装置
0.03,ST040013,"<p>%(v/v)</p>
",2025-05-03 08:00:00,C5,延化120万吨/年催化重整装置
0.05,ST040013,"<p>%(v/v)</p>
",2025-05-03 08:00:00,丙烯,延化120万吨/年催化重整装置
未检出,ST040013,<p>ppm</p>,2025-05-04 08:00:00,硫化氢,延化120万吨/年催化重整装置
2.08,ST040013,"<p>%(v/v)</p>
",2025-05-04 08:00:00,乙烷+乙烯,延化120万吨/年催化重整装置
30.39,ST040013,"<p>%(v/v)</p>
",2025-05-04 08:00:00,丙烷,延化120万吨/年催化重整装置
0.26,ST040013,"<p>%(v/v)</p>
",2025-05-04 08:00:00,正丁烯+异丁烯,延化120万吨/年催化重整装置
28.62,ST040013,"<p>%(v/v)</p>
",2025-05-04 08:00:00,异丁烷,延化120万吨/年催化重整装置
2,ST040013,<p>ppm</p>,2025-05-04 08:00:00,硫含量,延化120万吨/年催化重整装置
38.48,ST040013,"<p>%(v/v)</p>
",2025-05-04 08:00:00,正丁烷,延化120万吨/年催化重整装置
0.04,ST040013,"<p>%(v/v)</p>
",2025-05-04 08:00:00,反丁烯,延化120万吨/年催化重整装置
0.05,ST040013,"<p>%(v/v)</p>
",2025-05-04 08:00:00,顺丁烯,延化120万吨/年催化重整装置
0.04,ST040013,"<p>%(v/v)</p>
",2025-05-04 08:00:00,C5,延化120万吨/年催化重整装置
0.04,ST040013,"<p>%(v/v)</p>
",2025-05-04 08:00:00,丙烯,延化120万吨/年催化重整装置
27.85,ST040013,"<p>%(v/v)</p>
",2025-05-05 08:00:00,异丁烷,延化120万吨/年催化重整装置
未检出,ST040013,<p>ppm</p>,2025-05-05 08:00:00,硫化氢,延化120万吨/年催化重整装置
3.08,ST040013,"<p>%(v/v)</p>
",2025-05-05 08:00:00,乙烷+乙烯,延化120万吨/年催化重整装置
31.41,ST040013,"<p>%(v/v)</p>
",2025-05-05 08:00:00,丙烷,延化120万吨/年催化重整装置
0.21,ST040013,"<p>%(v/v)</p>
",2025-05-05 08:00:00,正丁烯+异丁烯,延化120万吨/年催化重整装置
2,ST040013,<p>ppm</p>,2025-05-05 08:00:00,硫含量,延化120万吨/年催化重整装置
37.21,ST040013,"<p>%(v/v)</p>
",2025-05-05 08:00:00,正丁烷,延化120万吨/年催化重整装置
0.05,ST040013,"<p>%(v/v)</p>
",2025-05-05 08:00:00,反丁烯,延化120万吨/年催化重整装置
0.08,ST040013,"<p>%(v/v)</p>
",2025-05-05 08:00:00,顺丁烯,延化120万吨/年催化重整装置
0.06,ST040013,"<p>%(v/v)</p>
",2025-05-05 08:00:00,C5,延化120万吨/年催化重整装置
0.05,ST040013,"<p>%(v/v)</p>
",2025-05-05 08:00:00,丙烯,延化120万吨/年催化重整装置
0.04,ST040013,"<p>%(v/v)</p>
",2025-05-06 08:00:00,C5,延化120万吨/年催化重整装置
2,ST040013,<p>ppm</p>,2025-05-06 08:00:00,硫含量,延化120万吨/年催化重整装置
0.07,ST040013,"<p>%(v/v)</p>
",2025-05-06 08:00:00,正丁烯+异丁烯,延化120万吨/年催化重整装置
2.59,ST040013,"<p>%(v/v)</p>
",2025-05-06 08:00:00,乙烷+乙烯,延化120万吨/年催化重整装置
未检出,ST040013,<p>ppm</p>,2025-05-06 08:00:00,硫化氢,延化120万吨/年催化重整装置
0.07,ST040013,"<p>%(v/v)</p>
",2025-05-06 08:00:00,顺丁烯,延化120万吨/年催化重整装置
26.14,ST040013,"<p>%(v/v)</p>
",2025-05-06 08:00:00,异丁烷,延化120万吨/年催化重整装置
0.05,ST040013,"<p>%(v/v)</p>
",2025-05-06 08:00:00,丙烯,延化120万吨/年催化重整装置
35.02,ST040013,"<p>%(v/v)</p>
",2025-05-06 08:00:00,正丁烷,延化120万吨/年催化重整装置
0.05,ST040013,"<p>%(v/v)</p>
",2025-05-06 08:00:00,反丁烯,延化120万吨/年催化重整装置
35.97,ST040013,"<p>%(v/v)</p>
",2025-05-06 08:00:00,丙烷,延化120万吨/年催化重整装置
0.21,ST040013,"<p>%(v/v)</p>
",2025-05-07 08:00:00,正丁烯+异丁烯,延化120万吨/年催化重整装置
未检出,ST040013,<p>ppm</p>,2025-05-07 08:00:00,硫化氢,延化120万吨/年催化重整装置
4.24,ST040013,"<p>%(v/v)</p>
",2025-05-07 08:00:00,乙烷+乙烯,延化120万吨/年催化重整装置
38.31,ST040013,"<p>%(v/v)</p>
",2025-05-07 08:00:00,丙烷,延化120万吨/年催化重整装置
24.97,ST040013,"<p>%(v/v)</p>
",2025-05-07 08:00:00,异丁烷,延化120万吨/年催化重整装置
2,ST040013,<p>ppm</p>,2025-05-07 08:00:00,硫含量,延化120万吨/年催化重整装置
32.12,ST040013,"<p>%(v/v)</p>
",2025-05-07 08:00:00,正丁烷,延化120万吨/年催化重整装置
0.03,ST040013,"<p>%(v/v)</p>
",2025-05-07 08:00:00,反丁烯,延化120万吨/年催化重整装置
0.04,ST040013,"<p>%(v/v)</p>
",2025-05-07 08:00:00,顺丁烯,延化120万吨/年催化重整装置
0.02,ST040013,"<p>%(v/v)</p>
",2025-05-07 08:00:00,C5,延化120万吨/年催化重整装置
0.06,ST040013,"<p>%(v/v)</p>
",2025-05-07 08:00:00,丙烯,延化120万吨/年催化重整装置
26.62,ST040013,"<p>%(v/v)</p>
",2025-05-08 08:00:00,异丁烷,延化120万吨/年催化重整装置
3.69,ST040013,"<p>%(v/v)</p>
",2025-05-08 08:00:00,乙烷+乙烯,延化120万吨/年催化重整装置
32.05,ST040013,"<p>%(v/v)</p>
",2025-05-08 08:00:00,丙烷,延化120万吨/年催化重整装置
0.24,ST040013,"<p>%(v/v)</p>
",2025-05-08 08:00:00,正丁烯+异丁烯,延化120万吨/年催化重整装置
0.05,ST040013,"<p>%(v/v)</p>
",2025-05-08 08:00:00,丙烯,延化120万吨/年催化重整装置
未检出,ST040013,<p>ppm</p>,2025-05-08 08:00:00,硫化氢,延化120万吨/年催化重整装置
2,ST040013,<p>ppm</p>,2025-05-08 08:00:00,硫含量,延化120万吨/年催化重整装置
0.04,ST040013,"<p>%(v/v)</p>
",2025-05-08 08:00:00,反丁烯,延化120万吨/年催化重整装置
0.02,ST040013,"<p>%(v/v)</p>
",2025-05-08 08:00:00,顺丁烯,延化120万吨/年催化重整装置
0.03,ST040013,"<p>%(v/v)</p>
",2025-05-08 08:00:00,C5,延化120万吨/年催化重整装置
37.26,ST040013,"<p>%(v/v)</p>
",2025-05-08 08:00:00,正丁烷,延化120万吨/年催化重整装置
25.63,ST040013,"<p>%(v/v)</p>
",2025-05-09 08:00:00,异丁烷,延化120万吨/年催化重整装置
3.50,ST040013,"<p>%(v/v)</p>
",2025-05-09 08:00:00,乙烷+乙烯,延化120万吨/年催化重整装置
35.96,ST040013,"<p>%(v/v)</p>
",2025-05-09 08:00:00,丙烷,延化120万吨/年催化重整装置
0.19,ST040013,"<p>%(v/v)</p>
",2025-05-09 08:00:00,正丁烯+异丁烯,延化120万吨/年催化重整装置
0.05,ST040013,"<p>%(v/v)</p>
",2025-05-09 08:00:00,丙烯,延化120万吨/年催化重整装置
未检出,ST040013,<p>ppm</p>,2025-05-09 08:00:00,硫化氢,延化120万吨/年催化重整装置
0.04,ST040013,"<p>%(v/v)</p>
",2025-05-09 08:00:00,反丁烯,延化120万吨/年催化重整装置
0.03,ST040013,"<p>%(v/v)</p>
",2025-05-09 08:00:00,顺丁烯,延化120万吨/年催化重整装置
0.02,ST040013,"<p>%(v/v)</p>
",2025-05-09 08:00:00,C5,延化120万吨/年催化重整装置
2,ST040013,<p>ppm</p>,2025-05-09 08:00:00,硫含量,延化120万吨/年催化重整装置
34.58,ST040013,"<p>%(v/v)</p>
",2025-05-09 08:00:00,正丁烷,延化120万吨/年催化重整装置
2,ST040013,<p>ppm</p>,2025-05-10 08:00:00,硫含量,延化120万吨/年催化重整装置
未检出,ST040013,<p>ppm</p>,2025-05-10 08:00:00,硫化氢,延化120万吨/年催化重整装置
4.57,ST040013,"<p>%(v/v)</p>
",2025-05-10 08:00:00,乙烷+乙烯,延化120万吨/年催化重整装置
38.01,ST040013,"<p>%(v/v)</p>
",2025-05-10 08:00:00,丙烷,延化120万吨/年催化重整装置
0.23,ST040013,"<p>%(v/v)</p>
",2025-05-10 08:00:00,正丁烯+异丁烯,延化120万吨/年催化重整装置
0.03,ST040013,"<p>%(v/v)</p>
",2025-05-10 08:00:00,C5,延化120万吨/年催化重整装置
0.07,ST040013,"<p>%(v/v)</p>
",2025-05-10 08:00:00,丙烯,延化120万吨/年催化重整装置
30.58,ST040013,"<p>%(v/v)</p>
",2025-05-10 08:00:00,正丁烷,延化120万吨/年催化重整装置
