result,sampleDotCode,unitName,sampleTime,resultName,deviceName
97.5,ST040019,"<p>%(v/v)</p>
",2025-05-01 20:00:00,氢含量,延化120万吨/年催化重整装置
97.6,ST040019,"<p>%(v/v)</p>
",2025-05-02 20:00:00,氢含量,延化120万吨/年催化重整装置
97.1,ST040019,"<p>%(v/v)</p>
",2025-05-03 20:00:00,氢含量,延化120万吨/年催化重整装置
98.3,ST040019,"<p>%(v/v)</p>
",2025-05-04 20:00:00,氢含量,延化120万吨/年催化重整装置
94.3,ST040019,"<p>%(v/v)</p>
",2025-05-05 20:00:00,氢含量,延化120万吨/年催化重整装置
94.6,ST040019,"<p>%(v/v)</p>
",2025-05-06 20:00:00,氢含量,延化120万吨/年催化重整装置
95.3,ST040019,"<p>%(v/v)</p>
",2025-05-07 20:00:00,氢含量,延化120万吨/年催化重整装置
95.6,ST040019,"<p>%(v/v)</p>
",2025-05-08 20:00:00,氢含量,延化120万吨/年催化重整装置
97.6,ST040019,"<p>%(v/v)</p>
",2025-05-09 20:00:00,氢含量,延化120万吨/年催化重整装置
97.7,ST040019,"<p>%(v/v)</p>
",2025-05-10 20:00:00,氢含量,延化120万吨/年催化重整装置
94.7,ST040019,"<p>%(v/v)</p>
",2025-05-11 20:00:00,氢含量,延化120万吨/年催化重整装置
97.0,ST040019,"<p>%(v/v)</p>
",2025-05-12 20:00:00,氢含量,延化120万吨/年催化重整装置
95.2,ST040019,"<p>%(v/v)</p>
",2025-05-13 20:00:00,氢含量,延化120万吨/年催化重整装置
97.7,ST040019,"<p>%(v/v)</p>
",2025-05-14 20:00:00,氢含量,延化120万吨/年催化重整装置
97.3,ST040019,"<p>%(v/v)</p>
",2025-05-15 20:00:00,氢含量,延化120万吨/年催化重整装置
97.4,ST040019,"<p>%(v/v)</p>
",2025-05-16 20:00:00,氢含量,延化120万吨/年催化重整装置
98.1,ST040019,"<p>%(v/v)</p>
",2025-05-17 20:00:00,氢含量,延化120万吨/年催化重整装置
97.8,ST040019,"<p>%(v/v)</p>
",2025-05-18 20:00:00,氢含量,延化120万吨/年催化重整装置
