result,sampleDotCode,unitName,sampleTime,resultName,deviceName
35.6,ST040032,℃,2025-08-29 18:00:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置
68.8,ST040032,℃,2025-08-29 18:00:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置
109.6,ST040032,℃,2025-08-29 18:00:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置
147.5,ST040032,℃,2025-08-29 18:00:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置
721.5,ST040032,<p>kg/m<sup>3</sup></p>,2025-08-29 18:00:00,密度,延化120万吨/年催化重整装置
98.0,ST040032,<p>%</p>,2025-08-29 18:00:00,全馏,延化120万吨/年催化重整装置
0.8,ST040032,<p>%</p>,2025-08-29 18:00:00,平均残留百分数(B),延化120万吨/年催化重整装置
痕迹水,ST040032,,2025-08-29 18:00:00,水含量,延化120万吨/年催化重整装置
1.10,ST040032,<p>gBr/100g</p>,2025-08-29 18:00:00,溴价 gBr/100g,延化120万吨/年催化重整装置
169.2,ST040032,℃,2025-08-29 18:00:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置
