result,sampleDotCode,sampleTime,resultName,deviceName,unitName
痕迹水,ST040033,2025-08-29 20:00:00,水含量,延化120万吨/年催化重整装置,
721.1,ST040033,2025-08-29 20:00:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
1.20,ST040033,2025-08-29 20:00:00,溴价 gBr/100g,延化120万吨/年催化重整装置,<p>gBr/100g</p>
34.9,ST040033,2025-08-29 20:00:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置,℃
0.8,ST040033,2025-08-29 20:00:00,平均残留百分数(B),延化120万吨/年催化重整装置,<p>%</p>
109.0,ST040033,2025-08-29 20:00:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置,℃
147.1,ST040033,2025-08-29 20:00:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置,℃
166.0,ST040033,2025-08-29 20:00:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置,℃
98.0,ST040033,2025-08-29 20:00:00,全馏,延化120万吨/年催化重整装置,<p>%</p>
65.5,ST040033,2025-08-29 20:00:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置,℃
1.8,ST040033,2025-10-10 09:00:00,氮含量,延化120万吨/年催化重整装置,<p>ppm</p>
34.7,ST040033,2025-12-15 21:00:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置,℃
62.1,ST040033,2025-12-15 21:00:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置,℃
105.0,ST040033,2025-12-15 21:00:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置,℃
146.3,ST040033,2025-12-15 21:00:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置,℃
痕迹水,ST040033,2025-12-15 21:00:00,水含量,延化120万吨/年催化重整装置,
98.0,ST040033,2025-12-15 21:00:00,全馏,延化120万吨/年催化重整装置,<p>%</p>
0.8,ST040033,2025-12-15 21:00:00,平均残留百分数(B),延化120万吨/年催化重整装置,<p>%</p>
1.10,ST040033,2025-12-15 21:00:00,溴价 gBr/100g,延化120万吨/年催化重整装置,<p>gBr/100g</p>
715.2,ST040033,2025-12-15 21:00:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
164.9,ST040033,2025-12-15 21:00:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置,℃
