result,sampleDotCode,unitName,sampleTime,resultName,deviceName
15.90,ST040035,<p>&mu;S/cm</p>,2025-05-01 08:00:00,电导率,延化120万吨/年催化重整装置
54.60,ST040035,<p>&mu;g/L</p>,2025-05-01 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.68,ST040035,,2025-05-01 08:00:00,pH,延化120万吨/年催化重整装置
19.70,ST040035,<p>&mu;S/cm</p>,2025-05-02 08:00:00,电导率,延化120万吨/年催化重整装置
54.60,ST040035,<p>&mu;g/L</p>,2025-05-02 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.39,ST040035,,2025-05-02 08:00:00,pH,延化120万吨/年催化重整装置
31.00,ST040035,<p>&mu;S/cm</p>,2025-05-03 08:00:00,电导率,延化120万吨/年催化重整装置
96.80,ST040035,<p>&mu;g/L</p>,2025-05-03 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.41,ST040035,,2025-05-03 08:00:00,pH,延化120万吨/年催化重整装置
27.50,ST040035,<p>&mu;S/cm</p>,2025-05-04 08:00:00,电导率,延化120万吨/年催化重整装置
73.40,ST040035,<p>&mu;g/L</p>,2025-05-04 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.23,ST040035,,2025-05-04 08:00:00,pH,延化120万吨/年催化重整装置
59.70,ST040035,<p>&mu;g/L</p>,2025-05-05 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.44,ST040035,,2025-05-05 08:00:00,pH,延化120万吨/年催化重整装置
29.00,ST040035,<p>&mu;S/cm</p>,2025-05-05 08:00:00,电导率,延化120万吨/年催化重整装置
15.60,ST040035,<p>&mu;S/cm</p>,2025-05-06 08:00:00,电导率,延化120万吨/年催化重整装置
48.60,ST040035,<p>&mu;g/L</p>,2025-05-06 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.31,ST040035,,2025-05-06 08:00:00,pH,延化120万吨/年催化重整装置
16.00,ST040035,<p>&mu;S/cm</p>,2025-05-07 08:00:00,电导率,延化120万吨/年催化重整装置
55.50,ST040035,<p>&mu;g/L</p>,2025-05-07 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.48,ST040035,,2025-05-07 08:00:00,pH,延化120万吨/年催化重整装置
26.80,ST040035,<p>&mu;S/cm</p>,2025-05-08 08:00:00,电导率,延化120万吨/年催化重整装置
99.50,ST040035,<p>&mu;g/L</p>,2025-05-08 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.51,ST040035,,2025-05-08 08:00:00,pH,延化120万吨/年催化重整装置
23.50,ST040035,<p>&mu;S/cm</p>,2025-05-09 08:00:00,电导率,延化120万吨/年催化重整装置
91.10,ST040035,<p>&mu;g/L</p>,2025-05-09 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.73,ST040035,,2025-05-09 08:00:00,pH,延化120万吨/年催化重整装置
15.90,ST040035,<p>&mu;S/cm</p>,2025-05-10 08:00:00,电导率,延化120万吨/年催化重整装置
99.90,ST040035,<p>&mu;g/L</p>,2025-05-10 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.25,ST040035,,2025-05-10 08:00:00,pH,延化120万吨/年催化重整装置
16.70,ST040035,<p>&mu;S/cm</p>,2025-05-11 08:00:00,电导率,延化120万吨/年催化重整装置
92.40,ST040035,<p>&mu;g/L</p>,2025-05-11 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.33,ST040035,,2025-05-11 08:00:00,pH,延化120万吨/年催化重整装置
9.26,ST040035,,2025-05-12 08:00:00,pH,延化120万吨/年催化重整装置
18.20,ST040035,<p>&mu;S/cm</p>,2025-05-12 08:00:00,电导率,延化120万吨/年催化重整装置
46.80,ST040035,<p>&mu;g/L</p>,2025-05-12 08:00:00,二氧化硅,延化120万吨/年催化重整装置
15.30,ST040035,<p>&mu;S/cm</p>,2025-05-13 08:00:00,电导率,延化120万吨/年催化重整装置
58.50,ST040035,<p>&mu;g/L</p>,2025-05-13 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.34,ST040035,,2025-05-13 08:00:00,pH,延化120万吨/年催化重整装置
16.90,ST040035,<p>&mu;S/cm</p>,2025-05-14 08:00:00,电导率,延化120万吨/年催化重整装置
30.50,ST040035,<p>&mu;g/L</p>,2025-05-14 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.29,ST040035,,2025-05-14 08:00:00,pH,延化120万吨/年催化重整装置
20.00,ST040035,<p>&mu;S/cm</p>,2025-05-15 08:00:00,电导率,延化120万吨/年催化重整装置
23.80,ST040035,<p>&mu;g/L</p>,2025-05-15 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.47,ST040035,,2025-05-15 08:00:00,pH,延化120万吨/年催化重整装置
26.50,ST040035,<p>&mu;g/L</p>,2025-05-16 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.51,ST040035,,2025-05-16 08:00:00,pH,延化120万吨/年催化重整装置
14.00,ST040035,<p>&mu;S/cm</p>,2025-05-16 08:00:00,电导率,延化120万吨/年催化重整装置
142.30,ST040035,<p>&mu;S/cm</p>,2025-05-17 08:00:00,电导率,延化120万吨/年催化重整装置
32.40,ST040035,<p>&mu;g/L</p>,2025-05-17 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.53,ST040035,,2025-05-17 08:00:00,pH,延化120万吨/年催化重整装置
33.00,ST040035,<p>&mu;g/L</p>,2025-05-18 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.62,ST040035,,2025-05-18 08:00:00,pH,延化120万吨/年催化重整装置
22.30,ST040035,<p>&mu;S/cm</p>,2025-05-18 08:00:00,电导率,延化120万吨/年催化重整装置
15.50,ST040035,<p>&mu;S/cm</p>,2025-05-19 08:00:00,电导率,延化120万吨/年催化重整装置
