result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.50,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,碳五(合计),延化120万吨/年催化重整装置
4.0,ST040026,<p>mL/m<sup>3</sup></p>,2025-07-07 09:00:00,硫化氢,延化120万吨/年催化重整装置
3.15,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,乙烷,延化120万吨/年催化重整装置
0.49,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,正戊烷,延化120万吨/年催化重整装置
0.01,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,异戊烷,延化120万吨/年催化重整装置
1.40,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,碳四(合计),延化120万吨/年催化重整装置
0.01,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,乙烯,延化120万吨/年催化重整装置
0.00,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,丙烯,延化120万吨/年催化重整装置
4.78,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,丙烷,延化120万吨/年催化重整装置
2.35,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,甲烷,延化120万吨/年催化重整装置
84.24,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,氢气,延化120万吨/年催化重整装置
0.00,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,二氧化碳,延化120万吨/年催化重整装置
0.00,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,一氧化碳,延化120万吨/年催化重整装置
3.04,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,氮气,延化120万吨/年催化重整装置
0.53,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,氧气,延化120万吨/年催化重整装置
0.00,ST040026,"<p>%(v/v)</p>
",2025-07-07 09:00:00,碳五+其他,延化120万吨/年催化重整装置
/,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,硫化氢,延化120万吨/年催化重整装置
0.48,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,碳五(合计),延化120万吨/年催化重整装置
3.99,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,乙烷,延化120万吨/年催化重整装置
0.13,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,正戊烷,延化120万吨/年催化重整装置
0.35,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,异戊烷,延化120万吨/年催化重整装置
0.03,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,碳五+其他,延化120万吨/年催化重整装置
3.23,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,碳四(合计),延化120万吨/年催化重整装置
0.00,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,乙烯,延化120万吨/年催化重整装置
0.00,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,丙烯,延化120万吨/年催化重整装置
6.01,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,丙烷,延化120万吨/年催化重整装置
3.26,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,甲烷,延化120万吨/年催化重整装置
80.97,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,氢气,延化120万吨/年催化重整装置
0.00,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,二氧化碳,延化120万吨/年催化重整装置
0.00,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,一氧化碳,延化120万吨/年催化重整装置
1.81,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,氮气,延化120万吨/年催化重整装置
20.0,ST040026,<p>ppm</p>,2025-10-19 02:00:00,硫化氢,延化120万吨/年催化重整装置
0.22,ST040026,"<p>%(v/v)</p>
",2025-10-19 02:00:00,氧气,延化120万吨/年催化重整装置
