result,sampleDotCode,unitName,sampleTime,resultName,deviceName
20.00,ST040034,<p>&mu;g/L</p>,2025-05-02 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.81,ST040034,,2025-05-02 08:00:00,pH,延化120万吨/年催化重整装置
11.00,ST040034,<p>&mu;g/L</p>,2025-05-04 11:35:00,二氧化硅,延化120万吨/年催化重整装置
8.95,ST040034,,2025-05-04 11:35:00,pH,延化120万吨/年催化重整装置
13.20,ST040034,<p>&mu;g/L</p>,2025-05-06 08:00:00,二氧化硅,延化120万吨/年催化重整装置
11.66,ST040034,<p>&mu;g/L</p>,2025-05-06 08:00:00,溶解氧,延化120万吨/年催化重整装置
8.82,ST040034,,2025-05-06 08:00:00,pH,延化120万吨/年催化重整装置
0.03,ST040034,<p>mg/L</p>,2025-05-06 08:00:00,氨含量,延化120万吨/年催化重整装置
8.81,ST040034,,2025-05-08 08:00:00,pH,延化120万吨/年催化重整装置
16.30,ST040034,<p>&mu;g/L</p>,2025-05-08 08:00:00,二氧化硅,延化120万吨/年催化重整装置
14.90,ST040034,<p>&mu;g/L</p>,2025-05-10 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.81,ST040034,,2025-05-10 08:00:00,pH,延化120万吨/年催化重整装置
0.20,ST040034,<p>mg/L</p>,2025-05-12 08:00:00,氨含量,延化120万吨/年催化重整装置
8.80,ST040034,,2025-05-12 08:00:00,pH,延化120万吨/年催化重整装置
10.54,ST040034,<p>&mu;g/L</p>,2025-05-12 08:00:00,溶解氧,延化120万吨/年催化重整装置
35.90,ST040034,<p>&mu;g/L</p>,2025-05-12 08:00:00,二氧化硅,延化120万吨/年催化重整装置
10.90,ST040034,<p>&mu;g/L</p>,2025-05-14 08:53:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-05-14 08:53:00,pH,延化120万吨/年催化重整装置
10.50,ST040034,<p>&mu;g/L</p>,2025-05-16 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-05-16 08:00:00,pH,延化120万吨/年催化重整装置
10.40,ST040034,<p>&mu;g/L</p>,2025-05-18 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.00,ST040034,,2025-05-18 08:00:00,pH,延化120万吨/年催化重整装置
0.05,ST040034,<p>mg/L</p>,2025-05-20 08:00:00,氨含量,延化120万吨/年催化重整装置
8.80,ST040034,,2025-05-20 08:00:00,pH,延化120万吨/年催化重整装置
10.60,ST040034,<p>&mu;g/L</p>,2025-05-20 08:00:00,二氧化硅,延化120万吨/年催化重整装置
10.07,ST040034,<p>&mu;g/L</p>,2025-05-20 08:00:00,溶解氧,延化120万吨/年催化重整装置
8.80,ST040034,,2025-05-22 08:00:00,pH,延化120万吨/年催化重整装置
10.40,ST040034,<p>&mu;g/L</p>,2025-05-22 08:00:00,二氧化硅,延化120万吨/年催化重整装置
10.90,ST040034,<p>&mu;g/L</p>,2025-05-24 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.81,ST040034,,2025-05-24 08:00:00,pH,延化120万吨/年催化重整装置
0.03,ST040034,<p>mg/L</p>,2025-05-26 08:00:00,氨含量,延化120万吨/年催化重整装置
12.19,ST040034,<p>&mu;g/L</p>,2025-05-26 08:00:00,溶解氧,延化120万吨/年催化重整装置
8.81,ST040034,,2025-05-26 08:00:00,pH,延化120万吨/年催化重整装置
10.90,ST040034,<p>&mu;g/L</p>,2025-05-26 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-05-28 08:00:00,pH,延化120万吨/年催化重整装置
11.10,ST040034,<p>&mu;g/L</p>,2025-05-28 08:00:00,二氧化硅,延化120万吨/年催化重整装置
10.90,ST040034,<p>&mu;g/L</p>,2025-05-30 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.90,ST040034,,2025-05-30 08:00:00,pH,延化120万吨/年催化重整装置
10.50,ST040034,<p>&mu;g/L</p>,2025-06-01 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.86,ST040034,,2025-06-01 08:00:00,pH,延化120万吨/年催化重整装置
8.85,ST040034,,2025-06-03 08:00:00,pH,延化120万吨/年催化重整装置
10.20,ST040034,<p>&mu;g/L</p>,2025-06-03 08:00:00,二氧化硅,延化120万吨/年催化重整装置
0.04,ST040034,<p>mg/L</p>,2025-06-03 08:00:00,氨含量,延化120万吨/年催化重整装置
14.30,ST040034,<p>&mu;g/L</p>,2025-06-03 08:00:00,溶解氧,延化120万吨/年催化重整装置
10.40,ST040034,<p>&mu;g/L</p>,2025-06-05 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.82,ST040034,,2025-06-05 08:00:00,pH,延化120万吨/年催化重整装置
8.80,ST040034,,2025-06-07 08:00:00,pH,延化120万吨/年催化重整装置
10.60,ST040034,<p>&mu;g/L</p>,2025-06-07 08:00:00,二氧化硅,延化120万吨/年催化重整装置
13.20,ST040034,<p>&mu;g/L</p>,2025-06-09 08:00:00,溶解氧,延化120万吨/年催化重整装置
8.80,ST040034,,2025-06-09 08:00:00,pH,延化120万吨/年催化重整装置
0.06,ST040034,<p>mg/L</p>,2025-06-09 08:00:00,氨含量,延化120万吨/年催化重整装置
10.60,ST040034,<p>&mu;g/L</p>,2025-06-09 08:00:00,二氧化硅,延化120万吨/年催化重整装置
10.80,ST040034,<p>&mu;g/L</p>,2025-06-11 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-06-11 08:00:00,pH,延化120万吨/年催化重整装置
11.20,ST040034,<p>&mu;g/L</p>,2025-06-13 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-06-13 08:00:00,pH,延化120万吨/年催化重整装置
8.80,ST040034,,2025-06-15 08:00:00,pH,延化120万吨/年催化重整装置
10.60,ST040034,<p>&mu;g/L</p>,2025-06-15 08:00:00,二氧化硅,延化120万吨/年催化重整装置
0.05,ST040034,<p>mg/L</p>,2025-06-17 08:00:00,氨含量,延化120万吨/年催化重整装置
11.95,ST040034,<p>mg/L</p>,2025-06-17 08:00:00,溶解氧,延化120万吨/年催化重整装置
10.60,ST040034,<p>&mu;g/L</p>,2025-06-17 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-06-17 08:00:00,pH,延化120万吨/年催化重整装置
10.80,ST040034,<p>&mu;g/L</p>,2025-06-19 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-06-19 08:00:00,pH,延化120万吨/年催化重整装置
10.70,ST040034,<p>&mu;g/L</p>,2025-06-21 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-06-21 08:00:00,pH,延化120万吨/年催化重整装置
0.23,ST040034,<p>mg/L</p>,2025-06-23 08:00:00,氨含量,延化120万吨/年催化重整装置
8.84,ST040034,,2025-06-23 08:00:00,pH,延化120万吨/年催化重整装置
10.50,ST040034,<p>&mu;g/L</p>,2025-06-23 08:00:00,二氧化硅,延化120万吨/年催化重整装置
7.22,ST040034,<p>&mu;g/L</p>,2025-06-23 08:00:00,溶解氧,延化120万吨/年催化重整装置
8.80,ST040034,,2025-06-25 08:00:00,pH,延化120万吨/年催化重整装置
10.70,ST040034,<p>&mu;g/L</p>,2025-06-25 08:00:00,二氧化硅,延化120万吨/年催化重整装置
10.40,ST040034,<p>&mu;g/L</p>,2025-06-27 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-06-27 08:00:00,pH,延化120万吨/年催化重整装置
8.80,ST040034,,2025-06-29 08:00:00,pH,延化120万吨/年催化重整装置
10.70,ST040034,<p>&mu;g/L</p>,2025-06-29 08:00:00,二氧化硅,延化120万吨/年催化重整装置
10.56,ST040034,<p>&mu;g/L</p>,2025-07-01 08:00:00,溶解氧,延化120万吨/年催化重整装置
8.80,ST040034,,2025-07-01 08:00:00,pH,延化120万吨/年催化重整装置
10.50,ST040034,<p>&mu;g/L</p>,2025-07-01 08:00:00,二氧化硅,延化120万吨/年催化重整装置
0.09,ST040034,<p>mg/L</p>,2025-07-01 08:00:00,氨含量,延化120万吨/年催化重整装置
10.70,ST040034,<p>&mu;g/L</p>,2025-07-03 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.82,ST040034,,2025-07-03 08:00:00,pH,延化120万吨/年催化重整装置
10.80,ST040034,<p>&mu;g/L</p>,2025-07-05 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-07-05 08:00:00,pH,延化120万吨/年催化重整装置
0.11,ST040034,<p>mg/L</p>,2025-07-07 08:00:00,氨含量,延化120万吨/年催化重整装置
9.85,ST040034,<p>&mu;g/L</p>,2025-07-07 08:00:00,溶解氧,延化120万吨/年催化重整装置
10.50,ST040034,<p>&mu;g/L</p>,2025-07-07 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.55,ST040034,,2025-07-07 08:00:00,pH,延化120万吨/年催化重整装置
42.70,ST040034,<p>&mu;g/L</p>,2025-07-09 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.85,ST040034,,2025-07-09 08:00:00,pH,延化120万吨/年催化重整装置
10.60,ST040034,<p>&mu;g/L</p>,2025-07-11 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.86,ST040034,,2025-07-11 08:00:00,pH,延化120万吨/年催化重整装置
13.80,ST040034,<p>&mu;g/L</p>,2025-07-13 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-07-13 08:00:00,pH,延化120万吨/年催化重整装置
8.52,ST040034,<p>&mu;g/L</p>,2025-07-15 08:00:00,溶解氧,延化120万吨/年催化重整装置
0.10,ST040034,<p>mg/L</p>,2025-07-15 08:00:00,氨含量,延化120万吨/年催化重整装置
15.70,ST040034,<p>&mu;g/L</p>,2025-07-15 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.81,ST040034,,2025-07-15 08:00:00,pH,延化120万吨/年催化重整装置
8.82,ST040034,,2025-07-17 08:00:00,pH,延化120万吨/年催化重整装置
18.60,ST040034,<p>&mu;g/L</p>,2025-07-17 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-07-19 08:00:00,pH,延化120万吨/年催化重整装置
13.50,ST040034,<p>&mu;g/L</p>,2025-07-19 08:00:00,二氧化硅,延化120万吨/年催化重整装置
10.80,ST040034,<p>&mu;g/L</p>,2025-07-21 08:00:00,二氧化硅,延化120万吨/年催化重整装置
0.13,ST040034,<p>mg/L</p>,2025-07-21 08:00:00,氨含量,延化120万吨/年催化重整装置
9.50,ST040034,<p>&mu;g/L</p>,2025-07-21 08:00:00,溶解氧,延化120万吨/年催化重整装置
8.80,ST040034,,2025-07-21 08:00:00,pH,延化120万吨/年催化重整装置
10.30,ST040034,<p>&mu;g/L</p>,2025-07-23 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-07-23 08:00:00,pH,延化120万吨/年催化重整装置
12.80,ST040034,<p>&mu;g/L</p>,2025-07-25 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-07-25 08:00:00,pH,延化120万吨/年催化重整装置
13.00,ST040034,<p>&mu;g/L</p>,2025-07-27 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.81,ST040034,,2025-07-27 08:00:00,pH,延化120万吨/年催化重整装置
13.90,ST040034,<p>&mu;g/L</p>,2025-07-29 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.48,ST040034,<p>&mu;g/L</p>,2025-07-29 08:00:00,溶解氧,延化120万吨/年催化重整装置
0.09,ST040034,<p>mg/L</p>,2025-07-29 08:00:00,氨含量,延化120万吨/年催化重整装置
8.81,ST040034,,2025-07-29 08:00:00,pH,延化120万吨/年催化重整装置
8.80,ST040034,,2025-07-31 08:00:00,pH,延化120万吨/年催化重整装置
17.30,ST040034,<p>&mu;g/L</p>,2025-07-31 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.81,ST040034,,2025-08-02 08:00:00,pH,延化120万吨/年催化重整装置
12.60,ST040034,<p>&mu;g/L</p>,2025-08-02 08:00:00,二氧化硅,延化120万吨/年催化重整装置
0.08,ST040034,<p>mg/L</p>,2025-08-04 08:00:00,氨含量,延化120万吨/年催化重整装置
9.15,ST040034,<p>&mu;g/L</p>,2025-08-04 08:00:00,溶解氧,延化120万吨/年催化重整装置
11.90,ST040034,<p>&mu;g/L</p>,2025-08-06 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.82,ST040034,,2025-08-06 08:00:00,pH,延化120万吨/年催化重整装置
8.80,ST040034,,2025-08-08 08:54:00,pH,延化120万吨/年催化重整装置
11.70,ST040034,<p>&mu;g/L</p>,2025-08-08 08:54:00,二氧化硅,延化120万吨/年催化重整装置
19.80,ST040034,<p>&mu;g/L</p>,2025-08-10 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-08-10 08:00:00,pH,延化120万吨/年催化重整装置
9.04,ST040034,<p>&mu;g/L</p>,2025-08-12 08:00:00,溶解氧,延化120万吨/年催化重整装置
12.80,ST040034,<p>&mu;g/L</p>,2025-08-12 08:00:00,二氧化硅,延化120万吨/年催化重整装置
0.10,ST040034,<p>mg/L</p>,2025-08-12 08:00:00,氨含量,延化120万吨/年催化重整装置
8.80,ST040034,,2025-08-12 08:00:00,pH,延化120万吨/年催化重整装置
10.50,ST040034,<p>&mu;g/L</p>,2025-08-14 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-08-14 08:00:00,pH,延化120万吨/年催化重整装置
8.80,ST040034,,2025-08-16 08:00:00,pH,延化120万吨/年催化重整装置
16.40,ST040034,<p>&mu;g/L</p>,2025-08-16 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-08-29 08:00:00,pH,延化120万吨/年催化重整装置
10.60,ST040034,<p>&mu;g/L</p>,2025-08-29 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-08-31 08:00:00,pH,延化120万吨/年催化重整装置
10.30,ST040034,<p>&mu;g/L</p>,2025-08-31 08:00:00,二氧化硅,延化120万吨/年催化重整装置
0.08,ST040034,<p>mg/L</p>,2025-09-02 08:00:00,氨含量,延化120万吨/年催化重整装置
13.96,ST040034,<p>&mu;g/L</p>,2025-09-02 08:00:00,溶解氧,延化120万吨/年催化重整装置
9.28,ST040034,,2025-09-02 08:00:00,pH,延化120万吨/年催化重整装置
10.30,ST040034,<p>&mu;g/L</p>,2025-09-02 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.89,ST040034,,2025-09-04 08:00:00,pH,延化120万吨/年催化重整装置
10.60,ST040034,<p>&mu;g/L</p>,2025-09-04 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.88,ST040034,,2025-09-06 08:00:00,pH,延化120万吨/年催化重整装置
10.90,ST040034,<p>&mu;g/L</p>,2025-09-06 08:00:00,二氧化硅,延化120万吨/年催化重整装置
9.03,ST040034,,2025-09-08 08:00:00,pH,延化120万吨/年催化重整装置
0.10,ST040034,<p>mg/L</p>,2025-09-08 08:00:00,氨含量,延化120万吨/年催化重整装置
12.50,ST040034,<p>&mu;g/L</p>,2025-09-08 08:00:00,溶解氧,延化120万吨/年催化重整装置
10.60,ST040034,<p>&mu;g/L</p>,2025-09-08 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-09-10 08:00:00,pH,延化120万吨/年催化重整装置
10.70,ST040034,<p>&mu;g/L</p>,2025-09-10 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-09-12 08:00:00,pH,延化120万吨/年催化重整装置
10.60,ST040034,<p>&mu;g/L</p>,2025-09-12 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-09-14 08:00:00,pH,延化120万吨/年催化重整装置
10.80,ST040034,<p>&mu;g/L</p>,2025-09-14 08:00:00,二氧化硅,延化120万吨/年催化重整装置
10.40,ST040034,<p>&mu;g/L</p>,2025-09-16 08:00:00,溶解氧,延化120万吨/年催化重整装置
8.80,ST040034,,2025-09-16 08:00:00,pH,延化120万吨/年催化重整装置
10.80,ST040034,<p>&mu;g/L</p>,2025-09-16 08:00:00,二氧化硅,延化120万吨/年催化重整装置
0.07,ST040034,<p>mg/L</p>,2025-09-16 08:00:00,氨含量,延化120万吨/年催化重整装置
10.60,ST040034,<p>&mu;g/L</p>,2025-09-18 08:00:00,二氧化硅,延化120万吨/年催化重整装置
8.80,ST040034,,2025-09-18 08:00:00,pH,延化120万吨/年催化重整装置
10.80,ST040034,<p>&mu;g/L</p>,2025-09-20 08:00:00,二氧化硅,延化120万吨/年催化重整装置
