result,sampleDotCode,sampleTime,resultName,deviceName,unitName
99.8,ST040023,2025-05-05 08:00:00,研究法辛烷值(RON),延化120万吨/年催化重整装置,
1.78,ST040023,2025-05-07 08:00:00,环烷烃含量,延化120万吨/年催化重整装置,<p>%</p>
820.6,ST040023,2025-05-07 08:00:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
0.88,ST040023,2025-05-07 08:00:00,烯烃含量,延化120万吨/年催化重整装置,<p>%</p>
13.80,ST040023,2025-05-07 08:00:00,异构烷烃,延化120万吨/年催化重整装置,<p>%</p>
5.47,ST040023,2025-05-07 08:00:00,正构烷烃,延化120万吨/年催化重整装置,<p>%</p>
102.9,ST040023,2025-05-07 08:00:00,模拟法辛烷值,延化120万吨/年催化重整装置,
0.23,ST040023,2025-05-07 08:00:00,苯含量,延化120万吨/年催化重整装置,<p>%</p>
77.87,ST040023,2025-05-07 08:00:00,芳烃含量,延化120万吨/年催化重整装置,<p>%</p>
21.05,ST040023,2025-05-07 08:00:00,烷烃含量,延化120万吨/年催化重整装置,<p>%</p>
1.59,ST040023,2025-05-10 08:00:00,环烷烃含量,延化120万吨/年催化重整装置,<p>%</p>
830.6,ST040023,2025-05-10 08:00:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
4.28,ST040023,2025-05-10 08:00:00,正构烷烃,延化120万吨/年催化重整装置,<p>%</p>
11.48,ST040023,2025-05-10 08:00:00,异构烷烃,延化120万吨/年催化重整装置,<p>%</p>
17.35,ST040023,2025-05-10 08:00:00,烷烃含量,延化120万吨/年催化重整装置,<p>%</p>
0.69,ST040023,2025-05-10 08:00:00,烯烃含量,延化120万吨/年催化重整装置,<p>%</p>
81.51,ST040023,2025-05-10 08:00:00,芳烃含量,延化120万吨/年催化重整装置,<p>%</p>
0.82,ST040023,2025-05-10 08:00:00,苯含量,延化120万吨/年催化重整装置,<p>%</p>
99.6,ST040023,2025-05-12 08:00:00,研究法辛烷值(RON),延化120万吨/年催化重整装置,
0.33,ST040023,2025-05-14 08:00:00,苯含量,延化120万吨/年催化重整装置,<p>%</p>
103.4,ST040023,2025-05-14 08:00:00,模拟法辛烷值,延化120万吨/年催化重整装置,
1.73,ST040023,2025-05-14 08:00:00,环烷烃含量,延化120万吨/年催化重整装置,<p>%</p>
0.81,ST040023,2025-05-14 08:00:00,烯烃含量,延化120万吨/年催化重整装置,<p>%</p>
18.72,ST040023,2025-05-14 08:00:00,烷烃含量,延化120万吨/年催化重整装置,<p>%</p>
12.00,ST040023,2025-05-14 08:00:00,异构烷烃,延化120万吨/年催化重整装置,<p>%</p>
4.99,ST040023,2025-05-14 08:00:00,正构烷烃,延化120万吨/年催化重整装置,<p>%</p>
80.21,ST040023,2025-05-14 08:00:00,芳烃含量,延化120万吨/年催化重整装置,<p>%</p>
826.3,ST040023,2025-05-14 08:00:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
0.23,ST040023,2025-05-21 08:00:00,苯含量,延化120万吨/年催化重整装置,<p>%</p>
80.24,ST040023,2025-05-21 08:00:00,芳烃含量,延化120万吨/年催化重整装置,<p>%</p>
1.66,ST040023,2025-05-21 08:00:00,环烷烃含量,延化120万吨/年催化重整装置,<p>%</p>
0.80,ST040023,2025-05-21 08:00:00,烯烃含量,延化120万吨/年催化重整装置,<p>%</p>
18.65,ST040023,2025-05-21 08:00:00,烷烃含量,延化120万吨/年催化重整装置,<p>%</p>
12.04,ST040023,2025-05-21 08:00:00,异构烷烃,延化120万吨/年催化重整装置,<p>%</p>
4.95,ST040023,2025-05-21 08:00:00,正构烷烃,延化120万吨/年催化重整装置,<p>%</p>
822.8,ST040023,2025-05-21 08:00:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
103.7,ST040023,2025-05-21 08:00:00,模拟法辛烷值,延化120万吨/年催化重整装置,
99.8,ST040023,2025-05-26 08:00:00,研究法辛烷值(RON),延化120万吨/年催化重整装置,
0.21,ST040023,2025-05-28 08:00:00,苯含量,延化120万吨/年催化重整装置,<p>%</p>
101.7,ST040023,2025-05-28 08:00:00,模拟法辛烷值,延化120万吨/年催化重整装置,
78.76,ST040023,2025-05-28 08:00:00,芳烃含量,延化120万吨/年催化重整装置,<p>%</p>
1.67,ST040023,2025-05-28 08:00:00,环烷烃含量,延化120万吨/年催化重整装置,<p>%</p>
0.84,ST040023,2025-05-28 08:00:00,烯烃含量,延化120万吨/年催化重整装置,<p>%</p>
20.36,ST040023,2025-05-28 08:00:00,烷烃含量,延化120万吨/年催化重整装置,<p>%</p>
13.24,ST040023,2025-05-28 08:00:00,异构烷烃,延化120万吨/年催化重整装置,<p>%</p>
5.45,ST040023,2025-05-28 08:00:00,正构烷烃,延化120万吨/年催化重整装置,<p>%</p>
820.2,ST040023,2025-05-28 08:00:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
5.20,ST040023,2025-06-04 08:00:00,正构烷烃,延化120万吨/年催化重整装置,<p>%</p>
12.68,ST040023,2025-06-04 08:00:00,异构烷烃,延化120万吨/年催化重整装置,<p>%</p>
823.0,ST040023,2025-06-04 08:00:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
0.18,ST040023,2025-06-04 08:00:00,苯含量,延化120万吨/年催化重整装置,<p>%</p>
103.3,ST040023,2025-06-04 08:00:00,模拟法辛烷值,延化120万吨/年催化重整装置,
79.38,ST040023,2025-06-04 08:00:00,芳烃含量,延化120万吨/年催化重整装置,<p>%</p>
1.67,ST040023,2025-06-04 08:00:00,环烷烃含量,延化120万吨/年催化重整装置,<p>%</p>
0.79,ST040023,2025-06-04 08:00:00,烯烃含量,延化120万吨/年催化重整装置,<p>%</p>
19.55,ST040023,2025-06-04 08:00:00,烷烃含量,延化120万吨/年催化重整装置,<p>%</p>
822.7,ST040023,2025-06-11 08:00:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
