result,sampleDotCode,unitName,sampleTime,resultName,deviceName
<1,ST040039,级,2025-05-01 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
16.70,ST040039,<p>&mu;S/cm</p>,2025-05-11 10:00:00,电导率,延化120万吨/年催化重整装置
<1,ST040039,级,2025-05-15 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-05-29 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-06-05 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-06-12 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-06-19 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
138,ST040039,<p>mg/L</p>,2025-06-26 10:00:00,COD,延化120万吨/年催化重整装置
104,ST040039,<p>mg/L</p>,2025-06-26 10:00:00,COD,延化120万吨/年催化重整装置
105,ST040039,<p>mg/L</p>,2025-06-26 10:00:00,COD,延化120万吨/年催化重整装置
109,ST040039,<p>mg/L</p>,2025-06-26 10:10:00,COD,延化120万吨/年催化重整装置
<1,ST040039,级,2025-06-26 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-07-10 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-07-17 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-07-24 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-07-31 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-08-07 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-08-14 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-08-21 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-09-25 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
111,ST040039,<p>mg/L</p>,2025-10-11 09:30:00,COD,延化120万吨/年催化重整装置
103,ST040039,<p>mg/L</p>,2025-10-11 09:30:00,COD,延化120万吨/年催化重整装置
21,ST040039,<p>mg/L</p>,2025-10-11 15:30:00,COD,延化120万吨/年催化重整装置
<1,ST040039,级,2025-10-30 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
/,ST040039,级,2025-11-06 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-11-13 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-11-20 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-11-27 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-12-04 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-12-11 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-12-18 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2025-12-25 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2026-01-08 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2026-01-15 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2026-01-22 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2026-02-05 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2026-02-12 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2026-02-19 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2026-02-26 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2026-03-05 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2026-03-19 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2026-03-26 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
<1,ST040039,级,2026-04-02 16:00:00,林格曼黑度,延化120万吨/年催化重整装置
8.96,ST040039,,2026-04-04 06:00:00,pH,延化120万吨/年催化重整装置
1.10,ST040039,mg/L,2026-04-04 06:00:00,石油类,延化120万吨/年催化重整装置
0.10,ST040039,mg/L,2026-04-04 06:00:00,硫化物,延化120万吨/年催化重整装置
