result,sampleDotCode,unitName,sampleTime,resultName,deviceName
<-19,ST040042,℃,2025-05-01 20:00:00,冷滤点,延化140万吨/年柴油精制装置
-26,ST040042,℃,2025-05-01 20:00:00,凝点,延化140万吨/年柴油精制装置
864.0,ST040042,<p>kg/m<sup>3</sup></p>,2025-05-01 20:00:00,密度ρ20,延化140万吨/年柴油精制装置
3.00,ST040042,<p>ppm</p>,2025-05-01 20:00:00,硫含量,延化140万吨/年柴油精制装置
346.5,ST040042,℃,2025-05-01 20:00:00,95%回收温度,延化140万吨/年柴油精制装置
82.0,ST040042,℃,2025-05-01 20:00:00,闪点(闭口),延化140万吨/年柴油精制装置
262.0,ST040042,℃,2025-05-01 20:00:00,50%回收温度,延化140万吨/年柴油精制装置
218.5,ST040042,℃,2025-05-01 20:00:00,10%回收温度,延化140万吨/年柴油精制装置
192.5,ST040042,℃,2025-05-01 20:00:00,初馏点,延化140万吨/年柴油精制装置
41,ST040042,,2025-05-01 20:00:00,十六烷指数,延化140万吨/年柴油精制装置
332.5,ST040042,℃,2025-05-01 20:00:00,90%回收温度,延化140万吨/年柴油精制装置
<-19,ST040042,℃,2025-05-02 20:00:00,冷滤点,延化140万吨/年柴油精制装置
-25,ST040042,℃,2025-05-02 20:00:00,凝点,延化140万吨/年柴油精制装置
864.1,ST040042,<p>kg/m<sup>3</sup></p>,2025-05-02 20:00:00,密度ρ20,延化140万吨/年柴油精制装置
3.00,ST040042,<p>ppm</p>,2025-05-02 20:00:00,硫含量,延化140万吨/年柴油精制装置
352.5,ST040042,℃,2025-05-02 20:00:00,95%回收温度,延化140万吨/年柴油精制装置
82.0,ST040042,℃,2025-05-02 20:00:00,闪点(闭口),延化140万吨/年柴油精制装置
266.0,ST040042,℃,2025-05-02 20:00:00,50%回收温度,延化140万吨/年柴油精制装置
221.5,ST040042,℃,2025-05-02 20:00:00,10%回收温度,延化140万吨/年柴油精制装置
191.5,ST040042,℃,2025-05-02 20:00:00,初馏点,延化140万吨/年柴油精制装置
42,ST040042,,2025-05-02 20:00:00,十六烷指数,延化140万吨/年柴油精制装置
335.5,ST040042,℃,2025-05-02 20:00:00,90%回收温度,延化140万吨/年柴油精制装置
265.0,ST040042,℃,2025-05-03 20:00:00,50%回收温度,延化140万吨/年柴油精制装置
336.5,ST040042,℃,2025-05-03 20:00:00,90%回收温度,延化140万吨/年柴油精制装置
356.0,ST040042,℃,2025-05-03 20:00:00,95%回收温度,延化140万吨/年柴油精制装置
<-19,ST040042,℃,2025-05-03 20:00:00,冷滤点,延化140万吨/年柴油精制装置
-24,ST040042,℃,2025-05-03 20:00:00,凝点,延化140万吨/年柴油精制装置
219.5,ST040042,℃,2025-05-03 20:00:00,10%回收温度,延化140万吨/年柴油精制装置
4.00,ST040042,<p>ppm</p>,2025-05-03 20:00:00,硫含量,延化140万吨/年柴油精制装置
41,ST040042,,2025-05-03 20:00:00,十六烷指数,延化140万吨/年柴油精制装置
83.0,ST040042,℃,2025-05-03 20:00:00,闪点(闭口),延化140万吨/年柴油精制装置
192.0,ST040042,℃,2025-05-03 20:00:00,初馏点,延化140万吨/年柴油精制装置
863.8,ST040042,<p>kg/m<sup>3</sup></p>,2025-05-03 20:00:00,密度ρ20,延化140万吨/年柴油精制装置
197.0,ST040042,℃,2025-05-04 20:00:00,初馏点,延化140万吨/年柴油精制装置
222.0,ST040042,℃,2025-05-04 20:00:00,10%回收温度,延化140万吨/年柴油精制装置
267.0,ST040042,℃,2025-05-04 20:00:00,50%回收温度,延化140万吨/年柴油精制装置
334.5,ST040042,℃,2025-05-04 20:00:00,90%回收温度,延化140万吨/年柴油精制装置
354.5,ST040042,℃,2025-05-04 20:00:00,95%回收温度,延化140万吨/年柴油精制装置
82.0,ST040042,℃,2025-05-04 20:00:00,闪点(闭口),延化140万吨/年柴油精制装置
-24,ST040042,℃,2025-05-04 20:00:00,凝点,延化140万吨/年柴油精制装置
863.9,ST040042,<p>kg/m<sup>3</sup></p>,2025-05-04 20:00:00,密度ρ20,延化140万吨/年柴油精制装置
4.00,ST040042,<p>ppm</p>,2025-05-04 20:00:00,硫含量,延化140万吨/年柴油精制装置
42,ST040042,,2025-05-04 20:00:00,十六烷指数,延化140万吨/年柴油精制装置
<-19,ST040042,℃,2025-05-04 20:00:00,冷滤点,延化140万吨/年柴油精制装置
4.00,ST040042,<p>ppm</p>,2025-05-05 20:00:00,硫含量,延化140万吨/年柴油精制装置
<-19,ST040042,℃,2025-05-05 20:00:00,冷滤点,延化140万吨/年柴油精制装置
-24,ST040042,℃,2025-05-05 20:00:00,凝点,延化140万吨/年柴油精制装置
864.0,ST040042,<p>kg/m<sup>3</sup></p>,2025-05-05 20:00:00,密度ρ20,延化140万吨/年柴油精制装置
354.5,ST040042,℃,2025-05-05 20:00:00,95%回收温度,延化140万吨/年柴油精制装置
83.0,ST040042,℃,2025-05-05 20:00:00,闪点(闭口),延化140万吨/年柴油精制装置
267.5,ST040042,℃,2025-05-05 20:00:00,50%回收温度,延化140万吨/年柴油精制装置
220.5,ST040042,℃,2025-05-05 20:00:00,10%回收温度,延化140万吨/年柴油精制装置
191.0,ST040042,℃,2025-05-05 20:00:00,初馏点,延化140万吨/年柴油精制装置
42,ST040042,,2025-05-05 20:00:00,十六烷指数,延化140万吨/年柴油精制装置
334.0,ST040042,℃,2025-05-05 20:00:00,90%回收温度,延化140万吨/年柴油精制装置
864.8,ST040042,<p>kg/m<sup>3</sup></p>,2025-05-06 20:00:00,密度ρ20,延化140万吨/年柴油精制装置
82.0,ST040042,℃,2025-05-06 20:00:00,闪点(闭口),延化140万吨/年柴油精制装置
194.0,ST040042,℃,2025-05-06 20:00:00,初馏点,延化140万吨/年柴油精制装置
221.0,ST040042,℃,2025-05-06 20:00:00,10%回收温度,延化140万吨/年柴油精制装置
265.0,ST040042,℃,2025-05-06 20:00:00,50%回收温度,延化140万吨/年柴油精制装置
-24,ST040042,℃,2025-05-06 20:00:00,凝点,延化140万吨/年柴油精制装置
354.0,ST040042,℃,2025-05-06 20:00:00,95%回收温度,延化140万吨/年柴油精制装置
41,ST040042,,2025-05-06 20:00:00,十六烷指数,延化140万吨/年柴油精制装置
4.00,ST040042,<p>ppm</p>,2025-05-06 20:00:00,硫含量,延化140万吨/年柴油精制装置
<-19,ST040042,℃,2025-05-06 20:00:00,冷滤点,延化140万吨/年柴油精制装置
333.0,ST040042,℃,2025-05-06 20:00:00,90%回收温度,延化140万吨/年柴油精制装置
4.00,ST040042,<p>ppm</p>,2025-05-07 20:00:00,硫含量,延化140万吨/年柴油精制装置
<-19,ST040042,℃,2025-05-07 20:00:00,冷滤点,延化140万吨/年柴油精制装置
-25,ST040042,℃,2025-05-07 20:00:00,凝点,延化140万吨/年柴油精制装置
861.5,ST040042,<p>kg/m<sup>3</sup></p>,2025-05-07 20:00:00,密度ρ20,延化140万吨/年柴油精制装置
353.5,ST040042,℃,2025-05-07 20:00:00,95%回收温度,延化140万吨/年柴油精制装置
83.0,ST040042,℃,2025-05-07 20:00:00,闪点(闭口),延化140万吨/年柴油精制装置
265.0,ST040042,℃,2025-05-07 20:00:00,50%回收温度,延化140万吨/年柴油精制装置
221.5,ST040042,℃,2025-05-07 20:00:00,10%回收温度,延化140万吨/年柴油精制装置
191.5,ST040042,℃,2025-05-07 20:00:00,初馏点,延化140万吨/年柴油精制装置
42,ST040042,,2025-05-07 20:00:00,十六烷指数,延化140万吨/年柴油精制装置
334.5,ST040042,℃,2025-05-07 20:00:00,90%回收温度,延化140万吨/年柴油精制装置
-16,ST040042,℃,2025-05-08 20:00:00,冷滤点,延化140万吨/年柴油精制装置
-23,ST040042,℃,2025-05-08 20:00:00,凝点,延化140万吨/年柴油精制装置
863.7,ST040042,<p>kg/m<sup>3</sup></p>,2025-05-08 20:00:00,密度ρ20,延化140万吨/年柴油精制装置
3.00,ST040042,<p>ppm</p>,2025-05-08 20:00:00,硫含量,延化140万吨/年柴油精制装置
42,ST040042,,2025-05-08 20:00:00,十六烷指数,延化140万吨/年柴油精制装置
354.5,ST040042,℃,2025-05-08 20:00:00,95%回收温度,延化140万吨/年柴油精制装置
194.5,ST040042,℃,2025-05-08 20:00:00,初馏点,延化140万吨/年柴油精制装置
222.5,ST040042,℃,2025-05-08 20:00:00,10%回收温度,延化140万吨/年柴油精制装置
265.0,ST040042,℃,2025-05-08 20:00:00,50%回收温度,延化140万吨/年柴油精制装置
334.5,ST040042,℃,2025-05-08 20:00:00,90%回收温度,延化140万吨/年柴油精制装置
82.0,ST040042,℃,2025-05-08 20:00:00,闪点(闭口),延化140万吨/年柴油精制装置
190.0,ST040042,℃,2025-05-09 20:00:00,初馏点,延化140万吨/年柴油精制装置
221.0,ST040042,℃,2025-05-09 20:00:00,10%回收温度,延化140万吨/年柴油精制装置
266.0,ST040042,℃,2025-05-09 20:00:00,50%回收温度,延化140万吨/年柴油精制装置
337.0,ST040042,℃,2025-05-09 20:00:00,90%回收温度,延化140万吨/年柴油精制装置
356.0,ST040042,℃,2025-05-09 20:00:00,95%回收温度,延化140万吨/年柴油精制装置
83.0,ST040042,℃,2025-05-09 20:00:00,闪点(闭口),延化140万吨/年柴油精制装置
864.8,ST040042,<p>kg/m<sup>3</sup></p>,2025-05-09 20:00:00,密度ρ20,延化140万吨/年柴油精制装置
3.00,ST040042,<p>ppm</p>,2025-05-09 20:00:00,硫含量,延化140万吨/年柴油精制装置
-18,ST040042,℃,2025-05-09 20:00:00,冷滤点,延化140万吨/年柴油精制装置
42,ST040042,,2025-05-09 20:00:00,十六烷指数,延化140万吨/年柴油精制装置
-24,ST040042,℃,2025-05-09 20:00:00,凝点,延化140万吨/年柴油精制装置
194.6,ST040042,℃,2025-05-10 20:00:00,初馏点,延化140万吨/年柴油精制装置
221.7,ST040042,℃,2025-05-10 20:00:00,10%回收温度,延化140万吨/年柴油精制装置
267.0,ST040042,℃,2025-05-10 20:00:00,50%回收温度,延化140万吨/年柴油精制装置
334.9,ST040042,℃,2025-05-10 20:00:00,90%回收温度,延化140万吨/年柴油精制装置
354.5,ST040042,℃,2025-05-10 20:00:00,95%回收温度,延化140万吨/年柴油精制装置
