result,sampleDotCode,unitName,sampleTime,resultName,deviceName
13.79,ST040046,"<p>%(v/v)</p>
",2025-05-01 20:00:00,乙烷+乙烯,延化140万吨/年柴油精制装置
44.21,ST040046,"<p>%(v/v)</p>
",2025-05-01 20:00:00,丙烷,延化140万吨/年柴油精制装置
0.30,ST040046,"<p>%(v/v)</p>
",2025-05-01 20:00:00,正丁烯+异丁烯,延化140万吨/年柴油精制装置
23.72,ST040046,"<p>%(v/v)</p>
",2025-05-01 20:00:00,异丁烷,延化140万吨/年柴油精制装置
0.02,ST040046,"<p>%(v/v)</p>
",2025-05-01 20:00:00,C5,延化140万吨/年柴油精制装置
17.84,ST040046,"<p>%(v/v)</p>
",2025-05-01 20:00:00,正丁烷,延化140万吨/年柴油精制装置
0.04,ST040046,"<p>%(v/v)</p>
",2025-05-01 20:00:00,反丁烯,延化140万吨/年柴油精制装置
0.05,ST040046,"<p>%(v/v)</p>
",2025-05-01 20:00:00,顺丁烯,延化140万吨/年柴油精制装置
0.03,ST040046,"<p>%(v/v)</p>
",2025-05-01 20:00:00,丙烯,延化140万吨/年柴油精制装置
14.38,ST040046,"<p>%(v/v)</p>
",2025-05-02 20:00:00,乙烷+乙烯,延化140万吨/年柴油精制装置
45.07,ST040046,"<p>%(v/v)</p>
",2025-05-02 20:00:00,丙烷,延化140万吨/年柴油精制装置
0.30,ST040046,"<p>%(v/v)</p>
",2025-05-02 20:00:00,正丁烯+异丁烯,延化140万吨/年柴油精制装置
23.63,ST040046,"<p>%(v/v)</p>
",2025-05-02 20:00:00,异丁烷,延化140万吨/年柴油精制装置
0.01,ST040046,"<p>%(v/v)</p>
",2025-05-02 20:00:00,C5,延化140万吨/年柴油精制装置
16.48,ST040046,"<p>%(v/v)</p>
",2025-05-02 20:00:00,正丁烷,延化140万吨/年柴油精制装置
0.05,ST040046,"<p>%(v/v)</p>
",2025-05-02 20:00:00,反丁烯,延化140万吨/年柴油精制装置
0.06,ST040046,"<p>%(v/v)</p>
",2025-05-02 20:00:00,顺丁烯,延化140万吨/年柴油精制装置
0.02,ST040046,"<p>%(v/v)</p>
",2025-05-02 20:00:00,丙烯,延化140万吨/年柴油精制装置
11.49,ST040046,"<p>%(v/v)</p>
",2025-05-03 20:00:00,乙烷+乙烯,延化140万吨/年柴油精制装置
41.82,ST040046,"<p>%(v/v)</p>
",2025-05-03 20:00:00,丙烷,延化140万吨/年柴油精制装置
0.38,ST040046,"<p>%(v/v)</p>
",2025-05-03 20:00:00,正丁烯+异丁烯,延化140万吨/年柴油精制装置
25.64,ST040046,"<p>%(v/v)</p>
",2025-05-03 20:00:00,异丁烷,延化140万吨/年柴油精制装置
0.01,ST040046,"<p>%(v/v)</p>
",2025-05-03 20:00:00,C5,延化140万吨/年柴油精制装置
20.51,ST040046,"<p>%(v/v)</p>
",2025-05-03 20:00:00,正丁烷,延化140万吨/年柴油精制装置
0.07,ST040046,"<p>%(v/v)</p>
",2025-05-03 20:00:00,反丁烯,延化140万吨/年柴油精制装置
0.05,ST040046,"<p>%(v/v)</p>
",2025-05-03 20:00:00,顺丁烯,延化140万吨/年柴油精制装置
0.03,ST040046,"<p>%(v/v)</p>
",2025-05-03 20:00:00,丙烯,延化140万吨/年柴油精制装置
23.41,ST040046,"<p>%(v/v)</p>
",2025-05-04 20:00:00,异丁烷,延化140万吨/年柴油精制装置
13.49,ST040046,"<p>%(v/v)</p>
",2025-05-04 20:00:00,乙烷+乙烯,延化140万吨/年柴油精制装置
42.70,ST040046,"<p>%(v/v)</p>
",2025-05-04 20:00:00,丙烷,延化140万吨/年柴油精制装置
0.36,ST040046,"<p>%(v/v)</p>
",2025-05-04 20:00:00,正丁烯+异丁烯,延化140万吨/年柴油精制装置
0.36,ST040046,"<p>%(v/v)</p>
",2025-05-04 20:00:00,C5,延化140万吨/年柴油精制装置
19.57,ST040046,"<p>%(v/v)</p>
",2025-05-04 20:00:00,正丁烷,延化140万吨/年柴油精制装置
0.07,ST040046,"<p>%(v/v)</p>
",2025-05-04 20:00:00,反丁烯,延化140万吨/年柴油精制装置
0.01,ST040046,"<p>%(v/v)</p>
",2025-05-04 20:00:00,顺丁烯,延化140万吨/年柴油精制装置
0.03,ST040046,"<p>%(v/v)</p>
",2025-05-04 20:00:00,丙烯,延化140万吨/年柴油精制装置
23.20,ST040046,"<p>%(v/v)</p>
",2025-05-05 20:00:00,异丁烷,延化140万吨/年柴油精制装置
13.40,ST040046,"<p>%(v/v)</p>
",2025-05-05 20:00:00,乙烷+乙烯,延化140万吨/年柴油精制装置
42.65,ST040046,"<p>%(v/v)</p>
",2025-05-05 20:00:00,丙烷,延化140万吨/年柴油精制装置
0.37,ST040046,"<p>%(v/v)</p>
",2025-05-05 20:00:00,正丁烯+异丁烯,延化140万吨/年柴油精制装置
0.03,ST040046,"<p>%(v/v)</p>
",2025-05-05 20:00:00,C5,延化140万吨/年柴油精制装置
20.19,ST040046,"<p>%(v/v)</p>
",2025-05-05 20:00:00,正丁烷,延化140万吨/年柴油精制装置
