result,sampleDotCode,unitName,sampleTime,resultName,deviceName
363.2,ST040049,℃,2025-05-01 20:00:00,95%回收温度,延化140万吨/年柴油精制装置
345.1,ST040049,℃,2025-05-01 20:00:00,90%回收温度,延化140万吨/年柴油精制装置
3,ST040049,℃,2025-05-01 20:00:00,冷滤点,延化140万吨/年柴油精制装置
0,ST040049,℃,2025-05-01 20:00:00,凝点,延化140万吨/年柴油精制装置
68.0,ST040049,℃,2025-05-01 20:00:00,闪点(闭口),延化140万吨/年柴油精制装置
40,ST040049,,2025-05-01 20:00:00,十六烷指数,延化140万吨/年柴油精制装置
882.6,ST040049,<p>kg/m<sup>3</sup></p>,2025-05-01 20:00:00,密度,延化140万吨/年柴油精制装置
痕迹水,ST040049,mg/kg,2025-05-01 20:00:00,水含量,延化140万吨/年柴油精制装置
190.3,ST040049,℃,2025-05-01 20:00:00,初馏点,延化140万吨/年柴油精制装置
228.4,ST040049,℃,2025-05-01 20:00:00,10%回收温度,延化140万吨/年柴油精制装置
282.8,ST040049,℃,2025-05-01 20:00:00,50%回收温度,延化140万吨/年柴油精制装置
39,ST040049,,2025-05-04 21:48:00,十六烷指数,延化140万吨/年柴油精制装置
345.0,ST040049,℃,2025-05-04 21:48:00,90%回收温度,延化140万吨/年柴油精制装置
280.3,ST040049,℃,2025-05-04 21:48:00,50%回收温度,延化140万吨/年柴油精制装置
229.0,ST040049,℃,2025-05-04 21:48:00,10%回收温度,延化140万吨/年柴油精制装置
192.7,ST040049,℃,2025-05-04 21:48:00,初馏点,延化140万吨/年柴油精制装置
358.6,ST040049,℃,2025-05-04 21:48:00,95%回收温度,延化140万吨/年柴油精制装置
0,ST040049,℃,2025-05-04 21:48:00,凝点,延化140万吨/年柴油精制装置
70.0,ST040049,℃,2025-05-04 21:48:00,闪点(闭口),延化140万吨/年柴油精制装置
884.3,ST040049,<p>kg/m<sup>3</sup></p>,2025-05-04 21:48:00,密度,延化140万吨/年柴油精制装置
痕迹水,ST040049,mg/kg,2025-05-04 21:48:00,水含量,延化140万吨/年柴油精制装置
3,ST040049,℃,2025-05-04 21:48:00,冷滤点,延化140万吨/年柴油精制装置
360.8,ST040049,℃,2025-05-08 10:31:00,95%回收温度,延化140万吨/年柴油精制装置
347.6,ST040049,℃,2025-05-08 10:31:00,90%回收温度,延化140万吨/年柴油精制装置
282.8,ST040049,℃,2025-05-08 10:31:00,50%回收温度,延化140万吨/年柴油精制装置
229.8,ST040049,℃,2025-05-08 10:31:00,10%回收温度,延化140万吨/年柴油精制装置
194.8,ST040049,℃,2025-05-08 10:31:00,初馏点,延化140万吨/年柴油精制装置
3,ST040049,℃,2025-05-08 10:31:00,冷滤点,延化140万吨/年柴油精制装置
痕迹水,ST040049,mg/kg,2025-05-08 10:31:00,水含量,延化140万吨/年柴油精制装置
0,ST040049,℃,2025-05-08 10:31:00,凝点,延化140万吨/年柴油精制装置
72.0,ST040049,℃,2025-05-08 10:31:00,闪点(闭口),延化140万吨/年柴油精制装置
881.9,ST040049,<p>kg/m<sup>3</sup></p>,2025-05-08 10:31:00,密度,延化140万吨/年柴油精制装置
40,ST040049,,2025-05-08 10:31:00,十六烷指数,延化140万吨/年柴油精制装置
70.0,ST040049,℃,2025-05-10 12:00:00,闪点(闭口),延化140万吨/年柴油精制装置
0,ST040049,℃,2025-05-10 12:00:00,凝点,延化140万吨/年柴油精制装置
880.5,ST040049,<p>kg/m<sup>3</sup></p>,2025-05-10 12:00:00,密度,延化140万吨/年柴油精制装置
痕迹水,ST040049,mg/kg,2025-05-10 12:00:00,水含量,延化140万吨/年柴油精制装置
361.1,ST040049,℃,2025-05-10 12:00:00,95%回收温度,延化140万吨/年柴油精制装置
347.7,ST040049,℃,2025-05-10 12:00:00,90%回收温度,延化140万吨/年柴油精制装置
281.9,ST040049,℃,2025-05-10 12:00:00,50%回收温度,延化140万吨/年柴油精制装置
228.6,ST040049,℃,2025-05-10 12:00:00,10%回收温度,延化140万吨/年柴油精制装置
192.8,ST040049,℃,2025-05-10 12:00:00,初馏点,延化140万吨/年柴油精制装置
3,ST040049,℃,2025-05-10 12:00:00,冷滤点,延化140万吨/年柴油精制装置
40,ST040049,,2025-05-10 12:00:00,十六烷指数,延化140万吨/年柴油精制装置
4,ST040049,℃,2025-05-14 21:00:00,冷滤点,延化140万吨/年柴油精制装置
痕迹水,ST040049,mg/kg,2025-05-14 21:00:00,水含量,延化140万吨/年柴油精制装置
192.3,ST040049,℃,2025-05-14 21:00:00,初馏点,延化140万吨/年柴油精制装置
228.5,ST040049,℃,2025-05-14 21:00:00,10%回收温度,延化140万吨/年柴油精制装置
282.0,ST040049,℃,2025-05-14 21:00:00,50%回收温度,延化140万吨/年柴油精制装置
361.0,ST040049,℃,2025-05-14 21:00:00,95%回收温度,延化140万吨/年柴油精制装置
40,ST040049,,2025-05-14 21:00:00,十六烷指数,延化140万吨/年柴油精制装置
0,ST040049,℃,2025-05-14 21:00:00,凝点,延化140万吨/年柴油精制装置
69.0,ST040049,℃,2025-05-14 21:00:00,闪点(闭口),延化140万吨/年柴油精制装置
881.6,ST040049,<p>kg/m<sup>3</sup></p>,2025-05-14 21:00:00,密度,延化140万吨/年柴油精制装置
347.7,ST040049,℃,2025-05-14 21:00:00,90%回收温度,延化140万吨/年柴油精制装置
0,ST040049,℃,2025-05-17 19:00:00,凝点,延化140万吨/年柴油精制装置
4,ST040049,℃,2025-05-17 19:00:00,冷滤点,延化140万吨/年柴油精制装置
346.4,ST040049,℃,2025-05-17 19:00:00,90%回收温度,延化140万吨/年柴油精制装置
193.1,ST040049,℃,2025-05-17 19:00:00,初馏点,延化140万吨/年柴油精制装置
229.1,ST040049,℃,2025-05-17 19:00:00,10%回收温度,延化140万吨/年柴油精制装置
281.5,ST040049,℃,2025-05-17 19:00:00,50%回收温度,延化140万吨/年柴油精制装置
