result,sampleDotCode,sampleTime,resultName,deviceName,unitName
58,ST040057,2025-05-27 21:31:00,十六烷指数,延化140万吨/年柴油精制装置,
815.3,ST040057,2025-05-27 21:31:00,密度,延化140万吨/年柴油精制装置,<p>kg/m<sup>3</sup></p>
痕迹水,ST040057,2025-05-27 21:31:00,水含量,延化140万吨/年柴油精制装置,mg/kg
58.0,ST040057,2025-05-27 21:31:00,闪点(闭口),延化140万吨/年柴油精制装置,℃
-3,ST040057,2025-05-27 21:31:00,凝点,延化140万吨/年柴油精制装置,℃
366.3,ST040057,2025-05-27 21:31:00,95%回收温度,延化140万吨/年柴油精制装置,℃
164.9,ST040057,2025-05-27 21:31:00,初馏点,延化140万吨/年柴油精制装置,℃
202.1,ST040057,2025-05-27 21:31:00,10%回收温度,延化140万吨/年柴油精制装置,℃
268.0,ST040057,2025-05-27 21:31:00,50%回收温度,延化140万吨/年柴油精制装置,℃
346.0,ST040057,2025-05-27 21:31:00,90%回收温度,延化140万吨/年柴油精制装置,℃
0,ST040057,2025-05-27 21:31:00,冷滤点,延化140万吨/年柴油精制装置,℃
