result,sampleDotCode,unitName,sampleTime,resultName,deviceName
<1,ST040059,级,2025-05-01 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-05-15 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-05-29 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-06-05 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-06-12 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-06-19 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-06-26 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-07-10 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-07-17 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-07-24 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-07-31 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
162,ST040059,<p>mg/L</p>,2025-08-05 18:00:00,COD,延化140万吨/年柴油精制装置
23.70,ST040059,mg/L,2025-08-05 18:00:00,石油类,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-08-07 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-08-14 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-08-21 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
4.32,ST040059,<p>mg/L</p>,2025-09-11 08:30:00,CL-,延化140万吨/年柴油精制装置
0.10,ST040059,mg/L,2025-09-11 08:30:00,硫化物,延化140万吨/年柴油精制装置
0.03,ST040059,<p>mg/L</p>,2025-09-11 08:30:00,氨含量,延化140万吨/年柴油精制装置
6.44,ST040059,,2025-09-11 08:30:00,pH,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-09-25 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
120,ST040059,<p>mg/L</p>,2025-10-10 09:45:00,COD,延化140万吨/年柴油精制装置
130,ST040059,<p>mg/L</p>,2025-10-10 09:45:00,COD,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-10-30 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
/,ST040059,级,2025-11-06 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-11-13 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-11-20 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-11-27 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-12-04 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-12-11 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-12-18 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2025-12-25 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-01-08 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-01-15 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-01-22 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-02-05 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-02-12 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-02-19 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-02-26 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-03-05 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-03-19 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-03-26 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-04-02 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-04-09 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
20.99,ST040059,<p>mmol/L</p>,2026-04-15 17:00:00,碱度,延化140万吨/年柴油精制装置
0.26,ST040059,<p>mg/L</p>,2026-04-15 17:00:00,氨氮,延化140万吨/年柴油精制装置
8.81,ST040059,,2026-04-15 17:00:00,pH,延化140万吨/年柴油精制装置
20.64,ST040059,<p>mmol/L</p>,2026-04-15 17:03:00,碱度,延化140万吨/年柴油精制装置
8.83,ST040059,,2026-04-15 17:03:00,pH,延化140万吨/年柴油精制装置
0.39,ST040059,<p>mg/L</p>,2026-04-15 17:03:00,氨氮,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-04-16 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
16510.00,ST040059,mg/L,2026-04-17 08:30:00,硫化物,延化140万吨/年柴油精制装置
13630.00,ST040059,<p>mg/L</p>,2026-04-17 08:30:00,氨含量,延化140万吨/年柴油精制装置
15990.00,ST040059,mg/L,2026-04-18 08:00:00,硫化物,延化140万吨/年柴油精制装置
16354.00,ST040059,<p>mg/L</p>,2026-04-18 08:00:00,氨含量,延化140万吨/年柴油精制装置
6472.00,ST040059,mg/L,2026-04-19 09:00:00,硫化物,延化140万吨/年柴油精制装置
17850.00,ST040059,<p>mg/L</p>,2026-04-19 09:00:00,氨含量,延化140万吨/年柴油精制装置
12.14,ST040059,<p>mmol/L</p>,2026-04-21 10:00:00,碱度,延化140万吨/年柴油精制装置
12.14,ST040059,<p>mmol/L</p>,2026-04-21 10:00:00,碱度,延化140万吨/年柴油精制装置
8.64,ST040059,,2026-04-21 10:00:00,pH,延化140万吨/年柴油精制装置
9.26,ST040059,,2026-04-21 10:00:00,pH,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-04-23 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
<1,ST040059,级,2026-04-30 16:00:00,林格曼黑度,延化140万吨/年柴油精制装置
