result,sampleDotCode,unitName,sampleTime,resultName,deviceName
878.2,ST040040,<p>kg/m<sup>3</sup></p>,2025-05-07 08:00:00,密度ρ20,延化140万吨/年柴油精制装置
80.0,ST040040,℃,2025-05-07 08:00:00,闪点(闭口),延化140万吨/年柴油精制装置
366.1,ST040040,℃,2025-05-07 08:00:00,95%回收温度,延化140万吨/年柴油精制装置
351.4,ST040040,℃,2025-05-07 08:00:00,90%回收温度,延化140万吨/年柴油精制装置
284.0,ST040040,℃,2025-05-07 08:00:00,50%回收温度,延化140万吨/年柴油精制装置
229.1,ST040040,℃,2025-05-07 08:00:00,10%回收温度,延化140万吨/年柴油精制装置
4,ST040040,℃,2025-05-07 08:00:00,冷滤点,延化140万吨/年柴油精制装置
+1,ST040040,℃,2025-05-07 08:00:00,凝点,延化140万吨/年柴油精制装置
925.0,ST040040,<p>ppm</p>,2025-05-07 08:00:00,氮含量,延化140万吨/年柴油精制装置
41,ST040040,,2025-05-07 08:00:00,十六烷指数,延化140万吨/年柴油精制装置
痕迹水,ST040040,mg/kg,2025-05-07 08:00:00,水含量,延化140万吨/年柴油精制装置
996.00,ST040040,<p>ppm</p>,2025-05-07 08:00:00,硫含量,延化140万吨/年柴油精制装置
194.8,ST040040,℃,2025-05-07 08:00:00,初馏点,延化140万吨/年柴油精制装置
+2,ST040040,℃,2025-05-14 08:00:00,凝点,延化140万吨/年柴油精制装置
5,ST040040,℃,2025-05-14 08:00:00,冷滤点,延化140万吨/年柴油精制装置
痕迹水,ST040040,mg/kg,2025-05-14 08:00:00,水含量,延化140万吨/年柴油精制装置
40,ST040040,,2025-05-14 08:00:00,十六烷指数,延化140万吨/年柴油精制装置
350.7,ST040040,℃,2025-05-14 08:00:00,90%回收温度,延化140万吨/年柴油精制装置
282.9,ST040040,℃,2025-05-14 08:00:00,50%回收温度,延化140万吨/年柴油精制装置
226.3,ST040040,℃,2025-05-14 08:00:00,10%回收温度,延化140万吨/年柴油精制装置
190.0,ST040040,℃,2025-05-14 08:00:00,初馏点,延化140万吨/年柴油精制装置
364.9,ST040040,℃,2025-05-14 08:00:00,95%回收温度,延化140万吨/年柴油精制装置
79.0,ST040040,℃,2025-05-14 08:00:00,闪点(闭口),延化140万吨/年柴油精制装置
881.5,ST040040,<p>kg/m<sup>3</sup></p>,2025-05-14 08:00:00,密度ρ20,延化140万吨/年柴油精制装置
3,ST040040,℃,2025-05-21 08:00:00,冷滤点,延化140万吨/年柴油精制装置
0,ST040040,℃,2025-05-21 08:00:00,凝点,延化140万吨/年柴油精制装置
363.5,ST040040,℃,2025-05-21 08:00:00,95%回收温度,延化140万吨/年柴油精制装置
350.0,ST040040,℃,2025-05-21 08:00:00,90%回收温度,延化140万吨/年柴油精制装置
283.7,ST040040,℃,2025-05-21 08:00:00,50%回收温度,延化140万吨/年柴油精制装置
229.4,ST040040,℃,2025-05-21 08:00:00,10%回收温度,延化140万吨/年柴油精制装置
痕迹水,ST040040,mg/kg,2025-05-21 08:00:00,水含量,延化140万吨/年柴油精制装置
41,ST040040,,2025-05-21 08:00:00,十六烷指数,延化140万吨/年柴油精制装置
879.8,ST040040,<p>kg/m<sup>3</sup></p>,2025-05-21 08:00:00,密度ρ20,延化140万吨/年柴油精制装置
194.2,ST040040,℃,2025-05-21 08:00:00,初馏点,延化140万吨/年柴油精制装置
78.0,ST040040,℃,2025-05-21 08:00:00,闪点(闭口),延化140万吨/年柴油精制装置
882.3,ST040040,<p>kg/m<sup>3</sup></p>,2025-05-28 08:00:00,密度ρ20,延化140万吨/年柴油精制装置
4,ST040040,℃,2025-05-28 08:00:00,冷滤点,延化140万吨/年柴油精制装置
40,ST040040,,2025-05-28 08:00:00,十六烷指数,延化140万吨/年柴油精制装置
79.0,ST040040,℃,2025-05-28 08:00:00,闪点(闭口),延化140万吨/年柴油精制装置
359.1,ST040040,℃,2025-05-28 08:00:00,95%回收温度,延化140万吨/年柴油精制装置
+1,ST040040,℃,2025-05-28 08:00:00,凝点,延化140万吨/年柴油精制装置
231.4,ST040040,℃,2025-05-28 08:00:00,10%回收温度,延化140万吨/年柴油精制装置
197.9,ST040040,℃,2025-05-28 08:00:00,初馏点,延化140万吨/年柴油精制装置
346.3,ST040040,℃,2025-05-28 08:00:00,90%回收温度,延化140万吨/年柴油精制装置
痕迹水,ST040040,mg/kg,2025-05-28 08:00:00,水含量,延化140万吨/年柴油精制装置
282.7,ST040040,℃,2025-05-28 08:00:00,50%回收温度,延化140万吨/年柴油精制装置
1295.00,ST040040,<p>ppm</p>,2025-06-04 08:00:00,硫含量,延化140万吨/年柴油精制装置
39,ST040040,,2025-06-04 08:00:00,十六烷指数,延化140万吨/年柴油精制装置
78.0,ST040040,℃,2025-06-04 08:00:00,闪点(闭口),延化140万吨/年柴油精制装置
0,ST040040,℃,2025-06-04 08:00:00,凝点,延化140万吨/年柴油精制装置
4,ST040040,℃,2025-06-04 08:00:00,冷滤点,延化140万吨/年柴油精制装置
886.1,ST040040,<p>kg/m<sup>3</sup></p>,2025-06-04 08:00:00,密度ρ20,延化140万吨/年柴油精制装置
197.5,ST040040,℃,2025-06-04 08:00:00,初馏点,延化140万吨/年柴油精制装置
346.7,ST040040,℃,2025-06-04 08:00:00,90%回收温度,延化140万吨/年柴油精制装置
282.4,ST040040,℃,2025-06-04 08:00:00,50%回收温度,延化140万吨/年柴油精制装置
231.0,ST040040,℃,2025-06-04 08:00:00,10%回收温度,延化140万吨/年柴油精制装置
痕迹水,ST040040,mg/kg,2025-06-04 08:00:00,水含量,延化140万吨/年柴油精制装置
679.0,ST040040,<p>ppm</p>,2025-06-04 08:00:00,氮含量,延化140万吨/年柴油精制装置
359.5,ST040040,℃,2025-06-04 08:00:00,95%回收温度,延化140万吨/年柴油精制装置
347.3,ST040040,℃,2025-06-11 08:00:00,90%回收温度,延化140万吨/年柴油精制装置
283.3,ST040040,℃,2025-06-11 08:00:00,50%回收温度,延化140万吨/年柴油精制装置
231.7,ST040040,℃,2025-06-11 08:00:00,10%回收温度,延化140万吨/年柴油精制装置
197.8,ST040040,℃,2025-06-11 08:00:00,初馏点,延化140万吨/年柴油精制装置
痕迹水,ST040040,mg/kg,2025-06-11 08:00:00,水含量,延化140万吨/年柴油精制装置
39,ST040040,,2025-06-11 08:00:00,十六烷指数,延化140万吨/年柴油精制装置
885.7,ST040040,<p>kg/m<sup>3</sup></p>,2025-06-11 08:00:00,密度ρ20,延化140万吨/年柴油精制装置
76.0,ST040040,℃,2025-06-11 08:00:00,闪点(闭口),延化140万吨/年柴油精制装置
+1,ST040040,℃,2025-06-11 08:00:00,凝点,延化140万吨/年柴油精制装置
4,ST040040,℃,2025-06-11 08:00:00,冷滤点,延化140万吨/年柴油精制装置
360.0,ST040040,℃,2025-06-11 08:00:00,95%回收温度,延化140万吨/年柴油精制装置
40,ST040040,,2025-06-18 08:00:00,十六烷指数,延化140万吨/年柴油精制装置
360.2,ST040040,℃,2025-06-18 08:00:00,95%回收温度,延化140万吨/年柴油精制装置
347.5,ST040040,℃,2025-06-18 08:00:00,90%回收温度,延化140万吨/年柴油精制装置
282.5,ST040040,℃,2025-06-18 08:00:00,50%回收温度,延化140万吨/年柴油精制装置
229.9,ST040040,℃,2025-06-18 08:00:00,10%回收温度,延化140万吨/年柴油精制装置
3,ST040040,℃,2025-06-18 08:00:00,冷滤点,延化140万吨/年柴油精制装置
痕迹水,ST040040,mg/kg,2025-06-18 08:00:00,水含量,延化140万吨/年柴油精制装置
883.4,ST040040,<p>kg/m<sup>3</sup></p>,2025-06-18 08:00:00,密度ρ20,延化140万吨/年柴油精制装置
81.0,ST040040,℃,2025-06-18 08:00:00,闪点(闭口),延化140万吨/年柴油精制装置
0,ST040040,℃,2025-06-18 08:00:00,凝点,延化140万吨/年柴油精制装置
194.9,ST040040,℃,2025-06-18 08:00:00,初馏点,延化140万吨/年柴油精制装置
痕迹水,ST040040,mg/kg,2025-06-25 08:00:00,水含量,延化140万吨/年柴油精制装置
40,ST040040,,2025-06-25 08:00:00,十六烷指数,延化140万吨/年柴油精制装置
879.0,ST040040,<p>kg/m<sup>3</sup></p>,2025-06-25 08:00:00,密度ρ20,延化140万吨/年柴油精制装置
81.0,ST040040,℃,2025-06-25 08:00:00,闪点(闭口),延化140万吨/年柴油精制装置
+1,ST040040,℃,2025-06-25 08:00:00,凝点,延化140万吨/年柴油精制装置
4,ST040040,℃,2025-06-25 08:00:00,冷滤点,延化140万吨/年柴油精制装置
358.8,ST040040,℃,2025-06-25 08:00:00,95%回收温度,延化140万吨/年柴油精制装置
345.4,ST040040,℃,2025-06-25 08:00:00,90%回收温度,延化140万吨/年柴油精制装置
279.4,ST040040,℃,2025-06-25 08:00:00,50%回收温度,延化140万吨/年柴油精制装置
227.6,ST040040,℃,2025-06-25 08:00:00,10%回收温度,延化140万吨/年柴油精制装置
192.1,ST040040,℃,2025-06-25 08:00:00,初馏点,延化140万吨/年柴油精制装置
+1,ST040040,℃,2025-07-02 08:00:00,凝点,延化140万吨/年柴油精制装置
4,ST040040,℃,2025-07-02 08:00:00,冷滤点,延化140万吨/年柴油精制装置
360.2,ST040040,℃,2025-07-02 08:00:00,95%回收温度,延化140万吨/年柴油精制装置
347.1,ST040040,℃,2025-07-02 08:00:00,90%回收温度,延化140万吨/年柴油精制装置
280.3,ST040040,℃,2025-07-02 08:00:00,50%回收温度,延化140万吨/年柴油精制装置
228.9,ST040040,℃,2025-07-02 08:00:00,10%回收温度,延化140万吨/年柴油精制装置
195.3,ST040040,℃,2025-07-02 08:00:00,初馏点,延化140万吨/年柴油精制装置
痕迹水,ST040040,mg/kg,2025-07-02 08:00:00,水含量,延化140万吨/年柴油精制装置
40,ST040040,,2025-07-02 08:00:00,十六烷指数,延化140万吨/年柴油精制装置
879.7,ST040040,<p>kg/m<sup>3</sup></p>,2025-07-02 08:00:00,密度ρ20,延化140万吨/年柴油精制装置
82.0,ST040040,℃,2025-07-02 08:00:00,闪点(闭口),延化140万吨/年柴油精制装置
931.00,ST040040,<p>ppm</p>,2025-07-02 08:00:00,硫含量,延化140万吨/年柴油精制装置
1033.0,ST040040,<p>ppm</p>,2025-07-02 08:00:00,氮含量,延化140万吨/年柴油精制装置
78.0,ST040040,℃,2025-07-09 08:00:00,闪点(闭口),延化140万吨/年柴油精制装置
0,ST040040,℃,2025-07-09 08:00:00,凝点,延化140万吨/年柴油精制装置
3,ST040040,℃,2025-07-09 08:00:00,冷滤点,延化140万吨/年柴油精制装置
39,ST040040,,2025-07-09 08:00:00,十六烷指数,延化140万吨/年柴油精制装置
360.4,ST040040,℃,2025-07-09 08:00:00,95%回收温度,延化140万吨/年柴油精制装置
880.8,ST040040,<p>kg/m<sup>3</sup></p>,2025-07-09 08:00:00,密度ρ20,延化140万吨/年柴油精制装置
278.5,ST040040,℃,2025-07-09 08:00:00,50%回收温度,延化140万吨/年柴油精制装置
224.8,ST040040,℃,2025-07-09 08:00:00,10%回收温度,延化140万吨/年柴油精制装置
196.9,ST040040,℃,2025-07-09 08:00:00,初馏点,延化140万吨/年柴油精制装置
痕迹水,ST040040,mg/kg,2025-07-09 08:00:00,水含量,延化140万吨/年柴油精制装置
347.0,ST040040,℃,2025-07-09 08:00:00,90%回收温度,延化140万吨/年柴油精制装置
60.0,ST040040,℃,2025-07-16 08:00:00,闪点(闭口),延化140万吨/年柴油精制装置
+1,ST040040,℃,2025-07-16 08:00:00,凝点,延化140万吨/年柴油精制装置
4,ST040040,℃,2025-07-16 08:00:00,冷滤点,延化140万吨/年柴油精制装置
39,ST040040,,2025-07-16 08:00:00,十六烷指数,延化140万吨/年柴油精制装置
883.0,ST040040,<p>kg/m<sup>3</sup></p>,2025-07-16 08:00:00,密度ρ20,延化140万吨/年柴油精制装置
359.6,ST040040,℃,2025-07-16 08:00:00,95%回收温度,延化140万吨/年柴油精制装置
346.3,ST040040,℃,2025-07-16 08:00:00,90%回收温度,延化140万吨/年柴油精制装置
279.6,ST040040,℃,2025-07-16 08:00:00,50%回收温度,延化140万吨/年柴油精制装置
227.2,ST040040,℃,2025-07-16 08:00:00,10%回收温度,延化140万吨/年柴油精制装置
176.8,ST040040,℃,2025-07-16 08:00:00,初馏点,延化140万吨/年柴油精制装置
痕迹水,ST040040,mg/kg,2025-07-16 08:00:00,水含量,延化140万吨/年柴油精制装置
171.2,ST040040,℃,2025-07-23 08:00:00,初馏点,延化140万吨/年柴油精制装置
226.3,ST040040,℃,2025-07-23 08:00:00,10%回收温度,延化140万吨/年柴油精制装置
884.7,ST040040,<p>kg/m<sup>3</sup></p>,2025-07-23 08:00:00,密度ρ20,延化140万吨/年柴油精制装置
74.0,ST040040,℃,2025-07-23 08:00:00,闪点(闭口),延化140万吨/年柴油精制装置
痕迹水,ST040040,mg/kg,2025-07-23 08:00:00,水含量,延化140万吨/年柴油精制装置
38,ST040040,,2025-07-23 08:00:00,十六烷指数,延化140万吨/年柴油精制装置
