result,sampleDotCode,unitName,sampleTime,resultName,deviceName
3.00,ST040127,<p>ppm</p>,2025-05-01 08:00:00,硫含量,延化180万吨/年汽油精制装置
<0.5,ST040127,<p>mg/100mL</p>,2025-05-01 08:00:00,未洗胶质,延化180万吨/年汽油精制装置
1,ST040127,级,2025-05-01 08:00:00,铜片腐蚀(50℃，3h),延化180万吨/年汽油精制装置
63.2,ST040127,<p>kPa</p>,2025-05-01 08:00:00,饱和蒸汽压(X),延化180万吨/年汽油精制装置
24.0,ST040127,%（v/v) ,2025-05-01 08:00:00,烯烃含量,延化180万吨/年汽油精制装置
15.3,ST040127,%（v/v) ,2025-05-01 08:00:00,芳烃含量,延化180万吨/年汽油精制装置
60.7,ST040127,%（v/v) ,2025-05-01 08:00:00,烷烃含量,延化180万吨/年汽油精制装置
43.9,ST040127,℃,2025-05-01 08:00:00,10%平均蒸发温度T10%,延化180万吨/年汽油精制装置
715.6,ST040127,<p>kg/m<sup>3</sup></p>,2025-05-01 08:00:00,密度(20℃),延化180万吨/年汽油精制装置
45.00,ST040127,<p>gBr/100g</p>,2025-05-01 08:00:00,溴价 gBr/100g,延化180万吨/年汽油精制装置
36.3,ST040127,℃,2025-05-01 08:00:00,初馏点蒸发温度 TIBP,延化180万吨/年汽油精制装置
70.3,ST040127,℃,2025-05-01 08:00:00,50%平均蒸发温度T50%,延化180万吨/年汽油精制装置
0.8,ST040127,<p>%</p>,2025-05-01 08:00:00,平均残留百分数(B),延化180万吨/年汽油精制装置
149.9,ST040127,℃,2025-05-01 08:00:00,90%平均蒸发温度T90%,延化180万吨/年汽油精制装置
177.3,ST040127,℃,2025-05-01 08:00:00,终馏点蒸发温度TFBP,延化180万吨/年汽油精制装置
98.0,ST040127,<p>%</p>,2025-05-01 08:00:00,全馏,延化180万吨/年汽油精制装置
3.00,ST040127,<p>ppm</p>,2025-05-01 15:30:00,硫含量,延化180万吨/年汽油精制装置
2.00,ST040127,<p>ppm</p>,2025-05-01 20:00:00,硫含量,延化180万吨/年汽油精制装置
159.3,ST040127,℃,2025-05-02 08:00:00,90%平均蒸发温度T90%,延化180万吨/年汽油精制装置
