result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.20,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氧气,延化180万吨/年汽油精制装置
2.13,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳五(合计),延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,一氧化碳,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,二氧化碳,延化180万吨/年汽油精制装置
82.03,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氢气,延化180万吨/年汽油精制装置
3.43,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,甲烷,延化180万吨/年汽油精制装置
2.75,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烷,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烯,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烯,延化180万吨/年汽油精制装置
5.80,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳四(合计),延化180万吨/年汽油精制装置
1.97,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,异戊烷,延化180万吨/年汽油精制装置
0.16,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,正戊烷,延化180万吨/年汽油精制装置
3.17,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烷,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳五+其他,延化180万吨/年汽油精制装置
0.49,ST040126,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氮气,延化180万吨/年汽油精制装置
0.14,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,氧气,延化180万吨/年汽油精制装置
3.00,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,碳五(合计),延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,一氧化碳,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,二氧化碳,延化180万吨/年汽油精制装置
85.46,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,氢气,延化180万吨/年汽油精制装置
3.58,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,甲烷,延化180万吨/年汽油精制装置
0.85,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,丙烷,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,丙烯,延化180万吨/年汽油精制装置
0.06,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,乙烯,延化180万吨/年汽油精制装置
2.04,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,碳四(合计),延化180万吨/年汽油精制装置
2.72,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,异戊烷,延化180万吨/年汽油精制装置
0.28,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,正戊烷,延化180万吨/年汽油精制装置
3.40,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,乙烷,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,碳五+其他,延化180万吨/年汽油精制装置
1.47,ST040126,"<p>%(v/v)</p>
",2025-05-05 08:00:00,氮气,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,二氧化碳,延化180万吨/年汽油精制装置
1.91,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,碳五(合计),延化180万吨/年汽油精制装置
0.77,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氮气,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,一氧化碳,延化180万吨/年汽油精制装置
84.78,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氢气,延化180万吨/年汽油精制装置
3.42,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,甲烷,延化180万吨/年汽油精制装置
1.10,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,丙烷,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,丙烯,延化180万吨/年汽油精制装置
0.06,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,乙烯,延化180万吨/年汽油精制装置
3.46,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,乙烷,延化180万吨/年汽油精制装置
4.29,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,碳四(合计),延化180万吨/年汽油精制装置
1.63,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,异戊烷,延化180万吨/年汽油精制装置
0.28,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,正戊烷,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,碳五+其他,延化180万吨/年汽油精制装置
0.21,ST040126,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氧气,延化180万吨/年汽油精制装置
81.39,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,氢气,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,二氧化碳,延化180万吨/年汽油精制装置
3.35,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,丙烷,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,丙烯,延化180万吨/年汽油精制装置
0.07,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,乙烯,延化180万吨/年汽油精制装置
5.12,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,碳四(合计),延化180万吨/年汽油精制装置
1.01,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,异戊烷,延化180万吨/年汽油精制装置
0.12,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,正戊烷,延化180万吨/年汽油精制装置
3.85,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,乙烷,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,碳五+其他,延化180万吨/年汽油精制装置
1.13,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,碳五(合计),延化180万吨/年汽油精制装置
0.24,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,氧气,延化180万吨/年汽油精制装置
1.14,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,氮气,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,一氧化碳,延化180万吨/年汽油精制装置
3.71,ST040126,"<p>%(v/v)</p>
",2025-05-12 08:00:00,甲烷,延化180万吨/年汽油精制装置
81.82,ST040126,"<p>%(v/v)</p>
",2025-05-15 08:00:00,氢气,延化180万吨/年汽油精制装置
1.12,ST040126,"<p>%(v/v)</p>
",2025-05-15 08:00:00,碳五(合计),延化180万吨/年汽油精制装置
0.67,ST040126,"<p>%(v/v)</p>
",2025-05-15 08:00:00,氮气,延化180万吨/年汽油精制装置
0.00,ST040126,"<p>%(v/v)</p>
",2025-05-15 08:00:00,一氧化碳,延化180万吨/年汽油精制装置
