result,sampleDotCode,unitName,sampleTime,resultName,deviceName
37.2,ST040119,℃,2025-05-01 08:00:00,初馏点蒸发温度 TIBP,延化180万吨/年汽油精制装置
54.1,ST040119,%（v/v) ,2025-05-01 08:00:00,烷烃含量,延化180万吨/年汽油精制装置
73.8,ST040119,℃,2025-05-01 08:00:00,50%平均蒸发温度T50%,延化180万吨/年汽油精制装置
151.2,ST040119,℃,2025-05-01 08:00:00,90%平均蒸发温度T90%,延化180万吨/年汽油精制装置
179.1,ST040119,℃,2025-05-01 08:00:00,终馏点蒸发温度TFBP,延化180万吨/年汽油精制装置
98.0,ST040119,<p>%</p>,2025-05-01 08:00:00,全馏,延化180万吨/年汽油精制装置
0.8,ST040119,<p>%</p>,2025-05-01 08:00:00,平均残留百分数(B),延化180万吨/年汽油精制装置
717.4,ST040119,<p>kg/m<sup>3</sup></p>,2025-05-01 08:00:00,密度(20℃),延化180万吨/年汽油精制装置
54.00,ST040119,<p>gBr/100g</p>,2025-05-01 08:00:00,溴价 gBr/100g,延化180万吨/年汽油精制装置
44,ST040119,<p>ppm</p>,2025-05-01 08:00:00,水含量,延化180万吨/年汽油精制装置
109.00,ST040119,<p>ppm</p>,2025-05-01 08:00:00,硫含量,延化180万吨/年汽油精制装置
1,ST040119,<p>级</p>,2025-05-01 08:00:00,"铜片腐蚀(100℃,2h)",延化180万吨/年汽油精制装置
0.70,ST040119,<p>mg/100mL</p>,2025-05-01 08:00:00,未洗胶质,延化180万吨/年汽油精制装置
67.1,ST040119,<p>kPa</p>,2025-05-01 08:00:00,饱和蒸汽压(X),延化180万吨/年汽油精制装置
30.9,ST040119,%（v/v) ,2025-05-01 08:00:00,烯烃含量,延化180万吨/年汽油精制装置
14.9,ST040119,%（v/v) ,2025-05-01 08:00:00,芳烃含量,延化180万吨/年汽油精制装置
45.6,ST040119,℃,2025-05-01 08:00:00,10%平均蒸发温度T10%,延化180万吨/年汽油精制装置
88.00,ST040119,<p>ppm</p>,2025-05-02 08:00:00,硫含量,延化180万吨/年汽油精制装置
35.9,ST040119,℃,2025-05-02 08:00:00,初馏点蒸发温度 TIBP,延化180万吨/年汽油精制装置
48.4,ST040119,℃,2025-05-02 08:00:00,10%平均蒸发温度T10%,延化180万吨/年汽油精制装置
83.6,ST040119,℃,2025-05-02 08:00:00,50%平均蒸发温度T50%,延化180万吨/年汽油精制装置
159.5,ST040119,℃,2025-05-02 08:00:00,90%平均蒸发温度T90%,延化180万吨/年汽油精制装置
54.00,ST040119,<p>gBr/100g</p>,2025-05-02 08:00:00,溴价 gBr/100g,延化180万吨/年汽油精制装置
98.0,ST040119,<p>%</p>,2025-05-02 08:00:00,全馏,延化180万吨/年汽油精制装置
0.8,ST040119,<p>%</p>,2025-05-02 08:00:00,平均残留百分数(B),延化180万吨/年汽油精制装置
48,ST040119,<p>ppm</p>,2025-05-02 08:00:00,水含量,延化180万吨/年汽油精制装置
718.6,ST040119,<p>kg/m<sup>3</sup></p>,2025-05-02 08:00:00,密度(20℃),延化180万吨/年汽油精制装置
189.6,ST040119,℃,2025-05-02 08:00:00,终馏点蒸发温度TFBP,延化180万吨/年汽油精制装置
36.9,ST040119,℃,2025-05-03 08:00:00,初馏点蒸发温度 TIBP,延化180万吨/年汽油精制装置
717.8,ST040119,<p>kg/m<sup>3</sup></p>,2025-05-03 08:00:00,密度(20℃),延化180万吨/年汽油精制装置
56.00,ST040119,<p>gBr/100g</p>,2025-05-03 08:00:00,溴价 gBr/100g,延化180万吨/年汽油精制装置
45,ST040119,<p>ppm</p>,2025-05-03 08:00:00,水含量,延化180万吨/年汽油精制装置
44.0,ST040119,℃,2025-05-03 08:00:00,10%平均蒸发温度T10%,延化180万吨/年汽油精制装置
86.00,ST040119,<p>ppm</p>,2025-05-03 08:00:00,硫含量,延化180万吨/年汽油精制装置
150.7,ST040119,℃,2025-05-03 08:00:00,90%平均蒸发温度T90%,延化180万吨/年汽油精制装置
177.4,ST040119,℃,2025-05-03 08:00:00,终馏点蒸发温度TFBP,延化180万吨/年汽油精制装置
