result,sampleDotCode,unitName,sampleTime,resultName,deviceName
4.02,ST040122,<p>%(m/m)</p>,2025-05-07 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.78,ST040122,<p>%</p>,2025-05-07 08:00:00,硫含量,延化180万吨/年汽油精制装置
6.93,ST040122,<p>%</p>,2025-05-14 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.17,ST040122,<p>%(m/m)</p>,2025-05-14 08:00:00,碳含量,延化180万吨/年汽油精制装置
4.61,ST040122,<p>%(m/m)</p>,2025-05-21 08:00:00,碳含量,延化180万吨/年汽油精制装置
7.41,ST040122,<p>%</p>,2025-05-21 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.17,ST040122,<p>%(m/m)</p>,2025-05-28 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.69,ST040122,<p>%</p>,2025-05-28 08:00:00,硫含量,延化180万吨/年汽油精制装置
6.75,ST040122,<p>%</p>,2025-06-04 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.40,ST040122,<p>%(m/m)</p>,2025-06-04 08:00:00,碳含量,延化180万吨/年汽油精制装置
7.27,ST040122,<p>%</p>,2025-06-11 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.70,ST040122,<p>%(m/m)</p>,2025-06-11 08:00:00,碳含量,延化180万吨/年汽油精制装置
3.20,ST040122,<p>%(m/m)</p>,2025-06-18 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.55,ST040122,<p>%</p>,2025-06-18 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.74,ST040122,<p>%(m/m)</p>,2025-06-25 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.70,ST040122,<p>%</p>,2025-06-25 08:00:00,硫含量,延化180万吨/年汽油精制装置
8.30,ST040122,<p>%</p>,2025-07-02 08:00:00,硫含量,延化180万吨/年汽油精制装置
5.10,ST040122,<p>%(m/m)</p>,2025-07-02 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.49,ST040122,<p>%</p>,2025-07-09 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.04,ST040122,<p>%(m/m)</p>,2025-07-09 08:00:00,碳含量,延化180万吨/年汽油精制装置
5.31,ST040122,<p>%(m/m)</p>,2025-07-16 08:00:00,碳含量,延化180万吨/年汽油精制装置
8.99,ST040122,<p>%</p>,2025-07-16 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.17,ST040122,<p>%(m/m)</p>,2025-07-23 08:00:00,碳含量,延化180万吨/年汽油精制装置
7.07,ST040122,<p>%</p>,2025-07-23 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.95,ST040122,<p>%(m/m)</p>,2025-07-30 08:00:00,碳含量,延化180万吨/年汽油精制装置
7.92,ST040122,<p>%</p>,2025-07-30 08:00:00,硫含量,延化180万吨/年汽油精制装置
6.77,ST040122,<p>%</p>,2025-08-06 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.75,ST040122,<p>%(m/m)</p>,2025-08-06 08:00:00,碳含量,延化180万吨/年汽油精制装置
7.42,ST040122,<p>%</p>,2025-08-13 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.16,ST040122,<p>%(m/m)</p>,2025-08-13 08:00:00,碳含量,延化180万吨/年汽油精制装置
