result,sampleDotCode,unitName,sampleTime,resultName,deviceName
3.39,ST040123,<p>%(m/m)</p>,2025-05-07 08:00:00,碳含量,延化180万吨/年汽油精制装置
4.43,ST040123,<p>%</p>,2025-05-07 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.22,ST040123,<p>%(m/m)</p>,2025-05-14 08:00:00,碳含量,延化180万吨/年汽油精制装置
4.28,ST040123,<p>%</p>,2025-05-14 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.55,ST040123,<p>%(m/m)</p>,2025-05-21 08:00:00,碳含量,延化180万吨/年汽油精制装置
5.14,ST040123,<p>%</p>,2025-05-21 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.52,ST040123,<p>%</p>,2025-05-28 08:00:00,硫含量,延化180万吨/年汽油精制装置
2.52,ST040123,<p>%(m/m)</p>,2025-05-28 08:00:00,碳含量,延化180万吨/年汽油精制装置
2.72,ST040123,<p>%(m/m)</p>,2025-06-04 08:00:00,碳含量,延化180万吨/年汽油精制装置
4.89,ST040123,<p>%</p>,2025-06-04 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.83,ST040123,<p>%</p>,2025-06-11 08:00:00,硫含量,延化180万吨/年汽油精制装置
2.90,ST040123,<p>%(m/m)</p>,2025-06-11 08:00:00,碳含量,延化180万吨/年汽油精制装置
3.13,ST040123,<p>%(m/m)</p>,2025-06-18 08:00:00,碳含量,延化180万吨/年汽油精制装置
5.29,ST040123,<p>%</p>,2025-06-18 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.26,ST040123,<p>%(m/m)</p>,2025-06-25 08:00:00,碳含量,延化180万吨/年汽油精制装置
5.50,ST040123,<p>%</p>,2025-06-25 08:00:00,硫含量,延化180万吨/年汽油精制装置
5.04,ST040123,<p>%</p>,2025-07-02 08:00:00,硫含量,延化180万吨/年汽油精制装置
2.87,ST040123,<p>%(m/m)</p>,2025-07-02 08:00:00,碳含量,延化180万吨/年汽油精制装置
3.01,ST040123,<p>%(m/m)</p>,2025-07-09 08:00:00,碳含量,延化180万吨/年汽油精制装置
4.34,ST040123,<p>%</p>,2025-07-09 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.73,ST040123,<p>%(m/m)</p>,2025-07-16 08:00:00,碳含量,延化180万吨/年汽油精制装置
8.02,ST040123,<p>%</p>,2025-07-16 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.19,ST040123,<p>%(m/m)</p>,2025-07-23 08:00:00,碳含量,延化180万吨/年汽油精制装置
5.43,ST040123,<p>%</p>,2025-07-23 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.20,ST040123,<p>%(m/m)</p>,2025-07-30 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.35,ST040123,<p>%</p>,2025-07-30 08:00:00,硫含量,延化180万吨/年汽油精制装置
2.55,ST040123,<p>%(m/m)</p>,2025-08-06 08:00:00,碳含量,延化180万吨/年汽油精制装置
4.73,ST040123,<p>%</p>,2025-08-06 08:00:00,硫含量,延化180万吨/年汽油精制装置
5.91,ST040123,<p>%</p>,2025-08-13 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.51,ST040123,<p>%(m/m)</p>,2025-08-13 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.35,ST040123,<p>%</p>,2025-08-20 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.00,ST040123,<p>%(m/m)</p>,2025-08-20 08:00:00,碳含量,延化180万吨/年汽油精制装置
3.16,ST040123,<p>%(m/m)</p>,2025-08-27 08:00:00,碳含量,延化180万吨/年汽油精制装置
5.13,ST040123,<p>%</p>,2025-08-27 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.16,ST040123,<p>%(m/m)</p>,2025-09-03 08:00:00,碳含量,延化180万吨/年汽油精制装置
5.59,ST040123,<p>%</p>,2025-09-03 08:00:00,硫含量,延化180万吨/年汽油精制装置
5.30,ST040123,<p>%</p>,2025-09-10 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.16,ST040123,<p>%(m/m)</p>,2025-09-10 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.18,ST040123,<p>%</p>,2025-09-17 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.52,ST040123,<p>%(m/m)</p>,2025-09-17 08:00:00,碳含量,延化180万吨/年汽油精制装置
2.93,ST040123,<p>%(m/m)</p>,2025-09-24 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.78,ST040123,<p>%</p>,2025-09-24 08:00:00,硫含量,延化180万吨/年汽油精制装置
5.86,ST040123,<p>%</p>,2025-10-01 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.25,ST040123,<p>%(m/m)</p>,2025-10-01 08:00:00,碳含量,延化180万吨/年汽油精制装置
10.25,ST040123,<p>%</p>,2025-10-08 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.59,ST040123,<p>%(m/m)</p>,2025-10-08 08:00:00,碳含量,延化180万吨/年汽油精制装置
2.86,ST040123,<p>%(m/m)</p>,2025-10-15 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.62,ST040123,<p>%</p>,2025-10-15 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.24,ST040123,<p>%(m/m)</p>,2025-10-22 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.37,ST040123,<p>%</p>,2025-10-22 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.75,ST040123,<p>%(m/m)</p>,2025-10-29 08:00:00,碳含量,延化180万吨/年汽油精制装置
7.92,ST040123,<p>%</p>,2025-10-29 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.60,ST040123,<p>%(m/m)</p>,2025-11-05 08:00:00,碳含量,延化180万吨/年汽油精制装置
7.80,ST040123,<p>%</p>,2025-11-05 08:00:00,硫含量,延化180万吨/年汽油精制装置
7.15,ST040123,<p>%</p>,2025-11-12 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.94,ST040123,<p>%(m/m)</p>,2025-11-12 08:00:00,碳含量,延化180万吨/年汽油精制装置
3.72,ST040123,<p>%(m/m)</p>,2025-11-19 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.75,ST040123,<p>%</p>,2025-11-19 08:00:00,硫含量,延化180万吨/年汽油精制装置
7.65,ST040123,<p>%</p>,2025-11-26 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.12,ST040123,<p>%(m/m)</p>,2025-11-26 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.96,ST040123,<p>%</p>,2025-12-03 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.84,ST040123,<p>%(m/m)</p>,2025-12-03 08:00:00,碳含量,延化180万吨/年汽油精制装置
8.11,ST040123,<p>%</p>,2025-12-10 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.96,ST040123,<p>%(m/m)</p>,2025-12-10 08:00:00,碳含量,延化180万吨/年汽油精制装置
3.97,ST040123,<p>%(m/m)</p>,2025-12-17 08:00:00,碳含量,延化180万吨/年汽油精制装置
7.28,ST040123,<p>%</p>,2025-12-17 08:00:00,硫含量,延化180万吨/年汽油精制装置
6.04,ST040123,<p>%(m/m)</p>,2025-12-24 08:00:00,碳含量,延化180万吨/年汽油精制装置
10.12,ST040123,<p>%</p>,2025-12-24 08:00:00,硫含量,延化180万吨/年汽油精制装置
8.78,ST040123,<p>%</p>,2025-12-31 08:00:00,硫含量,延化180万吨/年汽油精制装置
4.87,ST040123,<p>%(m/m)</p>,2025-12-31 08:00:00,碳含量,延化180万吨/年汽油精制装置
4.72,ST040123,<p>%(m/m)</p>,2026-01-07 08:00:00,碳含量,延化180万吨/年汽油精制装置
7.82,ST040123,<p>%</p>,2026-01-07 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.03,ST040123,<p>%(m/m)</p>,2026-01-14 08:00:00,碳含量,延化180万吨/年汽油精制装置
5.45,ST040123,<p>%</p>,2026-01-14 08:00:00,硫含量,延化180万吨/年汽油精制装置
2.92,ST040123,<p>%(m/m)</p>,2026-01-21 08:00:00,碳含量,延化180万吨/年汽油精制装置
4.96,ST040123,<p>%</p>,2026-01-21 08:00:00,硫含量,延化180万吨/年汽油精制装置
2.73,ST040123,<p>%(m/m)</p>,2026-01-28 08:00:00,碳含量,延化180万吨/年汽油精制装置
5.11,ST040123,<p>%</p>,2026-01-28 08:00:00,硫含量,延化180万吨/年汽油精制装置
5.65,ST040123,<p>%</p>,2026-02-04 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.16,ST040123,<p>%(m/m)</p>,2026-02-04 08:00:00,碳含量,延化180万吨/年汽油精制装置
6.26,ST040123,<p>%</p>,2026-02-11 08:00:00,硫含量,延化180万吨/年汽油精制装置
3.74,ST040123,<p>%(m/m)</p>,2026-02-11 08:00:00,碳含量,延化180万吨/年汽油精制装置
2.59,ST040123,<p>%(m/m)</p>,2026-02-18 08:00:00,碳含量,延化180万吨/年汽油精制装置
4.95,ST040123,<p>%</p>,2026-02-18 08:00:00,硫含量,延化180万吨/年汽油精制装置
2.42,ST040123,<p>%(m/m)</p>,2026-02-25 08:00:00,碳含量,延化180万吨/年汽油精制装置
4.59,ST040123,<p>%</p>,2026-02-25 08:00:00,硫含量,延化180万吨/年汽油精制装置
2.01,ST040123,<p>%(m/m)</p>,2026-03-04 08:00:00,碳含量,延化180万吨/年汽油精制装置
4.24,ST040123,<p>%</p>,2026-03-04 08:00:00,硫含量,延化180万吨/年汽油精制装置
1.93,ST040123,<p>%(m/m)</p>,2026-03-11 08:00:00,碳含量,延化180万吨/年汽油精制装置
3.90,ST040123,<p>%</p>,2026-03-11 08:00:00,硫含量,延化180万吨/年汽油精制装置
1.61,ST040123,<p>%(m/m)</p>,2026-03-18 08:00:00,碳含量,延化180万吨/年汽油精制装置
3.68,ST040123,<p>%</p>,2026-03-18 08:00:00,硫含量,延化180万吨/年汽油精制装置
1.68,ST040123,<p>%(m/m)</p>,2026-03-25 08:00:00,碳含量,延化180万吨/年汽油精制装置
3.67,ST040123,<p>%</p>,2026-03-25 08:00:00,硫含量,延化180万吨/年汽油精制装置
