result,sampleDotCode,unitName,sampleTime,resultName,deviceName
94.4,ST040121,"<p>%(v/v)</p>
",2025-05-02 08:00:00,氢含量,延化180万吨/年汽油精制装置
95.8,ST040121,"<p>%(v/v)</p>
",2025-05-05 08:00:00,氢含量,延化180万吨/年汽油精制装置
94.0,ST040121,"<p>%(v/v)</p>
",2025-05-07 08:00:00,氢含量,延化180万吨/年汽油精制装置
94.0,ST040121,"<p>%(v/v)</p>
",2025-05-09 08:00:00,氢含量,延化180万吨/年汽油精制装置
93.0,ST040121,"<p>%(v/v)</p>
",2025-05-12 08:00:00,氢含量,延化180万吨/年汽油精制装置
93.6,ST040121,"<p>%(v/v)</p>
",2025-05-14 08:00:00,氢含量,延化180万吨/年汽油精制装置
95.2,ST040121,"<p>%(v/v)</p>
",2025-05-16 08:00:00,氢含量,延化180万吨/年汽油精制装置
93.9,ST040121,"<p>%(v/v)</p>
",2025-05-19 08:00:00,氢含量,延化180万吨/年汽油精制装置
90.2,ST040121,"<p>%(v/v)</p>
",2025-05-21 08:00:00,氢含量,延化180万吨/年汽油精制装置
96.8,ST040121,"<p>%(v/v)</p>
",2025-05-23 08:00:00,氢含量,延化180万吨/年汽油精制装置
93.2,ST040121,"<p>%(v/v)</p>
",2025-05-26 08:00:00,氢含量,延化180万吨/年汽油精制装置
93.9,ST040121,"<p>%(v/v)</p>
",2025-05-28 08:00:00,氢含量,延化180万吨/年汽油精制装置
96.8,ST040121,"<p>%(v/v)</p>
",2025-05-30 08:00:00,氢含量,延化180万吨/年汽油精制装置
94.8,ST040121,"<p>%(v/v)</p>
",2025-06-02 08:00:00,氢含量,延化180万吨/年汽油精制装置
94.9,ST040121,"<p>%(v/v)</p>
",2025-06-04 08:00:00,氢含量,延化180万吨/年汽油精制装置
95.1,ST040121,"<p>%(v/v)</p>
",2025-06-06 08:00:00,氢含量,延化180万吨/年汽油精制装置
95.2,ST040121,"<p>%(v/v)</p>
",2025-06-09 08:00:00,氢含量,延化180万吨/年汽油精制装置
95.2,ST040121,"<p>%(v/v)</p>
",2025-06-11 08:00:00,氢含量,延化180万吨/年汽油精制装置
96.8,ST040121,"<p>%(v/v)</p>
",2025-06-13 08:00:00,氢含量,延化180万吨/年汽油精制装置
94.8,ST040121,"<p>%(v/v)</p>
",2025-06-16 08:00:00,氢含量,延化180万吨/年汽油精制装置
96.4,ST040121,"<p>%(v/v)</p>
",2025-06-18 08:00:00,氢含量,延化180万吨/年汽油精制装置
93.1,ST040121,"<p>%(v/v)</p>
",2025-06-20 08:00:00,氢含量,延化180万吨/年汽油精制装置
93.8,ST040121,"<p>%(v/v)</p>
",2025-06-23 08:00:00,氢含量,延化180万吨/年汽油精制装置
94.1,ST040121,"<p>%(v/v)</p>
",2025-06-25 08:00:00,氢含量,延化180万吨/年汽油精制装置
91.8,ST040121,"<p>%(v/v)</p>
",2025-06-27 08:00:00,氢含量,延化180万吨/年汽油精制装置
93.5,ST040121,"<p>%(v/v)</p>
",2025-06-30 08:00:00,氢含量,延化180万吨/年汽油精制装置
92.2,ST040121,"<p>%(v/v)</p>
",2025-07-02 08:00:00,氢含量,延化180万吨/年汽油精制装置
95.0,ST040121,"<p>%(v/v)</p>
",2025-07-04 08:00:00,氢含量,延化180万吨/年汽油精制装置
93.7,ST040121,"<p>%(v/v)</p>
",2025-07-07 08:00:00,氢含量,延化180万吨/年汽油精制装置
93.9,ST040121,"<p>%(v/v)</p>
",2025-07-09 08:00:00,氢含量,延化180万吨/年汽油精制装置
94.8,ST040121,"<p>%(v/v)</p>
",2025-07-11 08:00:00,氢含量,延化180万吨/年汽油精制装置
91.2,ST040121,"<p>%(v/v)</p>
",2025-07-14 08:00:00,氢含量,延化180万吨/年汽油精制装置
93.5,ST040121,"<p>%(v/v)</p>
",2025-07-16 08:00:00,氢含量,延化180万吨/年汽油精制装置
96.8,ST040121,"<p>%(v/v)</p>
",2025-07-18 08:00:00,氢含量,延化180万吨/年汽油精制装置
96.7,ST040121,"<p>%(v/v)</p>
",2025-07-21 08:00:00,氢含量,延化180万吨/年汽油精制装置
96.0,ST040121,"<p>%(v/v)</p>
",2025-07-23 08:00:00,氢含量,延化180万吨/年汽油精制装置
95.4,ST040121,"<p>%(v/v)</p>
",2025-07-25 08:00:00,氢含量,延化180万吨/年汽油精制装置
95.9,ST040121,"<p>%(v/v)</p>
",2025-07-28 08:00:00,氢含量,延化180万吨/年汽油精制装置
