result,sampleDotCode,sampleTime,resultName,deviceName
87.6,ST040129,2025-05-05 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.8,ST040129,2025-05-12 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
89.0,ST040129,2025-05-26 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.2,ST040129,2025-06-16 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.4,ST040129,2025-06-23 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.2,ST040129,2025-07-14 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.4,ST040129,2025-07-21 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.1,ST040129,2025-07-28 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.8,ST040129,2025-08-04 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.6,ST040129,2025-08-11 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.6,ST040129,2025-08-18 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.8,ST040129,2025-08-25 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.5,ST040129,2025-09-08 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.6,ST040129,2025-09-15 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.8,ST040129,2025-09-22 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.5,ST040129,2025-09-29 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.7,ST040129,2025-10-06 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.0,ST040129,2025-10-13 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.6,ST040129,2025-10-20 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.6,ST040129,2025-10-27 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.1,ST040129,2025-11-03 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
89.6,ST040129,2025-11-17 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
89.2,ST040129,2025-11-24 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.9,ST040129,2025-12-01 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.4,ST040129,2025-12-08 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.2,ST040129,2025-12-15 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.6,ST040129,2025-12-22 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
87.9,ST040129,2025-12-29 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.2,ST040129,2026-01-05 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
89.5,ST040129,2026-01-19 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.8,ST040129,2026-02-02 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.6,ST040129,2026-02-09 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.8,ST040129,2026-02-16 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.6,ST040129,2026-02-23 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.6,ST040129,2026-03-02 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.2,ST040129,2026-03-09 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.4,ST040129,2026-03-16 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.5,ST040129,2026-03-23 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.0,ST040129,2026-03-30 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.8,ST040129,2026-04-13 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.8,ST040129,2026-04-20 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
88.5,ST040129,2026-04-27 08:00:00,研究法辛烷值(RON),延化180万吨/年汽油精制装置
