result,sampleDotCode,unitName,sampleTime,resultName,deviceName
350.00,ST040130,<p>ppm</p>,2025-05-01 08:00:00,硫含量,延化240万吨/年柴油精制装置
814.2,ST040130,<p>kg/m<sup>3</sup></p>,2025-05-01 08:00:00,密度ρ20,延化240万吨/年柴油精制装置
162.0,ST040130,℃,2025-05-01 08:00:00,初馏点,延化240万吨/年柴油精制装置
189.5,ST040130,℃,2025-05-01 08:00:00,10%回收温度,延化240万吨/年柴油精制装置
257.0,ST040130,℃,2025-05-01 08:00:00,50%回收温度,延化240万吨/年柴油精制装置
56,ST040130,,2025-05-01 08:00:00,十六烷指数,延化240万吨/年柴油精制装置
364.5,ST040130,℃,2025-05-01 08:00:00,95%回收温度,延化240万吨/年柴油精制装置
4,ST040130,℃,2025-05-01 08:00:00,冷滤点,延化240万吨/年柴油精制装置
60.0,ST040130,℃,2025-05-01 08:00:00,闪点(闭口),延化240万吨/年柴油精制装置
+1,ST040130,℃,2025-05-01 08:00:00,凝点,延化240万吨/年柴油精制装置
345.0,ST040130,℃,2025-05-01 08:00:00,90%回收温度,延化240万吨/年柴油精制装置
814.3,ST040130,<p>kg/m<sup>3</sup></p>,2025-05-02 08:00:00,密度ρ20,延化240万吨/年柴油精制装置
+2,ST040130,℃,2025-05-02 08:00:00,凝点,延化240万吨/年柴油精制装置
163.0,ST040130,℃,2025-05-02 08:00:00,初馏点,延化240万吨/年柴油精制装置
352.00,ST040130,<p>ppm</p>,2025-05-02 08:00:00,硫含量,延化240万吨/年柴油精制装置
259.5,ST040130,℃,2025-05-02 08:00:00,50%回收温度,延化240万吨/年柴油精制装置
349.1,ST040130,℃,2025-05-02 08:00:00,90%回收温度,延化240万吨/年柴油精制装置
363.5,ST040130,℃,2025-05-02 08:00:00,95%回收温度,延化240万吨/年柴油精制装置
190.0,ST040130,℃,2025-05-02 08:00:00,10%回收温度,延化240万吨/年柴油精制装置
167.0,ST040130,℃,2025-05-03 08:00:00,初馏点,延化240万吨/年柴油精制装置
359.0,ST040130,℃,2025-05-03 08:00:00,95%回收温度,延化240万吨/年柴油精制装置
344.0,ST040130,℃,2025-05-03 08:00:00,90%回收温度,延化240万吨/年柴油精制装置
355.00,ST040130,<p>ppm</p>,2025-05-03 08:00:00,硫含量,延化240万吨/年柴油精制装置
202.0,ST040130,℃,2025-05-03 08:00:00,10%回收温度,延化240万吨/年柴油精制装置
+2,ST040130,℃,2025-05-03 08:00:00,凝点,延化240万吨/年柴油精制装置
814.0,ST040130,<p>kg/m<sup>3</sup></p>,2025-05-03 08:00:00,密度ρ20,延化240万吨/年柴油精制装置
257.0,ST040130,℃,2025-05-03 08:00:00,50%回收温度,延化240万吨/年柴油精制装置
329.00,ST040130,<p>ppm</p>,2025-05-04 08:00:00,硫含量,延化240万吨/年柴油精制装置
163.0,ST040130,℃,2025-05-04 08:00:00,初馏点,延化240万吨/年柴油精制装置
189.5,ST040130,℃,2025-05-04 08:00:00,10%回收温度,延化240万吨/年柴油精制装置
812.5,ST040130,<p>kg/m<sup>3</sup></p>,2025-05-04 08:00:00,密度ρ20,延化240万吨/年柴油精制装置
349.5,ST040130,℃,2025-05-04 08:00:00,90%回收温度,延化240万吨/年柴油精制装置
362.5,ST040130,℃,2025-05-04 08:00:00,95%回收温度,延化240万吨/年柴油精制装置
+3,ST040130,℃,2025-05-04 08:00:00,凝点,延化240万吨/年柴油精制装置
257.0,ST040130,℃,2025-05-04 08:00:00,50%回收温度,延化240万吨/年柴油精制装置
814.4,ST040130,<p>kg/m<sup>3</sup></p>,2025-05-05 08:00:00,密度ρ20,延化240万吨/年柴油精制装置
164.0,ST040130,℃,2025-05-05 08:00:00,初馏点,延化240万吨/年柴油精制装置
196.5,ST040130,℃,2025-05-05 08:00:00,10%回收温度,延化240万吨/年柴油精制装置
334.00,ST040130,<p>ppm</p>,2025-05-05 08:00:00,硫含量,延化240万吨/年柴油精制装置
346.5,ST040130,℃,2025-05-05 08:00:00,90%回收温度,延化240万吨/年柴油精制装置
365.5,ST040130,℃,2025-05-05 08:00:00,95%回收温度,延化240万吨/年柴油精制装置
+3,ST040130,℃,2025-05-05 08:00:00,凝点,延化240万吨/年柴油精制装置
259.0,ST040130,℃,2025-05-05 08:00:00,50%回收温度,延化240万吨/年柴油精制装置
332.00,ST040130,<p>ppm</p>,2025-05-06 08:00:00,硫含量,延化240万吨/年柴油精制装置
813.6,ST040130,<p>kg/m<sup>3</sup></p>,2025-05-06 08:00:00,密度ρ20,延化240万吨/年柴油精制装置
+3,ST040130,℃,2025-05-06 08:00:00,凝点,延化240万吨/年柴油精制装置
164.0,ST040130,℃,2025-05-06 08:00:00,初馏点,延化240万吨/年柴油精制装置
338.5,ST040130,℃,2025-05-06 08:00:00,90%回收温度,延化240万吨/年柴油精制装置
256.0,ST040130,℃,2025-05-06 08:00:00,50%回收温度,延化240万吨/年柴油精制装置
196.0,ST040130,℃,2025-05-06 08:00:00,10%回收温度,延化240万吨/年柴油精制装置
353.5,ST040130,℃,2025-05-06 08:00:00,95%回收温度,延化240万吨/年柴油精制装置
340.0,ST040130,℃,2025-05-07 08:00:00,90%回收温度,延化240万吨/年柴油精制装置
256.0,ST040130,℃,2025-05-07 08:00:00,50%回收温度,延化240万吨/年柴油精制装置
195.0,ST040130,℃,2025-05-07 08:00:00,10%回收温度,延化240万吨/年柴油精制装置
+2,ST040130,℃,2025-05-07 08:00:00,凝点,延化240万吨/年柴油精制装置
811.1,ST040130,<p>kg/m<sup>3</sup></p>,2025-05-07 08:00:00,密度ρ20,延化240万吨/年柴油精制装置
163.0,ST040130,℃,2025-05-07 08:00:00,初馏点,延化240万吨/年柴油精制装置
358.0,ST040130,℃,2025-05-07 08:00:00,95%回收温度,延化240万吨/年柴油精制装置
327.00,ST040130,<p>ppm</p>,2025-05-07 08:00:00,硫含量,延化240万吨/年柴油精制装置
159.0,ST040130,℃,2025-05-07 14:32:00,初馏点,延化240万吨/年柴油精制装置
+2,ST040130,℃,2025-05-07 14:32:00,凝点,延化240万吨/年柴油精制装置
811.0,ST040130,<p>kg/m<sup>3</sup></p>,2025-05-07 14:32:00,密度ρ20,延化240万吨/年柴油精制装置
189.0,ST040130,℃,2025-05-07 14:32:00,10%回收温度,延化240万吨/年柴油精制装置
