result,sampleDotCode,unitName,sampleTime,resultName,deviceName
3.00,ST040132,<p>ppm</p>,2025-05-01 08:00:00,硫含量,延化240万吨/年柴油精制装置
750.1,ST040132,<p>kg/m<sup>3</sup></p>,2025-05-01 08:00:00,密度ρ20,延化240万吨/年柴油精制装置
167.5,ST040132,℃,2025-05-01 08:00:00,终馏点蒸发温度TFBP,延化240万吨/年柴油精制装置
98.4,ST040132,<p>%</p>,2025-05-01 08:00:00,全馏,延化240万吨/年柴油精制装置
124.0,ST040132,℃,2025-05-01 08:00:00,50%平均蒸发温度T50%,延化240万吨/年柴油精制装置
95.5,ST040132,℃,2025-05-01 08:00:00,10%平均蒸发温度T10%,延化240万吨/年柴油精制装置
53.5,ST040132,℃,2025-05-01 08:00:00,初馏点蒸发温度 TIBP,延化240万吨/年柴油精制装置
145.5,ST040132,℃,2025-05-01 08:00:00,90%平均蒸发温度T90%,延化240万吨/年柴油精制装置
168.5,ST040132,℃,2025-05-02 08:00:00,终馏点蒸发温度TFBP,延化240万吨/年柴油精制装置
149.0,ST040132,℃,2025-05-02 08:00:00,90%平均蒸发温度T90%,延化240万吨/年柴油精制装置
127.5,ST040132,℃,2025-05-02 08:00:00,50%平均蒸发温度T50%,延化240万吨/年柴油精制装置
3.00,ST040132,<p>ppm</p>,2025-05-02 08:00:00,硫含量,延化240万吨/年柴油精制装置
55.5,ST040132,℃,2025-05-02 08:00:00,初馏点蒸发温度 TIBP,延化240万吨/年柴油精制装置
98.4,ST040132,<p>%</p>,2025-05-02 08:00:00,全馏,延化240万吨/年柴油精制装置
98.0,ST040132,℃,2025-05-02 08:00:00,10%平均蒸发温度T10%,延化240万吨/年柴油精制装置
167.5,ST040132,℃,2025-05-03 08:00:00,终馏点蒸发温度TFBP,延化240万吨/年柴油精制装置
144.5,ST040132,℃,2025-05-03 08:00:00,90%平均蒸发温度T90%,延化240万吨/年柴油精制装置
125.0,ST040132,℃,2025-05-03 08:00:00,50%平均蒸发温度T50%,延化240万吨/年柴油精制装置
3.00,ST040132,<p>ppm</p>,2025-05-03 08:00:00,硫含量,延化240万吨/年柴油精制装置
