result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.68,ST040290,<p>ms/cm</p>,2025-07-08 19:00:00,电导率,延化240万吨/年柴油精制装置
172.74,ST040290,<p>mg/L</p>,2025-07-08 19:00:00,硫酸根离子,延化240万吨/年柴油精制装置
62.42,ST040290,<p>mg/L</p>,2025-07-08 19:00:00,氯离子,延化240万吨/年柴油精制装置
235.16,ST040290,<p>mg/L</p>,2025-07-08 19:00:00,硫酸根和氯离子,延化240万吨/年柴油精制装置
21.74,ST040290,<p>mmol/L</p>,2026-04-15 11:19:00,碱度,延化240万吨/年柴油精制装置
9.18,ST040290,,2026-04-15 11:19:00,pH,延化240万吨/年柴油精制装置
9.15,ST040290,,2026-04-15 11:27:00,pH,延化240万吨/年柴油精制装置
20.74,ST040290,<p>mmol/L</p>,2026-04-15 11:27:00,碱度,延化240万吨/年柴油精制装置
21.52,ST040290,<p>mmol/L</p>,2026-04-15 11:29:00,碱度,延化240万吨/年柴油精制装置
9.14,ST040290,,2026-04-15 11:29:00,pH,延化240万吨/年柴油精制装置
21.38,ST040290,<p>mmol/L</p>,2026-04-15 11:31:00,碱度,延化240万吨/年柴油精制装置
9.15,ST040290,,2026-04-15 11:31:00,pH,延化240万吨/年柴油精制装置
55,ST040290,<p>mg/L</p>,2026-04-21 10:00:00,COD,延化240万吨/年柴油精制装置
8.82,ST040290,<p>mmol/L</p>,2026-04-21 10:00:00,碱度,延化240万吨/年柴油精制装置
9.20,ST040290,,2026-04-21 10:00:00,pH,延化240万吨/年柴油精制装置
11.63,ST040290,<p>mmol/L</p>,2026-04-21 10:00:00,碱度,延化240万吨/年柴油精制装置
43,ST040290,<p>mg/L</p>,2026-04-21 10:00:00,COD,延化240万吨/年柴油精制装置
9.18,ST040290,,2026-04-21 10:00:00,pH,延化240万吨/年柴油精制装置
