result,sampleDotCode,unitName,sampleTime,resultName,deviceName
1.10,ST040134,<p>mg/L</p>,2025-05-05 08:00:00,氨氮,延化240万吨/年柴油精制装置
189,ST040134,<p>mg/L</p>,2025-05-05 08:00:00,COD,延化240万吨/年柴油精制装置
7.32,ST040134,,2025-05-05 08:00:00,pH,延化240万吨/年柴油精制装置
24.48,ST040134,mg/L,2025-05-05 08:00:00,石油类,延化240万吨/年柴油精制装置
0.62,ST040134,<p>mg/L</p>,2025-05-12 08:00:00,氨氮,延化240万吨/年柴油精制装置
35.77,ST040134,mg/L,2025-05-12 08:00:00,石油类,延化240万吨/年柴油精制装置
6.64,ST040134,,2025-05-12 08:00:00,pH,延化240万吨/年柴油精制装置
80,ST040134,<p>mg/L</p>,2025-05-12 08:00:00,COD,延化240万吨/年柴油精制装置
8.02,ST040134,,2025-05-19 08:00:00,pH,延化240万吨/年柴油精制装置
32.78,ST040134,mg/L,2025-05-19 08:00:00,石油类,延化240万吨/年柴油精制装置
69,ST040134,<p>mg/L</p>,2025-05-19 08:00:00,COD,延化240万吨/年柴油精制装置
0.33,ST040134,<p>mg/L</p>,2025-05-19 08:00:00,氨氮,延化240万吨/年柴油精制装置
6.81,ST040134,,2025-05-26 08:00:00,pH,延化240万吨/年柴油精制装置
25.90,ST040134,mg/L,2025-05-26 08:00:00,石油类,延化240万吨/年柴油精制装置
0.47,ST040134,<p>mg/L</p>,2025-05-26 08:00:00,氨氮,延化240万吨/年柴油精制装置
45,ST040134,<p>mg/L</p>,2025-05-26 08:00:00,COD,延化240万吨/年柴油精制装置
7.17,ST040134,,2025-06-02 08:00:00,pH,延化240万吨/年柴油精制装置
15.30,ST040134,mg/L,2025-06-02 08:00:00,石油类,延化240万吨/年柴油精制装置
49,ST040134,<p>mg/L</p>,2025-06-02 08:00:00,COD,延化240万吨/年柴油精制装置
0.45,ST040134,<p>mg/L</p>,2025-06-02 08:00:00,氨氮,延化240万吨/年柴油精制装置
8.31,ST040134,mg/L,2025-06-09 08:00:00,石油类,延化240万吨/年柴油精制装置
6.84,ST040134,,2025-06-09 08:00:00,pH,延化240万吨/年柴油精制装置
107,ST040134,<p>mg/L</p>,2025-06-09 08:00:00,COD,延化240万吨/年柴油精制装置
0.45,ST040134,<p>mg/L</p>,2025-06-09 08:00:00,氨氮,延化240万吨/年柴油精制装置
8.50,ST040134,mg/L,2025-06-16 08:00:00,石油类,延化240万吨/年柴油精制装置
26,ST040134,<p>mg/L</p>,2025-06-16 08:00:00,COD,延化240万吨/年柴油精制装置
7.31,ST040134,,2025-06-16 08:00:00,pH,延化240万吨/年柴油精制装置
0.85,ST040134,<p>mg/L</p>,2025-06-16 08:00:00,氨氮,延化240万吨/年柴油精制装置
1.09,ST040134,<p>mg/L</p>,2025-06-23 08:00:00,氨氮,延化240万吨/年柴油精制装置
17,ST040134,<p>mg/L</p>,2025-06-23 08:00:00,COD,延化240万吨/年柴油精制装置
2.22,ST040134,mg/L,2025-06-23 08:00:00,石油类,延化240万吨/年柴油精制装置
7.42,ST040134,,2025-06-23 08:00:00,pH,延化240万吨/年柴油精制装置
7.71,ST040134,,2025-06-30 08:00:00,pH,延化240万吨/年柴油精制装置
26.80,ST040134,mg/L,2025-06-30 08:00:00,石油类,延化240万吨/年柴油精制装置
1.22,ST040134,<p>mg/L</p>,2025-06-30 08:00:00,氨氮,延化240万吨/年柴油精制装置
210,ST040134,<p>mg/L</p>,2025-06-30 08:00:00,COD,延化240万吨/年柴油精制装置
0.66,ST040134,<p>mg/L</p>,2025-07-07 08:00:00,氨氮,延化240万吨/年柴油精制装置
7.16,ST040134,,2025-07-07 08:00:00,pH,延化240万吨/年柴油精制装置
17.90,ST040134,mg/L,2025-07-07 08:00:00,石油类,延化240万吨/年柴油精制装置
88,ST040134,<p>mg/L</p>,2025-07-07 08:00:00,COD,延化240万吨/年柴油精制装置
58,ST040134,<p>mg/L</p>,2025-07-14 08:00:00,COD,延化240万吨/年柴油精制装置
1.01,ST040134,<p>mg/L</p>,2025-07-14 08:00:00,氨氮,延化240万吨/年柴油精制装置
11.60,ST040134,mg/L,2025-07-14 08:00:00,石油类,延化240万吨/年柴油精制装置
7.10,ST040134,,2025-07-14 08:00:00,pH,延化240万吨/年柴油精制装置
1.12,ST040134,<p>mg/L</p>,2025-07-21 08:00:00,氨氮,延化240万吨/年柴油精制装置
47,ST040134,<p>mg/L</p>,2025-07-21 08:00:00,COD,延化240万吨/年柴油精制装置
6.78,ST040134,mg/L,2025-07-21 08:00:00,石油类,延化240万吨/年柴油精制装置
6.76,ST040134,,2025-07-21 08:00:00,pH,延化240万吨/年柴油精制装置
6.95,ST040134,,2025-07-28 08:00:00,pH,延化240万吨/年柴油精制装置
39,ST040134,<p>mg/L</p>,2025-07-28 08:00:00,COD,延化240万吨/年柴油精制装置
0.44,ST040134,<p>mg/L</p>,2025-07-28 08:00:00,氨氮,延化240万吨/年柴油精制装置
3.72,ST040134,mg/L,2025-07-28 08:00:00,石油类,延化240万吨/年柴油精制装置
3.36,ST040134,mg/L,2025-08-04 08:00:00,石油类,延化240万吨/年柴油精制装置
7.47,ST040134,,2025-08-04 08:00:00,pH,延化240万吨/年柴油精制装置
0.36,ST040134,<p>mg/L</p>,2025-08-04 08:00:00,氨氮,延化240万吨/年柴油精制装置
34,ST040134,<p>mg/L</p>,2025-08-04 08:00:00,COD,延化240万吨/年柴油精制装置
4.17,ST040134,mg/L,2025-08-11 08:00:00,石油类,延化240万吨/年柴油精制装置
7.48,ST040134,,2025-08-11 08:00:00,pH,延化240万吨/年柴油精制装置
0.30,ST040134,<p>mg/L</p>,2025-08-11 08:00:00,氨氮,延化240万吨/年柴油精制装置
37,ST040134,<p>mg/L</p>,2025-08-11 08:00:00,COD,延化240万吨/年柴油精制装置
0.21,ST040134,<p>mg/L</p>,2025-08-18 08:00:00,氨氮,延化240万吨/年柴油精制装置
7.47,ST040134,,2025-08-18 08:00:00,pH,延化240万吨/年柴油精制装置
7.72,ST040134,mg/L,2025-08-18 08:00:00,石油类,延化240万吨/年柴油精制装置
42,ST040134,<p>mg/L</p>,2025-08-18 08:00:00,COD,延化240万吨/年柴油精制装置
0.56,ST040134,<p>mg/L</p>,2025-08-25 08:00:00,氨氮,延化240万吨/年柴油精制装置
7.01,ST040134,,2025-08-25 08:00:00,pH,延化240万吨/年柴油精制装置
3.99,ST040134,mg/L,2025-08-25 08:00:00,石油类,延化240万吨/年柴油精制装置
50,ST040134,<p>mg/L</p>,2025-08-25 08:00:00,COD,延化240万吨/年柴油精制装置
7.30,ST040134,,2025-09-01 08:00:00,pH,延化240万吨/年柴油精制装置
10.10,ST040134,mg/L,2025-09-01 08:00:00,石油类,延化240万吨/年柴油精制装置
9,ST040134,<p>mg/L</p>,2025-09-01 08:00:00,COD,延化240万吨/年柴油精制装置
0.42,ST040134,<p>mg/L</p>,2025-09-01 08:00:00,氨氮,延化240万吨/年柴油精制装置
38,ST040134,<p>mg/L</p>,2025-09-08 08:00:00,COD,延化240万吨/年柴油精制装置
7.54,ST040134,,2025-09-08 08:00:00,pH,延化240万吨/年柴油精制装置
1.51,ST040134,mg/L,2025-09-08 08:00:00,石油类,延化240万吨/年柴油精制装置
0.38,ST040134,<p>mg/L</p>,2025-09-08 08:00:00,氨氮,延化240万吨/年柴油精制装置
0.77,ST040134,<p>mg/L</p>,2025-09-15 08:00:00,氨氮,延化240万吨/年柴油精制装置
7.79,ST040134,,2025-09-15 08:00:00,pH,延化240万吨/年柴油精制装置
41,ST040134,<p>mg/L</p>,2025-09-15 08:00:00,COD,延化240万吨/年柴油精制装置
3.91,ST040134,mg/L,2025-09-15 08:00:00,石油类,延化240万吨/年柴油精制装置
2.84,ST040134,<p>mg/L</p>,2025-09-22 08:00:00,氨氮,延化240万吨/年柴油精制装置
7.70,ST040134,,2025-09-22 08:00:00,pH,延化240万吨/年柴油精制装置
7.60,ST040134,mg/L,2025-09-22 08:00:00,石油类,延化240万吨/年柴油精制装置
147,ST040134,<p>mg/L</p>,2025-09-22 08:00:00,COD,延化240万吨/年柴油精制装置
7.08,ST040134,,2025-09-29 08:00:00,pH,延化240万吨/年柴油精制装置
105,ST040134,<p>mg/L</p>,2025-09-29 08:00:00,COD,延化240万吨/年柴油精制装置
41.70,ST040134,mg/L,2025-09-29 08:00:00,石油类,延化240万吨/年柴油精制装置
0.85,ST040134,<p>mg/L</p>,2025-09-29 08:00:00,氨氮,延化240万吨/年柴油精制装置
20.70,ST040134,mg/L,2025-10-06 08:00:00,石油类,延化240万吨/年柴油精制装置
7.72,ST040134,,2025-10-06 08:00:00,pH,延化240万吨/年柴油精制装置
0.61,ST040134,<p>mg/L</p>,2025-10-06 08:00:00,氨氮,延化240万吨/年柴油精制装置
112,ST040134,<p>mg/L</p>,2025-10-06 08:00:00,COD,延化240万吨/年柴油精制装置
6.64,ST040134,mg/L,2025-10-13 08:00:00,石油类,延化240万吨/年柴油精制装置
8.10,ST040134,,2025-10-13 08:00:00,pH,延化240万吨/年柴油精制装置
0.57,ST040134,<p>mg/L</p>,2025-10-13 08:00:00,氨氮,延化240万吨/年柴油精制装置
60,ST040134,<p>mg/L</p>,2025-10-13 08:00:00,COD,延化240万吨/年柴油精制装置
0.74,ST040134,<p>mg/L</p>,2025-10-20 08:00:00,氨氮,延化240万吨/年柴油精制装置
7.47,ST040134,,2025-10-20 08:00:00,pH,延化240万吨/年柴油精制装置
2.76,ST040134,mg/L,2025-10-20 08:00:00,石油类,延化240万吨/年柴油精制装置
53,ST040134,<p>mg/L</p>,2025-10-20 08:00:00,COD,延化240万吨/年柴油精制装置
0.87,ST040134,<p>mg/L</p>,2025-10-27 08:00:00,氨氮,延化240万吨/年柴油精制装置
7.22,ST040134,,2025-10-27 08:00:00,pH,延化240万吨/年柴油精制装置
3.02,ST040134,mg/L,2025-10-27 08:00:00,石油类,延化240万吨/年柴油精制装置
37,ST040134,<p>mg/L</p>,2025-10-27 08:00:00,COD,延化240万吨/年柴油精制装置
0.39,ST040134,<p>mg/L</p>,2025-11-03 08:00:00,氨氮,延化240万吨/年柴油精制装置
7.12,ST040134,,2025-11-03 08:00:00,pH,延化240万吨/年柴油精制装置
15.70,ST040134,mg/L,2025-11-03 08:00:00,石油类,延化240万吨/年柴油精制装置
28,ST040134,<p>mg/L</p>,2025-11-03 08:00:00,COD,延化240万吨/年柴油精制装置
0.53,ST040134,<p>mg/L</p>,2025-11-10 08:00:00,氨氮,延化240万吨/年柴油精制装置
7.29,ST040134,,2025-11-10 08:00:00,pH,延化240万吨/年柴油精制装置
9.67,ST040134,mg/L,2025-11-10 08:00:00,石油类,延化240万吨/年柴油精制装置
46,ST040134,<p>mg/L</p>,2025-11-10 08:00:00,COD,延化240万吨/年柴油精制装置
64,ST040134,<p>mg/L</p>,2025-11-17 08:00:00,COD,延化240万吨/年柴油精制装置
29.10,ST040134,mg/L,2025-11-17 08:00:00,石油类,延化240万吨/年柴油精制装置
6.87,ST040134,,2025-11-17 08:00:00,pH,延化240万吨/年柴油精制装置
0.99,ST040134,<p>mg/L</p>,2025-11-17 08:00:00,氨氮,延化240万吨/年柴油精制装置
0.82,ST040134,<p>mg/L</p>,2025-11-24 08:00:00,氨氮,延化240万吨/年柴油精制装置
7.74,ST040134,,2025-11-24 08:00:00,pH,延化240万吨/年柴油精制装置
14.70,ST040134,mg/L,2025-11-24 08:00:00,石油类,延化240万吨/年柴油精制装置
116,ST040134,<p>mg/L</p>,2025-11-24 08:00:00,COD,延化240万吨/年柴油精制装置
152,ST040134,<p>mg/L</p>,2025-12-01 08:00:00,COD,延化240万吨/年柴油精制装置
17.32,ST040134,mg/L,2025-12-01 08:00:00,石油类,延化240万吨/年柴油精制装置
7.03,ST040134,,2025-12-01 08:00:00,pH,延化240万吨/年柴油精制装置
0.56,ST040134,<p>mg/L</p>,2025-12-01 08:00:00,氨氮,延化240万吨/年柴油精制装置
82,ST040134,<p>mg/L</p>,2025-12-08 08:00:00,COD,延化240万吨/年柴油精制装置
6.83,ST040134,mg/L,2025-12-08 08:00:00,石油类,延化240万吨/年柴油精制装置
6.45,ST040134,,2025-12-08 08:00:00,pH,延化240万吨/年柴油精制装置
0.90,ST040134,<p>mg/L</p>,2025-12-08 08:00:00,氨氮,延化240万吨/年柴油精制装置
178,ST040134,<p>mg/L</p>,2025-12-15 08:00:00,COD,延化240万吨/年柴油精制装置
7.40,ST040134,,2025-12-15 08:00:00,pH,延化240万吨/年柴油精制装置
1.05,ST040134,<p>mg/L</p>,2025-12-15 08:00:00,氨氮,延化240万吨/年柴油精制装置
9.25,ST040134,mg/L,2025-12-15 08:00:00,石油类,延化240万吨/年柴油精制装置
18.81,ST040134,mg/L,2025-12-22 08:00:00,石油类,延化240万吨/年柴油精制装置
8.04,ST040134,,2025-12-22 08:00:00,pH,延化240万吨/年柴油精制装置
19.00,ST040134,<p>mg/L</p>,2025-12-22 08:00:00,氨氮,延化240万吨/年柴油精制装置
295,ST040134,<p>mg/L</p>,2025-12-22 08:00:00,COD,延化240万吨/年柴油精制装置
7.57,ST040134,,2025-12-29 08:00:00,pH,延化240万吨/年柴油精制装置
5.34,ST040134,mg/L,2025-12-29 08:00:00,石油类,延化240万吨/年柴油精制装置
950,ST040134,<p>mg/L</p>,2025-12-29 08:00:00,COD,延化240万吨/年柴油精制装置
0.93,ST040134,<p>mg/L</p>,2025-12-29 08:00:00,氨氮,延化240万吨/年柴油精制装置
5.80,ST040134,mg/L,2026-01-05 08:00:00,石油类,延化240万吨/年柴油精制装置
6.67,ST040134,,2026-01-05 08:00:00,pH,延化240万吨/年柴油精制装置
129,ST040134,<p>mg/L</p>,2026-01-05 08:00:00,COD,延化240万吨/年柴油精制装置
0.10,ST040134,<p>mg/L</p>,2026-01-05 08:00:00,氨氮,延化240万吨/年柴油精制装置
0.89,ST040134,<p>mg/L</p>,2026-01-12 08:00:00,氨氮,延化240万吨/年柴油精制装置
7.30,ST040134,,2026-01-12 08:00:00,pH,延化240万吨/年柴油精制装置
98,ST040134,<p>mg/L</p>,2026-01-12 08:00:00,COD,延化240万吨/年柴油精制装置
29.90,ST040134,mg/L,2026-01-12 08:00:00,石油类,延化240万吨/年柴油精制装置
7.77,ST040134,,2026-01-19 08:00:00,pH,延化240万吨/年柴油精制装置
91,ST040134,<p>mg/L</p>,2026-01-19 08:00:00,COD,延化240万吨/年柴油精制装置
10.80,ST040134,mg/L,2026-01-19 08:00:00,石油类,延化240万吨/年柴油精制装置
0.35,ST040134,<p>mg/L</p>,2026-01-19 08:00:00,氨氮,延化240万吨/年柴油精制装置
60,ST040134,<p>mg/L</p>,2026-01-26 08:00:00,COD,延化240万吨/年柴油精制装置
7.67,ST040134,mg/L,2026-01-26 08:00:00,石油类,延化240万吨/年柴油精制装置
7.37,ST040134,,2026-01-26 08:00:00,pH,延化240万吨/年柴油精制装置
2.69,ST040134,<p>mg/L</p>,2026-01-26 08:00:00,氨氮,延化240万吨/年柴油精制装置
26.80,ST040134,mg/L,2026-02-02 08:00:00,石油类,延化240万吨/年柴油精制装置
6.90,ST040134,,2026-02-02 08:00:00,pH,延化240万吨/年柴油精制装置
2.03,ST040134,<p>mg/L</p>,2026-02-02 08:00:00,氨氮,延化240万吨/年柴油精制装置
558,ST040134,<p>mg/L</p>,2026-02-02 08:00:00,COD,延化240万吨/年柴油精制装置
198,ST040134,<p>mg/L</p>,2026-02-09 08:00:00,COD,延化240万吨/年柴油精制装置
8.10,ST040134,mg/L,2026-02-09 08:00:00,石油类,延化240万吨/年柴油精制装置
6.85,ST040134,,2026-02-09 08:00:00,pH,延化240万吨/年柴油精制装置
0.41,ST040134,<p>mg/L</p>,2026-02-09 08:00:00,氨氮,延化240万吨/年柴油精制装置
0.45,ST040134,<p>mg/L</p>,2026-02-16 08:00:00,氨氮,延化240万吨/年柴油精制装置
7.53,ST040134,,2026-02-16 08:00:00,pH,延化240万吨/年柴油精制装置
26.72,ST040134,mg/L,2026-02-16 08:00:00,石油类,延化240万吨/年柴油精制装置
125,ST040134,<p>mg/L</p>,2026-02-16 08:00:00,COD,延化240万吨/年柴油精制装置
7.09,ST040134,,2026-02-23 08:00:00,pH,延化240万吨/年柴油精制装置
19.50,ST040134,mg/L,2026-02-23 08:00:00,石油类,延化240万吨/年柴油精制装置
108,ST040134,<p>mg/L</p>,2026-02-23 08:00:00,COD,延化240万吨/年柴油精制装置
2.02,ST040134,<p>mg/L</p>,2026-02-23 08:00:00,氨氮,延化240万吨/年柴油精制装置
47,ST040134,<p>mg/L</p>,2026-03-02 08:00:00,COD,延化240万吨/年柴油精制装置
0.85,ST040134,<p>mg/L</p>,2026-03-02 08:00:00,氨氮,延化240万吨/年柴油精制装置
7.43,ST040134,,2026-03-02 08:00:00,pH,延化240万吨/年柴油精制装置
11.61,ST040134,mg/L,2026-03-02 08:00:00,石油类,延化240万吨/年柴油精制装置
8.47,ST040134,,2026-03-09 08:00:00,pH,延化240万吨/年柴油精制装置
11.80,ST040134,mg/L,2026-03-09 08:00:00,石油类,延化240万吨/年柴油精制装置
