result,sampleDotCode,unitName,sampleTime,resultName,deviceName
48,ST040314,<p>ppm</p>,2025-05-01 04:00:00,水含量,延化60万吨/年气体分馏装置
1,ST040314,级,2025-05-01 04:00:00,腐蚀等级(40℃，1h),延化60万吨/年气体分馏装置
100.00,ST040314,<p>%(v/v)</p>,2025-05-01 04:00:00,C3合计,延化60万吨/年气体分馏装置
100.00,ST040314,"<p>%(v/v)</p>
",2025-05-01 04:00:00,C3+C4,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-01 04:00:00,碳五,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-01 04:00:00,顺丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-01 04:00:00,反丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-01 04:00:00,正丁烯+异丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-01 04:00:00,正丁烷,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-01 04:00:00,异丁烷,延化60万吨/年气体分馏装置
1.14,ST040314,"<p>%(v/v)</p>
",2025-05-01 04:00:00,丙烯,延化60万吨/年气体分馏装置
98.86,ST040314,"<p>%(v/v)</p>
",2025-05-01 04:00:00,丙烷,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-01 04:00:00,乙烷+乙烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-01 04:00:00,空气+甲烷,延化60万吨/年气体分馏装置
0.00,ST040314,<p>%(v/v)</p>,2025-05-01 04:00:00,C4合计,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-03 09:00:00,乙烷+乙烯,延化60万吨/年气体分馏装置
1,ST040314,级,2025-05-03 09:00:00,腐蚀等级(40℃，1h),延化60万吨/年气体分馏装置
0.00,ST040314,<p>%(v/v)</p>,2025-05-03 09:00:00,C4合计,延化60万吨/年气体分馏装置
100.00,ST040314,<p>%(v/v)</p>,2025-05-03 09:00:00,C3合计,延化60万吨/年气体分馏装置
100.00,ST040314,"<p>%(v/v)</p>
",2025-05-03 09:00:00,C3+C4,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-03 09:00:00,碳五,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-03 09:00:00,顺丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-03 09:00:00,反丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-03 09:00:00,正丁烯+异丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-03 09:00:00,正丁烷,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-03 09:00:00,异丁烷,延化60万吨/年气体分馏装置
3.27,ST040314,"<p>%(v/v)</p>
",2025-05-03 09:00:00,丙烯,延化60万吨/年气体分馏装置
96.73,ST040314,"<p>%(v/v)</p>
",2025-05-03 09:00:00,丙烷,延化60万吨/年气体分馏装置
50,ST040314,<p>ppm</p>,2025-05-03 09:00:00,水含量,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-03 09:00:00,空气+甲烷,延化60万吨/年气体分馏装置
100.00,ST040314,"<p>%(v/v)</p>
",2025-05-04 13:00:00,C3+C4,延化60万吨/年气体分馏装置
1,ST040314,级,2025-05-04 13:00:00,腐蚀等级(40℃，1h),延化60万吨/年气体分馏装置
0.00,ST040314,<p>%(v/v)</p>,2025-05-04 13:00:00,C4合计,延化60万吨/年气体分馏装置
100.00,ST040314,<p>%(v/v)</p>,2025-05-04 13:00:00,C3合计,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-04 13:00:00,碳五,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-04 13:00:00,顺丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-04 13:00:00,反丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-04 13:00:00,正丁烯+异丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-04 13:00:00,正丁烷,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-04 13:00:00,异丁烷,延化60万吨/年气体分馏装置
2.85,ST040314,"<p>%(v/v)</p>
",2025-05-04 13:00:00,丙烯,延化60万吨/年气体分馏装置
97.15,ST040314,"<p>%(v/v)</p>
",2025-05-04 13:00:00,丙烷,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-04 13:00:00,乙烷+乙烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-04 13:00:00,空气+甲烷,延化60万吨/年气体分馏装置
50,ST040314,<p>ppm</p>,2025-05-04 13:00:00,水含量,延化60万吨/年气体分馏装置
100.00,ST040314,"<p>%(v/v)</p>
",2025-05-06 23:30:00,C3+C4,延化60万吨/年气体分馏装置
1,ST040314,级,2025-05-06 23:30:00,腐蚀等级(40℃，1h),延化60万吨/年气体分馏装置
0.00,ST040314,<p>%(v/v)</p>,2025-05-06 23:30:00,C4合计,延化60万吨/年气体分馏装置
100.00,ST040314,<p>%(v/v)</p>,2025-05-06 23:30:00,C3合计,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-06 23:30:00,碳五,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-06 23:30:00,顺丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-06 23:30:00,反丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-06 23:30:00,正丁烯+异丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-06 23:30:00,正丁烷,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-06 23:30:00,异丁烷,延化60万吨/年气体分馏装置
2.39,ST040314,"<p>%(v/v)</p>
",2025-05-06 23:30:00,丙烯,延化60万吨/年气体分馏装置
97.61,ST040314,"<p>%(v/v)</p>
",2025-05-06 23:30:00,丙烷,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-06 23:30:00,乙烷+乙烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-06 23:30:00,空气+甲烷,延化60万吨/年气体分馏装置
49,ST040314,<p>ppm</p>,2025-05-06 23:30:00,水含量,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-07 10:59:00,碳五,延化60万吨/年气体分馏装置
100.00,ST040314,<p>%(v/v)</p>,2025-05-07 10:59:00,C3合计,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-07 10:59:00,反丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-07 10:59:00,正丁烯+异丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-07 10:59:00,正丁烷,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-07 10:59:00,异丁烷,延化60万吨/年气体分馏装置
2.50,ST040314,"<p>%(v/v)</p>
",2025-05-07 10:59:00,丙烯,延化60万吨/年气体分馏装置
97.50,ST040314,"<p>%(v/v)</p>
",2025-05-07 10:59:00,丙烷,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-07 10:59:00,乙烷+乙烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-07 10:59:00,空气+甲烷,延化60万吨/年气体分馏装置
1,ST040314,级,2025-05-07 10:59:00,腐蚀等级(40℃，1h),延化60万吨/年气体分馏装置
100.00,ST040314,"<p>%(v/v)</p>
",2025-05-07 10:59:00,C3+C4,延化60万吨/年气体分馏装置
52,ST040314,<p>ppm</p>,2025-05-07 10:59:00,水含量,延化60万吨/年气体分馏装置
0.00,ST040314,<p>%(v/v)</p>,2025-05-07 10:59:00,C4合计,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-07 10:59:00,顺丁烯,延化60万吨/年气体分馏装置
100.00,ST040314,"<p>%(v/v)</p>
",2025-05-08 10:31:00,C3+C4,延化60万吨/年气体分馏装置
1,ST040314,级,2025-05-08 10:31:00,腐蚀等级(40℃，1h),延化60万吨/年气体分馏装置
0.00,ST040314,<p>%(v/v)</p>,2025-05-08 10:31:00,C4合计,延化60万吨/年气体分馏装置
100.00,ST040314,<p>%(v/v)</p>,2025-05-08 10:31:00,C3合计,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-08 10:31:00,碳五,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-08 10:31:00,顺丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-08 10:31:00,反丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-08 10:31:00,正丁烯+异丁烯,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-08 10:31:00,正丁烷,延化60万吨/年气体分馏装置
0.00,ST040314,"<p>%(v/v)</p>
",2025-05-08 10:31:00,异丁烷,延化60万吨/年气体分馏装置
3.01,ST040314,"<p>%(v/v)</p>
",2025-05-08 10:31:00,丙烯,延化60万吨/年气体分馏装置
96.99,ST040314,"<p>%(v/v)</p>
",2025-05-08 10:31:00,丙烷,延化60万吨/年气体分馏装置
