result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.12,ST040094,<p>%(v/v)</p>,2025-05-01 08:00:00,碳五,延化60万吨/年气体分馏装置
6.04,ST040094,<p>%(v/v)</p>,2025-05-01 08:00:00,异丁烯,延化60万吨/年气体分馏装置
5.44,ST040094,<p>%(v/v)</p>,2025-05-01 08:00:00,正丁烯,延化60万吨/年气体分馏装置
1.240,ST040094,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烷+乙烯,延化60万吨/年气体分馏装置
16.87,ST040094,<p>%(v/v)</p>,2025-05-01 08:00:00,丙烷,延化60万吨/年气体分馏装置
31.04,ST040094,<p>%(v/v)</p>,2025-05-01 08:00:00,丙烯,延化60万吨/年气体分馏装置
24.23,ST040094,<p>%(v/v)</p>,2025-05-01 08:00:00,异丁烷,延化60万吨/年气体分馏装置
6.27,ST040094,<p>%(v/v)</p>,2025-05-01 08:00:00,正丁烷,延化60万吨/年气体分馏装置
5.16,ST040094,<p>%(v/v)</p>,2025-05-01 08:00:00,反丁烯,延化60万吨/年气体分馏装置
3.59,ST040094,<p>%(v/v)</p>,2025-05-01 08:00:00,顺丁烯,延化60万吨/年气体分馏装置
0.07,ST040094,<p>%(v/v)</p>,2025-05-01 20:00:00,碳五,延化60万吨/年气体分馏装置
1.380,ST040094,"<p>%(v/v)</p>
",2025-05-01 20:00:00,乙烷+乙烯,延化60万吨/年气体分馏装置
18.62,ST040094,<p>%(v/v)</p>,2025-05-01 20:00:00,丙烷,延化60万吨/年气体分馏装置
32.45,ST040094,<p>%(v/v)</p>,2025-05-01 20:00:00,丙烯,延化60万吨/年气体分馏装置
4.76,ST040094,<p>%(v/v)</p>,2025-05-01 20:00:00,正丁烯,延化60万吨/年气体分馏装置
5.60,ST040094,<p>%(v/v)</p>,2025-05-01 20:00:00,正丁烷,延化60万吨/年气体分馏装置
3.84,ST040094,<p>%(v/v)</p>,2025-05-01 20:00:00,反丁烯,延化60万吨/年气体分馏装置
2.70,ST040094,<p>%(v/v)</p>,2025-05-01 20:00:00,顺丁烯,延化60万吨/年气体分馏装置
5.57,ST040094,<p>%(v/v)</p>,2025-05-01 20:00:00,异丁烯,延化60万吨/年气体分馏装置
25.01,ST040094,<p>%(v/v)</p>,2025-05-01 20:00:00,异丁烷,延化60万吨/年气体分馏装置
0.13,ST040094,<p>%(v/v)</p>,2025-05-02 08:00:00,碳五,延化60万吨/年气体分馏装置
6.21,ST040094,<p>%(v/v)</p>,2025-05-02 08:00:00,异丁烯,延化60万吨/年气体分馏装置
5.57,ST040094,<p>%(v/v)</p>,2025-05-02 08:00:00,正丁烯,延化60万吨/年气体分馏装置
1.160,ST040094,"<p>%(v/v)</p>
",2025-05-02 08:00:00,乙烷+乙烯,延化60万吨/年气体分馏装置
16.57,ST040094,<p>%(v/v)</p>,2025-05-02 08:00:00,丙烷,延化60万吨/年气体分馏装置
30.26,ST040094,<p>%(v/v)</p>,2025-05-02 08:00:00,丙烯,延化60万吨/年气体分馏装置
24.46,ST040094,<p>%(v/v)</p>,2025-05-02 08:00:00,异丁烷,延化60万吨/年气体分馏装置
6.51,ST040094,<p>%(v/v)</p>,2025-05-02 08:00:00,正丁烷,延化60万吨/年气体分馏装置
5.35,ST040094,<p>%(v/v)</p>,2025-05-02 08:00:00,反丁烯,延化60万吨/年气体分馏装置
3.78,ST040094,<p>%(v/v)</p>,2025-05-02 08:00:00,顺丁烯,延化60万吨/年气体分馏装置
4.87,ST040094,<p>%(v/v)</p>,2025-05-02 20:00:00,反丁烯,延化60万吨/年气体分馏装置
5.96,ST040094,<p>%(v/v)</p>,2025-05-02 20:00:00,异丁烯,延化60万吨/年气体分馏装置
0.10,ST040094,<p>%(v/v)</p>,2025-05-02 20:00:00,碳五,延化60万吨/年气体分馏装置
5.28,ST040094,<p>%(v/v)</p>,2025-05-02 20:00:00,正丁烯,延化60万吨/年气体分馏装置
3.34,ST040094,<p>%(v/v)</p>,2025-05-02 20:00:00,顺丁烯,延化60万吨/年气体分馏装置
17.24,ST040094,<p>%(v/v)</p>,2025-05-02 20:00:00,丙烷,延化60万吨/年气体分馏装置
31.37,ST040094,<p>%(v/v)</p>,2025-05-02 20:00:00,丙烯,延化60万吨/年气体分馏装置
24.55,ST040094,<p>%(v/v)</p>,2025-05-02 20:00:00,异丁烷,延化60万吨/年气体分馏装置
6.09,ST040094,<p>%(v/v)</p>,2025-05-02 20:00:00,正丁烷,延化60万吨/年气体分馏装置
1.200,ST040094,"<p>%(v/v)</p>
",2025-05-02 20:00:00,乙烷+乙烯,延化60万吨/年气体分馏装置
5.14,ST040094,<p>%(v/v)</p>,2025-05-03 08:00:00,反丁烯,延化60万吨/年气体分馏装置
0.09,ST040094,<p>%(v/v)</p>,2025-05-03 08:00:00,碳五,延化60万吨/年气体分馏装置
5.44,ST040094,<p>%(v/v)</p>,2025-05-03 08:00:00,正丁烯,延化60万吨/年气体分馏装置
1.180,ST040094,"<p>%(v/v)</p>
",2025-05-03 08:00:00,乙烷+乙烯,延化60万吨/年气体分馏装置
16.95,ST040094,<p>%(v/v)</p>,2025-05-03 08:00:00,丙烷,延化60万吨/年气体分馏装置
31.00,ST040094,<p>%(v/v)</p>,2025-05-03 08:00:00,丙烯,延化60万吨/年气体分馏装置
24.33,ST040094,<p>%(v/v)</p>,2025-05-03 08:00:00,异丁烷,延化60万吨/年气体分馏装置
6.27,ST040094,<p>%(v/v)</p>,2025-05-03 08:00:00,正丁烷,延化60万吨/年气体分馏装置
3.54,ST040094,<p>%(v/v)</p>,2025-05-03 08:00:00,顺丁烯,延化60万吨/年气体分馏装置
6.06,ST040094,<p>%(v/v)</p>,2025-05-03 08:00:00,异丁烯,延化60万吨/年气体分馏装置
4.92,ST040094,<p>%(v/v)</p>,2025-05-03 20:00:00,反丁烯,延化60万吨/年气体分馏装置
1.220,ST040094,"<p>%(v/v)</p>
",2025-05-03 20:00:00,乙烷+乙烯,延化60万吨/年气体分馏装置
17.23,ST040094,<p>%(v/v)</p>,2025-05-03 20:00:00,丙烷,延化60万吨/年气体分馏装置
31.40,ST040094,<p>%(v/v)</p>,2025-05-03 20:00:00,丙烯,延化60万吨/年气体分馏装置
5.29,ST040094,<p>%(v/v)</p>,2025-05-03 20:00:00,正丁烯,延化60万吨/年气体分馏装置
6.13,ST040094,<p>%(v/v)</p>,2025-05-03 20:00:00,正丁烷,延化60万吨/年气体分馏装置
3.41,ST040094,<p>%(v/v)</p>,2025-05-03 20:00:00,顺丁烯,延化60万吨/年气体分馏装置
5.95,ST040094,<p>%(v/v)</p>,2025-05-03 20:00:00,异丁烯,延化60万吨/年气体分馏装置
0.10,ST040094,<p>%(v/v)</p>,2025-05-03 20:00:00,碳五,延化60万吨/年气体分馏装置
24.35,ST040094,<p>%(v/v)</p>,2025-05-03 20:00:00,异丁烷,延化60万吨/年气体分馏装置
