result,sampleDotCode,unitName,sampleTime,resultName,deviceName
<3,ST040106,<p>mg/L</p>,2025-05-05 08:00:00,COD,延化60万吨/年气体分馏装置
7.47,ST040106,,2025-05-05 08:00:00,pH,延化60万吨/年气体分馏装置
0.64,ST040106,mg/L,2025-05-05 08:00:00,石油类,延化60万吨/年气体分馏装置
1.63,ST040106,mg/L,2025-05-12 08:00:00,石油类,延化60万吨/年气体分馏装置
7.42,ST040106,,2025-05-12 08:00:00,pH,延化60万吨/年气体分馏装置
4,ST040106,<p>mg/L</p>,2025-05-12 08:00:00,COD,延化60万吨/年气体分馏装置
8.86,ST040106,,2025-05-19 08:00:00,pH,延化60万吨/年气体分馏装置
1.28,ST040106,mg/L,2025-05-19 08:00:00,石油类,延化60万吨/年气体分馏装置
6,ST040106,<p>mg/L</p>,2025-05-19 08:00:00,COD,延化60万吨/年气体分馏装置
17,ST040106,<p>mg/L</p>,2025-05-26 08:00:00,COD,延化60万吨/年气体分馏装置
6.96,ST040106,,2025-05-26 08:00:00,pH,延化60万吨/年气体分馏装置
1.22,ST040106,mg/L,2025-05-26 08:00:00,石油类,延化60万吨/年气体分馏装置
7.42,ST040106,,2025-06-02 08:00:00,pH,延化60万吨/年气体分馏装置
1.30,ST040106,mg/L,2025-06-02 08:00:00,石油类,延化60万吨/年气体分馏装置
<3,ST040106,<p>mg/L</p>,2025-06-02 08:00:00,COD,延化60万吨/年气体分馏装置
19,ST040106,<p>mg/L</p>,2025-06-09 08:00:00,COD,延化60万吨/年气体分馏装置
1.07,ST040106,mg/L,2025-06-09 08:00:00,石油类,延化60万吨/年气体分馏装置
8.97,ST040106,,2025-06-09 08:00:00,pH,延化60万吨/年气体分馏装置
8.52,ST040106,,2025-06-16 08:00:00,pH,延化60万吨/年气体分馏装置
21,ST040106,<p>mg/L</p>,2025-06-16 08:00:00,COD,延化60万吨/年气体分馏装置
1.95,ST040106,mg/L,2025-06-16 08:00:00,石油类,延化60万吨/年气体分馏装置
7.64,ST040106,,2025-06-23 08:00:00,pH,延化60万吨/年气体分馏装置
0.66,ST040106,mg/L,2025-06-23 08:00:00,石油类,延化60万吨/年气体分馏装置
8,ST040106,<p>mg/L</p>,2025-06-23 08:00:00,COD,延化60万吨/年气体分馏装置
1.58,ST040106,mg/L,2025-06-30 08:00:00,石油类,延化60万吨/年气体分馏装置
8.13,ST040106,,2025-06-30 08:00:00,pH,延化60万吨/年气体分馏装置
23,ST040106,<p>mg/L</p>,2025-06-30 08:00:00,COD,延化60万吨/年气体分馏装置
0.85,ST040106,mg/L,2025-07-07 08:00:00,石油类,延化60万吨/年气体分馏装置
7.42,ST040106,,2025-07-07 08:00:00,pH,延化60万吨/年气体分馏装置
22,ST040106,<p>mg/L</p>,2025-07-07 08:00:00,COD,延化60万吨/年气体分馏装置
0.89,ST040106,mg/L,2025-07-14 08:00:00,石油类,延化60万吨/年气体分馏装置
7.57,ST040106,,2025-07-14 08:00:00,pH,延化60万吨/年气体分馏装置
30,ST040106,<p>mg/L</p>,2025-07-14 08:00:00,COD,延化60万吨/年气体分馏装置
7.52,ST040106,,2025-07-21 08:00:00,pH,延化60万吨/年气体分馏装置
1.14,ST040106,mg/L,2025-07-21 08:00:00,石油类,延化60万吨/年气体分馏装置
5,ST040106,<p>mg/L</p>,2025-07-21 08:00:00,COD,延化60万吨/年气体分馏装置
1.95,ST040106,mg/L,2025-07-28 08:00:00,石油类,延化60万吨/年气体分馏装置
7.34,ST040106,,2025-07-28 08:00:00,pH,延化60万吨/年气体分馏装置
<3,ST040106,<p>mg/L</p>,2025-07-28 08:00:00,COD,延化60万吨/年气体分馏装置
8,ST040106,<p>mg/L</p>,2025-08-04 08:00:00,COD,延化60万吨/年气体分馏装置
7.75,ST040106,,2025-08-04 08:00:00,pH,延化60万吨/年气体分馏装置
1.02,ST040106,mg/L,2025-08-04 08:00:00,石油类,延化60万吨/年气体分馏装置
0.66,ST040106,mg/L,2025-08-11 08:00:00,石油类,延化60万吨/年气体分馏装置
10,ST040106,<p>mg/L</p>,2025-08-11 08:00:00,COD,延化60万吨/年气体分馏装置
7.63,ST040106,,2025-08-11 08:00:00,pH,延化60万吨/年气体分馏装置
7.09,ST040106,,2025-08-18 08:00:00,pH,延化60万吨/年气体分馏装置
0.85,ST040106,mg/L,2025-08-18 08:00:00,石油类,延化60万吨/年气体分馏装置
8,ST040106,<p>mg/L</p>,2025-08-18 08:00:00,COD,延化60万吨/年气体分馏装置
0.75,ST040106,mg/L,2025-08-25 08:00:00,石油类,延化60万吨/年气体分馏装置
11,ST040106,<p>mg/L</p>,2025-08-25 08:00:00,COD,延化60万吨/年气体分馏装置
7.13,ST040106,,2025-08-25 08:00:00,pH,延化60万吨/年气体分馏装置
25,ST040106,<p>mg/L</p>,2025-09-01 08:00:00,COD,延化60万吨/年气体分馏装置
6.84,ST040106,,2025-09-01 08:00:00,pH,延化60万吨/年气体分馏装置
4.12,ST040106,mg/L,2025-09-01 08:00:00,石油类,延化60万吨/年气体分馏装置
7.46,ST040106,,2025-09-08 08:00:00,pH,延化60万吨/年气体分馏装置
21,ST040106,<p>mg/L</p>,2025-09-08 08:00:00,COD,延化60万吨/年气体分馏装置
0.90,ST040106,mg/L,2025-09-08 08:00:00,石油类,延化60万吨/年气体分馏装置
4,ST040106,<p>mg/L</p>,2025-09-15 08:00:00,COD,延化60万吨/年气体分馏装置
8.48,ST040106,,2025-09-15 08:00:00,pH,延化60万吨/年气体分馏装置
3.70,ST040106,mg/L,2025-09-15 08:00:00,石油类,延化60万吨/年气体分馏装置
<3,ST040106,<p>mg/L</p>,2025-09-22 08:00:00,COD,延化60万吨/年气体分馏装置
7.65,ST040106,,2025-09-22 08:00:00,pH,延化60万吨/年气体分馏装置
0.67,ST040106,mg/L,2025-09-22 08:00:00,石油类,延化60万吨/年气体分馏装置
0.78,ST040106,mg/L,2025-09-29 08:00:00,石油类,延化60万吨/年气体分馏装置
7.26,ST040106,,2025-09-29 08:00:00,pH,延化60万吨/年气体分馏装置
19,ST040106,<p>mg/L</p>,2025-09-29 08:00:00,COD,延化60万吨/年气体分馏装置
7.95,ST040106,,2025-10-06 08:00:00,pH,延化60万吨/年气体分馏装置
1.56,ST040106,mg/L,2025-10-06 08:00:00,石油类,延化60万吨/年气体分馏装置
13,ST040106,<p>mg/L</p>,2025-10-06 08:00:00,COD,延化60万吨/年气体分馏装置
7.55,ST040106,,2025-10-13 08:00:00,pH,延化60万吨/年气体分馏装置
1.23,ST040106,mg/L,2025-10-13 08:00:00,石油类,延化60万吨/年气体分馏装置
8,ST040106,<p>mg/L</p>,2025-10-13 08:00:00,COD,延化60万吨/年气体分馏装置
7.31,ST040106,,2025-10-20 08:00:00,pH,延化60万吨/年气体分馏装置
0.61,ST040106,mg/L,2025-10-20 08:00:00,石油类,延化60万吨/年气体分馏装置
<3,ST040106,<p>mg/L</p>,2025-10-20 08:00:00,COD,延化60万吨/年气体分馏装置
0.98,ST040106,mg/L,2025-10-27 08:00:00,石油类,延化60万吨/年气体分馏装置
4,ST040106,<p>mg/L</p>,2025-10-27 08:00:00,COD,延化60万吨/年气体分馏装置
7.37,ST040106,,2025-10-27 08:00:00,pH,延化60万吨/年气体分馏装置
20,ST040106,<p>mg/L</p>,2025-11-03 08:00:00,COD,延化60万吨/年气体分馏装置
7.15,ST040106,,2025-11-03 08:00:00,pH,延化60万吨/年气体分馏装置
3.28,ST040106,mg/L,2025-11-03 08:00:00,石油类,延化60万吨/年气体分馏装置
2.08,ST040106,mg/L,2025-11-10 08:00:00,石油类,延化60万吨/年气体分馏装置
11,ST040106,<p>mg/L</p>,2025-11-10 08:00:00,COD,延化60万吨/年气体分馏装置
7.99,ST040106,,2025-11-10 08:00:00,pH,延化60万吨/年气体分馏装置
0.81,ST040106,mg/L,2025-11-17 08:00:00,石油类,延化60万吨/年气体分馏装置
7.56,ST040106,,2025-11-17 08:00:00,pH,延化60万吨/年气体分馏装置
5,ST040106,<p>mg/L</p>,2025-11-17 08:00:00,COD,延化60万吨/年气体分馏装置
